B00, 0
B01, 0
B02, 1
B02, Trade, 145180.267, 56, B02, S01, 1
B03, 0
B04, 3
B04, Trade, 1340041.134, 63, B04, S02, 1
B04, Trade, 2566113.479, 63, B04, S00, 1
B04, Trade, 2578845.613, 63, B04, S00, 1
B05, 26
B05, Trade, 63088.250, 67, B05, S01, 1
B05, Trade, 63393.767, 67, B05, S02, 1
B05, Trade, 110591.083, 64, B05, S00, 1
B05, Trade, 112609.767, 67, B05, S02, 1
B05, Trade, 122984.417, 65, B05, S02, 1
B05, Trade, 134430.700, 67, B05, S03, 1
B05, Trade, 136140.483, 66, B05, S02, 1
B05, Trade, 145102.100, 67, B05, S00, 1
B05, Trade, 147012.200, 67, B05, S00, 1
B05, Trade, 150448.667, 67, B05, S04, 1
B05, Trade, 157350.850, 66, B05, S02, 1
B05, Trade, 267512.833, 67, B05, S04, 1
B05, Trade, 270294.550, 67, B05, S03, 1
B05, Trade, 271120.850, 67, B05, S04, 1
B05, Trade, 272843.183, 67, B05, S03, 1
B05, Trade, 305400.933, 67, B05, S04, 1
B05, Trade, 521318.333, 67, B05, S02, 1
B05, Trade, 521929.467, 67, B05, S01, 1
B05, Trade, 764178.651, 67, B05, S03, 1
B05, Trade, 2121755.298, 66, B05, S01, 1
B05, Trade, 2268928.614, 67, B05, S01, 1
B05, Trade, 2302921.397, 67, B05, S02, 1
B05, Trade, 2487632.313, 67, B05, S03, 1
B05, Trade, 2490019.046, 67, B05, S04, 1
B05, Trade, 2491084.430, 67, B05, S01, 1
B05, Trade, 2504680.946, 67, B05, S00, 1
B06, 100
B06, Trade, 101882.283, 70, B06, S02, 1
B06, Trade, 103155.417, 70, B06, S02, 1
B06, Trade, 103638.217, 70, B06, S02, 1
B06, Trade, 104905.400, 70, B06, S02, 1
B06, Trade, 105428.133, 70, B06, S05, 1
B06, Trade, 106565.083, 70, B06, S05, 1
B06, Trade, 106940.433, 70, B06, S05, 1
B06, Trade, 107383.483, 70, B06, S06, 1
B06, Trade, 109778.517, 70, B06, S01, 1
B06, Trade, 111034.367, 70, B06, S00, 1
B06, Trade, 112609.317, 70, B06, S06, 1
B06, Trade, 114102.300, 70, B06, S02, 1
B06, Trade, 116130.783, 70, B06, S00, 1
B06, Trade, 123913.650, 70, B06, S06, 1
B06, Trade, 124365.717, 70, B06, S04, 1
B06, Trade, 124779.700, 70, B06, S02, 1
B06, Trade, 125310.750, 70, B06, S06, 1
B06, Trade, 128394.033, 70, B06, S01, 1
B06, Trade, 128708.183, 70, B06, S01, 1
B06, Trade, 130168.367, 70, B06, S03, 1
B06, Trade, 133542.150, 70, B06, S02, 1
B06, Trade, 134430.200, 70, B06, S01, 1
B06, Trade, 134655.883, 69, B06, S01, 1
B06, Trade, 144173.733, 70, B06, S04, 1
B06, Trade, 144319.183, 70, B06, S00, 1
B06, Trade, 146073.367, 70, B06, S00, 1
B06, Trade, 146126.633, 70, B06, S04, 1
B06, Trade, 146744.300, 70, B06, S04, 1
B06, Trade, 147513.850, 70, B06, S00, 1
B06, Trade, 150203.217, 70, B06, S00, 1
B06, Trade, 150448.633, 69, B06, S00, 1
B06, Trade, 150476.500, 70, B06, S00, 1
B06, Trade, 150527.517, 70, B06, S04, 1
B06, Trade, 152913.600, 70, B06, S02, 1
B06, Trade, 154027.717, 70, B06, S00, 1
B06, Trade, 178623.000, 69, B06, S01, 1
B06, Trade, 183475.733, 70, B06, S01, 1
B06, Trade, 185803.367, 70, B06, S00, 1
B06, Trade, 193868.600, 70, B06, S03, 1
B06, Trade, 249108.383, 68, B06, S02, 1
B06, Trade, 274817.067, 69, B06, S01, 1
B06, Trade, 498471.200, 70, B06, S03, 1
B06, Trade, 498623.367, 70, B06, S02, 1
B06, Trade, 499445.783, 70, B06, S04, 1
B06, Trade, 502031.700, 70, B06, S01, 1
B06, Trade, 502867.300, 70, B06, S01, 1
B06, Trade, 503278.267, 70, B06, S02, 1
B06, Trade, 712054.651, 70, B06, S02, 1
B06, Trade, 867537.484, 70, B06, S02, 1
