B00, 0
B01, 0
B02, 0
B03, 0
B04, 5
B04, Trade, 1290539.034, 63, B04, S03, 1
B04, Trade, 1291657.451, 63, B04, S02, 1
B04, Trade, 1567614.300, 63, B04, S01, 1
B04, Trade, 1568991.683, 62, B04, S01, 1
B04, Trade, 2165432.064, 63, B04, S01, 1
B05, 63
B05, Trade, 12320.383, 65, B05, S03, 1
B05, Trade, 123263.733, 67, B05, S00, 1
B05, Trade, 145106.950, 67, B05, S02, 1
B05, Trade, 146511.467, 67, B05, S04, 1
B05, Trade, 148389.233, 67, B05, S00, 1
B05, Trade, 165645.817, 67, B05, S01, 1
B05, Trade, 166720.867, 67, B05, S04, 1
B05, Trade, 168488.350, 67, B05, S04, 1
B05, Trade, 171378.233, 67, B05, S03, 1
B05, Trade, 198937.100, 67, B05, S03, 1
B05, Trade, 199880.417, 67, B05, S00, 1
B05, Trade, 242347.717, 67, B05, S03, 1
B05, Trade, 290701.350, 67, B05, S00, 1
B05, Trade, 329301.567, 67, B05, S03, 1
B05, Trade, 376971.317, 67, B05, S03, 1
B05, Trade, 786538.551, 67, B05, S00, 1
B05, Trade, 1229174.234, 64, B05, S01, 1
B05, Trade, 1288959.467, 67, B05, S03, 1
B05, Trade, 1289299.417, 67, B05, S01, 1
B05, Trade, 1289390.451, 67, B05, S01, 1
B05, Trade, 1289583.634, 67, B05, S02, 1
B05, Trade, 1289611.851, 61, B05, S00, 1
B05, Trade, 1289992.001, 67, B05, S00, 1
B05, Trade, 1290097.117, 67, B05, S04, 1
B05, Trade, 1290160.817, 67, B05, S02, 1
B05, Trade, 1290213.551, 67, B05, S01, 1
B05, Trade, 1290282.717, 67, B05, S03, 1
B05, Trade, 1290352.934, 67, B05, S02, 1
B05, Trade, 1290526.667, 67, B05, S01, 1
B05, Trade, 1290929.351, 67, B05, S04, 1
B05, Trade, 1291368.317, 67, B05, S03, 1
B05, Trade, 1291408.251, 67, B05, S00, 1
B05, Trade, 1291467.784, 67, B05, S02, 1
B05, Trade, 1291626.501, 67, B05, S03, 1
B05, Trade, 1291709.434, 67, B05, S01, 1
B05, Trade, 1292169.434, 65, B05, S00, 1
B05, Trade, 1292653.484, 67, B05, S03, 1
B05, Trade, 1292681.084, 67, B05, S04, 1
B05, Trade, 1292953.951, 67, B05, S00, 1
B05, Trade, 1293594.801, 67, B05, S01, 1
B05, Trade, 1293693.834, 67, B05, S01, 1
B05, Trade, 1293705.284, 67, B05, S03, 1
B05, Trade, 1293725.434, 67, B05, S03, 1
B05, Trade, 1293863.401, 67, B05, S03, 1
B05, Trade, 1293920.367, 67, B05, S02, 1
B05, Trade, 1293964.834, 67, B05, S04, 1
B05, Trade, 1293994.101, 67, B05, S03, 1
B05, Trade, 1294785.917, 67, B05, S00, 1
B05, Trade, 1294898.701, 67, B05, S02, 1
B05, Trade, 1295020.901, 67, B05, S00, 1
B05, Trade, 1295057.384, 67, B05, S01, 1
B05, Trade, 1295079.834, 67, B05, S03, 1
B05, Trade, 1295243.884, 67, B05, S01, 1
B05, Trade, 1295353.667, 66, B05, S03, 1
B05, Trade, 1295492.301, 67, B05, S00, 1
B05, Trade, 1295750.517, 67, B05, S04, 1
B05, Trade, 1564886.833, 65, B05, S02, 1
B05, Trade, 1846018.899, 67, B05, S01, 1
B05, Trade, 1951528.648, 67, B05, S01, 1
B05, Trade, 1952110.082, 67, B05, S00, 1
B05, Trade, 2278451.464, 67, B05, S02, 1
B05, Trade, 2357789.097, 67, B05, S01, 1
B05, Trade, 2380175.313, 67, B05, S03, 1
B06, 100
B06, Trade, 561388.650, 69, B06, S05, 1
B06, Trade, 567352.217, 70, B06, S02, 1
B06, Trade, 567591.817, 70, B06, S02, 1
B06, Trade, 576475.750, 69, B06, S04, 1
B06, Trade, 583193.667, 70, B06, S01, 1
B06, Trade, 673256.784, 70, B06, S00, 1
B06, Trade, 772953.367, 70, B06, S00, 1
B06, Trade, 786537.901, 70, B06, S01, 1
B06, Trade, 929999.835, 70, B06, S02, 1
B06, Trade, 967243.085, 70, B06, S05, 1
B06, Trade, 971085.785, 70, B06, S03, 1
B06, Trade, 1113543.851, 70, B06, S04, 1
B06, Trade, 1117959.351, 70, B06, S06, 1
B06, Trade, 1120930.751, 70, B06, S00, 1
B06, Trade, 1121410.318, 70, B06, S00, 1
B06, Trade, 1214183.134, 70, B06, S01, 1
B06, Trade, 1225868.601, 70, B06, S04, 1
B06, Trade, 1226149.334, 70, B06, S04, 1
B06, Trade, 1226255.501, 69, B06, S05, 1
B06, Trade, 1226974.851, 70, B06, S02, 1
B06, Trade, 1228190.168, 70, B06, S05, 1
B06, Trade, 1228358.268, 70, B06, S02, 1
B06, Trade, 1235525.251, 69, B06, S02, 1
B06, Trade, 1275612.401, 70, B06, S01, 1
B06, Trade, 1279581.184, 70, B06, S01, 1
B06, Trade, 1279658.484, 70, B06, S02, 1
B06, Trade, 1279921.551, 70, B06, S02, 1
B06, Trade, 1290929.951, 65, B06, S03, 1
B06, Trade, 1303256.101, 70, B06, S02, 1
B06, Trade, 1305843.951, 70, B06, S00, 1
B06, Trade, 1307013.767, 70, B06, S00, 1
B06, Trade, 1308595.701, 70, B06, S02, 1
B06, Trade, 1420797.034, 70, B06, S00, 1
B06, Trade, 1460963.433, 70, B06, S06, 1
B06, Trade, 1570854.166, 70, B06, S02, 1
B06, Trade, 1607670.016, 70, B06, S01, 1
B06, Trade, 1629548.416, 70, B06, S05, 1
B06, Trade, 1630734.766, 70, B06, S05, 1
B06, Trade, 1631574.499, 69, B06, S04, 1
B06, Trade, 1742216.816, 69, B06, S00, 1
B06, Trade, 1764882.299, 70, B06, S03, 1
B06, Trade, 1765751.532, 70, B06, S03, 1
B06, Trade, 1769521.266, 70, B06, S02, 1
B06, Trade, 1772386.949, 70, B06, S02, 1
B06, Trade, 1773697.949, 70, B06, S02, 1
B06, Trade, 1777302.549, 70, B06, S00, 1
B06, Trade, 1777724.716, 70, B06, S03, 1
B06, Trade, 1831172.499, 70, B06, S03, 1
B06, Trade, 1832425.632, 70, B06, S01, 1
B06, Trade, 1835683.599, 70, B06, S01, 1
B06, Trade, 1837421.615, 70, B06, S00, 1
B06, Trade, 1858162.349, 70, B06, S01, 1
B06, Trade, 1858864.949, 70, B06, S03, 1
B06, Trade, 1860169.299, 69, B06, S01, 1
B06, Trade, 1860354.565, 70, B06, S01, 1
B06, Trade, 1861495.765, 70, B06, S00, 1
B06, Trade, 1861521.632, 70, B06, S02, 1
B06, Trade, 1861856.599, 70, B06, S00, 1
B06, Trade, 1861963.882, 70, B06, S00, 1
B06, Trade, 1863757.365, 70, B06, S02, 1
B06, Trade, 1864449.499, 70, B06, S01, 1
B06, Trade, 1864581.215, 70, B06, S04, 1
B06, Trade, 1887521.832, 70, B06, S02, 1
B06, Trade, 1893207.032, 70, B06, S02, 1
B06, Trade, 1904994.515, 70, B06, S01, 1
B06, Trade, 1905087.182, 70, B06, S02, 1
B06, Trade, 1905327.165, 70, B06, S02, 1
B06, Trade, 1974942.465, 70, B06, S05, 1
B06, Trade, 1975353.165, 68, B06, S00, 1
B06, Trade, 1975859.148, 70, B06, S06, 1
B06, Trade, 1976106.898, 69, B06, S05, 1
B06, Trade, 1976683.481, 69, B06, S00, 1
B06, Trade, 1978687.915, 70, B06, S00, 1
B06, Trade, 1979214.215, 70, B06, S00, 1
B06, Trade, 1979710.265, 68, B06, S00, 1
B06, Trade, 2167649.081, 70, B06, S02, 1
B06, Trade, 2168561.681, 70, B06, S00, 1
B06, Trade, 2173036.531, 70, B06, S00, 1
B06, Trade, 2272707.714, 70, B06, S00, 1
B06, Trade, 2272730.647, 70, B06, S00, 1
B06, Trade, 2277859.314, 70, B06, S04, 1
B06, Trade, 2335033.363, 70, B06, S03, 1
B06, Trade, 2354782.447, 70, B06, S02, 1
B06, Trade, 2357788.313, 70, B06, S00, 1
B06, Trade, 2358023.363, 70, B06, S05, 1
B06, Trade, 2358091.613, 68, B06, S02, 1
B06, Trade, 2358464.980, 70, B06, S01, 1
B06, Trade, 2359276.463, 70, B06, S02, 1
B06, Trade, 2360068.563, 70, B06, S02, 1
B06, Trade, 2360314.430, 70, B06, S02, 1
B06, Trade, 2377955.147, 68, B06, S01, 1
B06, Trade, 2380174.830, 70, B06, S02, 1
B06, Trade, 2380202.647, 70, B06, S03, 1
B06, Trade, 2382701.747, 70, B06, S04, 1
B06, Trade, 2448392.646, 70, B06, S00, 1
B06, Trade, 2465988.746, 70, B06, S02, 1
B06, Trade, 2509614.096, 70, B06, S05, 1
B06, Trade, 2512016.513, 70, B06, S06, 1
B06, Trade, 2550278.596, 69, B06, S01, 1
B06, Trade, 2588590.429, 70, B06, S01, 1
B07, 100
B07, Trade, 2170270.164, 74, B07, S05, 1
B07, Trade, 2170326.997, 74, B07, S06, 1
B07, Trade, 2170405.114, 74, B07, S00, 1
B07, Trade, 2170938.081, 74, B07, S02, 1
B07, Trade, 2171720.564, 74, B07, S00, 1
B07, Trade, 2172076.214, 74, B07, S02, 1
