B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 764004.751, 60, B03, S02, 1
B03, Trade, 2503094.563, 60, B03, S02, 1
B04, 5
B04, Trade, 127401.600, 63, B04, S03, 1
B04, Trade, 767641.084, 63, B04, S03, 1
B04, Trade, 1498858.667, 63, B04, S00, 1
B04, Trade, 2503094.063, 63, B04, S00, 1
B04, Trade, 2503568.163, 63, B04, S00, 1
B05, 45
B05, Trade, 4647.917, 66, B05, S01, 1
B05, Trade, 53873.683, 66, B05, S00, 1
B05, Trade, 59443.333, 67, B05, S02, 1
B05, Trade, 60451.783, 67, B05, S02, 1
B05, Trade, 104947.000, 66, B05, S01, 1
B05, Trade, 129646.250, 67, B05, S04, 1
B05, Trade, 136139.217, 67, S03, B05, 1
B05, Trade, 136714.833, 67, B05, S00, 1
B05, Trade, 161635.200, 67, B05, S02, 1
B05, Trade, 164459.900, 67, B05, S00, 1
B05, Trade, 164752.750, 64, B05, S02, 1
B05, Trade, 232830.383, 67, B05, S04, 1
B05, Trade, 313592.450, 67, B05, S03, 1
B05, Trade, 763690.784, 67, B05, S03, 1
B05, Trade, 764197.884, 67, B05, S02, 1
B05, Trade, 764365.667, 67, B05, S02, 1
B05, Trade, 765466.584, 67, B05, S02, 1
B05, Trade, 765972.201, 64, B05, S02, 1
B05, Trade, 766026.817, 67, B05, S05, 1
B05, Trade, 766130.051, 67, B05, S04, 1
B05, Trade, 766494.401, 67, B05, S03, 1
B05, Trade, 766838.917, 67, B05, S03, 1
B05, Trade, 767051.617, 67, B05, S02, 1
B05, Trade, 767083.801, 67, B05, S04, 1
B05, Trade, 767593.584, 67, B05, S03, 1
B05, Trade, 767640.901, 67, B05, S02, 1
B05, Trade, 768085.067, 67, B05, S02, 1
B05, Trade, 768322.117, 66, B05, S02, 1
B05, Trade, 768795.801, 67, B05, S02, 1
B05, Trade, 769345.067, 67, B05, S04, 1
B05, Trade, 769533.884, 67, B05, S04, 1
B05, Trade, 769909.867, 67, B05, S02, 1
B05, Trade, 769945.467, 67, B05, S03, 1
B05, Trade, 770049.284, 67, B05, S03, 1
B05, Trade, 805458.501, 67, B05, S03, 1
B05, Trade, 885060.934, 66, B05, S01, 1
B05, Trade, 1061651.852, 67, B05, S04, 1
B05, Trade, 1426332.617, 67, B05, S00, 1
B05, Trade, 1497874.517, 67, B05, S00, 1
B05, Trade, 1500936.833, 67, B05, S05, 1
B05, Trade, 2133272.148, 66, B05, S02, 1
B05, Trade, 2394342.797, 66, B05, S00, 1
B05, Trade, 2505902.113, 67, B05, S00, 1
B05, Trade, 2510181.646, 67, B05, S03, 1
B05, Trade, 2574520.379, 65, B05, S00, 1
B06, 100
B06, Trade, 752401.634, 70, B06, S02, 1
B06, Trade, 777238.084, 70, B06, S05, 1
B06, Trade, 863243.934, 70, B06, S03, 1
B06, Trade, 879260.568, 70, B06, S02, 1
B06, Trade, 882493.818, 70, B06, S02, 1
B06, Trade, 884089.551, 70, B06, S02, 1
B06, Trade, 885060.101, 70, B06, S03, 1
B06, Trade, 885267.434, 69, B06, S03, 1
B06, Trade, 950484.585, 70, B06, S00, 1
B06, Trade, 1030541.368, 70, B06, S06, 1
B06, Trade, 1033085.968, 70, B06, S03, 1
B06, Trade, 1034077.935, 69, B06, S05, 1
B06, Trade, 1034579.535, 69, B06, S05, 1
B06, Trade, 1071791.918, 70, B06, S01, 1
B06, Trade, 1109283.368, 70, B06, S02, 1
B06, Trade, 1110808.768, 70, B06, S01, 1
B06, Trade, 1183958.434, 70, B06, S03, 1
B06, Trade, 1184802.634, 70, B06, S03, 1
B06, Trade, 1215485.034, 70, B06, S00, 1
B06, Trade, 1239697.884, 70, B06, S03, 1
