B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 12
B05, Trade, 42046.100, 67, B05, S01, 1
B05, Trade, 220589.917, 67, B05, S02, 1
B05, Trade, 222148.283, 67, B05, S02, 1
B05, Trade, 223186.850, 67, B05, S02, 1
B05, Trade, 687850.550, 67, B05, S03, 1
B05, Trade, 764253.851, 67, B05, S00, 1
B05, Trade, 765211.567, 67, B05, S02, 1
B05, Trade, 968369.218, 67, B05, S02, 1
B05, Trade, 2427185.113, 67, B05, S01, 1
B05, Trade, 2428965.280, 67, B05, S05, 1
B05, Trade, 2429278.363, 67, B05, S00, 1
B05, Trade, 2433521.430, 67, B05, S01, 1
B06, 79
B06, Trade, 57272.800, 70, B06, S04, 1
B06, Trade, 167608.283, 70, B06, S04, 1
B06, Trade, 167743.783, 70, B06, S04, 1
B06, Trade, 188414.900, 70, B06, S05, 1
B06, Trade, 193573.583, 70, B06, S00, 1
B06, Trade, 194191.900, 70, B06, S05, 1
B06, Trade, 245923.267, 68, B06, S01, 1
B06, Trade, 245979.917, 69, B06, S02, 1
B06, Trade, 247497.850, 69, B06, S02, 1
B06, Trade, 249615.567, 70, B06, S01, 1
B06, Trade, 251984.267, 70, B06, S02, 1
B06, Trade, 280467.567, 70, B06, S00, 1
B06, Trade, 331949.933, 70, B06, S05, 1
B06, Trade, 332450.600, 70, B06, S02, 1
B06, Trade, 333260.350, 70, B06, S02, 1
B06, Trade, 333967.633, 70, B06, S00, 1
B06, Trade, 338177.833, 70, B06, S00, 1
B06, Trade, 528903.567, 70, B06, S03, 1
B06, Trade, 684403.950, 70, B06, S03, 1
B06, Trade, 691786.150, 70, B06, S04, 1
B06, Trade, 695745.617, 70, B06, S00, 1
B06, Trade, 731933.217, 70, B06, S03, 1
B06, Trade, 763715.584, 70, B06, S05, 1
B06, Trade, 764251.201, 70, B06, S02, 1
B06, Trade, 765798.667, 70, B06, S05, 1
B06, Trade, 766303.084, 70, B06, S01, 1
B06, Trade, 766757.634, 70, B06, S00, 1
B06, Trade, 781834.634, 70, B06, S05, 1
B06, Trade, 782681.801, 70, B06, S00, 1
B06, Trade, 782957.884, 70, B06, S06, 1
B06, Trade, 784632.617, 69, B06, S01, 1
B06, Trade, 799753.401, 70, B06, S01, 1
B06, Trade, 861060.984, 70, B06, S03, 1
B06, Trade, 862971.968, 70, B06, S00, 1
B06, Trade, 863309.668, 70, B06, S03, 1
B06, Trade, 880254.368, 70, B06, S02, 1
B06, Trade, 916483.351, 70, B06, S03, 1
B06, Trade, 969797.585, 70, B06, S04, 1
B06, Trade, 1218964.218, 70, B06, S04, 1
B06, Trade, 1227668.618, 70, B06, S01, 1
B06, Trade, 1240500.084, 69, B06, S05, 1
B06, Trade, 1302596.101, 69, B06, S00, 1
B06, Trade, 1562537.916, 70, B06, S02, 1
B06, Trade, 1845467.582, 70, B06, S05, 1
B06, Trade, 2091123.031, 70, B06, S05, 1
B06, Trade, 2095016.414, 70, B06, S06, 1
B06, Trade, 2204691.881, 70, B06, S01, 1
B06, Trade, 2204858.831, 70, B06, S06, 1
B06, Trade, 2205116.081, 70, B06, S05, 1
B06, Trade, 2426469.096, 70, B06, S01, 1
B06, Trade, 2426823.713, 70, B06, S02, 1
B06, Trade, 2427185.046, 69, B06, S03, 1
B06, Trade, 2427669.146, 70, B06, S05, 1
B06, Trade, 2427883.646, 70, B06, S05, 1
B06, Trade, 2427914.296, 69, B06, S03, 1
B06, Trade, 2429170.513, 70, B06, S04, 1
B06, Trade, 2429276.246, 70, B06, S01, 1
B06, Trade, 2430141.596, 70, B06, S00, 1
B06, Trade, 2431076.780, 70, B06, S03, 1
B06, Trade, 2431284.830, 69, B06, S03, 1
B06, Trade, 2431350.863, 70, B06, S02, 1
B06, Trade, 2431386.346, 70, B06, S00, 1
B06, Trade, 2431717.813, 70, B06, S04, 1
B06, Trade, 2432489.013, 70, B06, S00, 1
B06, Trade, 2432905.463, 70, B06, S04, 1
B06, Trade, 2433151.546, 70, B06, S03, 1
B06, Trade, 2433312.713, 68, B06, S05, 1
B06, Trade, 2433520.680, 70, B06, S00, 1
B06, Trade, 2435117.196, 69, B06, S01, 1
B06, Trade, 2474896.730, 70, B06, S01, 1
B06, Trade, 2476275.796, 70, B06, S05, 1
B06, Trade, 2512858.063, 70, B06, S05, 1
B06, Trade, 2517329.196, 70, B06, S01, 1
B06, Trade, 2518793.546, 70, B06, S00, 1
B06, Trade, 2519993.313, 70, B06, S02, 1
B06, Trade, 2535618.263, 70, B06, S05, 1
B06, Trade, 2545755.729, 70, B06, S00, 1
B06, Trade, 2560010.096, 70, B06, S01, 1
B06, Trade, 2562191.679, 70, B06, S01, 1
B07, 100
B07, Trade, 2433542.463, 74, B07, S02, 1
B07, Trade, 2434526.746, 74, B07, S00, 1
B07, Trade, 2434909.063, 74, B07, S00, 1
B07, Trade, 2435587.680, 74, B07, S02, 1
B07, Trade, 2436008.513, 71, B07, S05, 1
B07, Trade, 2437616.696, 74, B07, S02, 1
B07, Trade, 2437975.863, 74, B07, S01, 1
B07, Trade, 2438088.480, 74, B07, S01, 1
B07, Trade, 2439061.930, 71, B07, S00, 1
B07, Trade, 2439294.546, 74, B07, S02, 1
B07, Trade, 2439890.963, 74, B07, S04, 1
B07, Trade, 2440686.930, 74, B07, S05, 1
B07, Trade, 2451840.696, 74, B07, S04, 1
B07, Trade, 2463113.263, 74, B07, S00, 1
B07, Trade, 2464264.513, 74, B07, S02, 1
B07, Trade, 2466337.230, 73, B07, S00, 1
B07, Trade, 2467717.646, 74, B07, S03, 1
B07, Trade, 2468728.280, 73, B07, S00, 1
B07, Trade, 2469800.730, 74, B07, S01, 1
B07, Trade, 2469945.713, 74, B07, S03, 1
B07, Trade, 2470113.396, 72, B07, S00, 1
B07, Trade, 2471481.496, 74, B07, S03, 1
B07, Trade, 2473270.630, 74, B07, S00, 1
B07, Trade, 2473464.363, 74, B07, S03, 1
B07, Trade, 2473957.696, 72, B07, S05, 1
B07, Trade, 2474326.346, 74, B07, S00, 1
B07, Trade, 2474375.313, 74, B07, S03, 1
