B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 36
B05, Trade, 54668.600, 67, B05, S00, 1
B05, Trade, 57740.867, 67, B05, S04, 1
B05, Trade, 57921.900, 67, B05, S04, 1
B05, Trade, 61353.200, 67, B05, S00, 1
B05, Trade, 64612.400, 67, B05, S04, 1
B05, Trade, 74160.667, 67, B05, S00, 1
B05, Trade, 86553.933, 67, B05, S03, 1
B05, Trade, 86624.850, 67, B05, S01, 1
B05, Trade, 86761.850, 67, B05, S02, 1
B05, Trade, 87687.950, 66, B05, S03, 1
B05, Trade, 89707.200, 67, B05, S01, 1
B05, Trade, 90209.450, 67, B05, S05, 1
B05, Trade, 90300.533, 67, B05, S03, 1
B05, Trade, 90981.517, 67, B05, S03, 1
B05, Trade, 91033.550, 67, B05, S01, 1
B05, Trade, 91573.250, 66, B05, S02, 1
B05, Trade, 91655.650, 67, B05, S01, 1
B05, Trade, 92170.883, 66, B05, S01, 1
B05, Trade, 93032.617, 67, B05, S01, 1
B05, Trade, 144362.900, 67, B05, S01, 1
B05, Trade, 145493.050, 67, B05, S02, 1
B05, Trade, 146028.683, 67, B05, S03, 1
B05, Trade, 146583.000, 67, B05, S01, 1
B05, Trade, 146643.483, 67, B05, S02, 1
B05, Trade, 147047.867, 67, B05, S02, 1
B05, Trade, 150465.167, 67, B05, S01, 1
B05, Trade, 150753.017, 67, B05, S04, 1
B05, Trade, 307284.533, 67, B05, S00, 1
B05, Trade, 374621.983, 67, B05, S01, 1
B05, Trade, 406909.617, 66, B05, S01, 1
B05, Trade, 552496.717, 65, S04, B05, 1
B05, Trade, 592955.117, 66, B05, S01, 1
B05, Trade, 616744.684, 67, B05, S00, 1
B05, Trade, 796338.884, 67, B05, S02, 1
B05, Trade, 1886313.548, 66, B05, S02, 1
B05, Trade, 2522546.846, 67, B05, S04, 1
B06, 100
B06, Trade, 533948.550, 70, B06, S00, 1
B06, Trade, 533997.700, 70, B06, S00, 1
B06, Trade, 534378.817, 70, B06, S00, 1
B06, Trade, 534783.550, 70, B06, S06, 1
B06, Trade, 534956.000, 70, B06, S00, 1
B06, Trade, 534972.100, 70, B06, S06, 1
B06, Trade, 534991.317, 70, B06, S06, 1
B06, Trade, 535109.950, 70, B06, S00, 1
B06, Trade, 535786.850, 70, B06, S00, 1
B06, Trade, 536017.733, 70, B06, S06, 1
B06, Trade, 536657.083, 70, B06, S00, 1
B06, Trade, 537638.583, 70, B06, S04, 1
B06, Trade, 538000.350, 70, B06, S00, 1
B06, Trade, 538742.317, 70, B06, S00, 1
B06, Trade, 539275.733, 70, B06, S00, 1
B06, Trade, 539452.617, 70, B06, S00, 1
B06, Trade, 539727.950, 70, B06, S00, 1
B06, Trade, 540169.267, 70, B06, S02, 1
B06, Trade, 541938.067, 70, B06, S02, 1
B06, Trade, 543800.783, 70, B06, S05, 1
B06, Trade, 544991.583, 70, B06, S00, 1
B06, Trade, 547208.750, 70, B06, S04, 1
B06, Trade, 548009.067, 70, B06, S03, 1
B06, Trade, 548319.433, 70, B06, S02, 1
B06, Trade, 548367.433, 70, B06, S03, 1
B06, Trade, 549312.833, 70, B06, S03, 1
B06, Trade, 549340.250, 70, B06, S04, 1
B06, Trade, 549667.417, 70, B06, S02, 1
B06, Trade, 549881.500, 70, B06, S02, 1
B06, Trade, 550523.767, 70, B06, S03, 1
B06, Trade, 552496.350, 70, B06, S02, 1
B06, Trade, 553857.150, 70, B06, S03, 1
B06, Trade, 554159.867, 70, B06, S02, 1
B06, Trade, 562058.150, 70, B06, S00, 1
B06, Trade, 562330.383, 70, B06, S03, 1
B06, Trade, 565791.383, 70, B06, S03, 1
B06, Trade, 566106.417, 70, B06, S00, 1
B06, Trade, 568533.067, 70, B06, S00, 1
B06, Trade, 584616.900, 70, B06, S04, 1
B06, Trade, 585059.950, 64, B06, S02, 1
B06, Trade, 585259.900, 67, B06, S02, 1
B06, Trade, 585669.250, 70, B06, S02, 1
B06, Trade, 585763.533, 70, B06, S04, 1
B06, Trade, 586795.850, 70, B06, S04, 1
B06, Trade, 587256.317, 70, B06, S02, 1
B06, Trade, 587396.900, 70, B06, S04, 1
B06, Trade, 595667.100, 70, B06, S06, 1
B06, Trade, 612217.834, 70, B06, S02, 1
B06, Trade, 614598.884, 70, B06, S05, 1
B06, Trade, 614909.367, 70, B06, S01, 1
B06, Trade, 615931.650, 70, B06, S03, 1
B06, Trade, 616307.384, 70, B06, S02, 1
B06, Trade, 616740.784, 70, B06, S04, 1
B06, Trade, 623019.100, 69, B06, S04, 1
B06, Trade, 623021.217, 70, B06, S01, 1
B06, Trade, 624784.317, 69, B06, S05, 1
B06, Trade, 640083.450, 70, B06, S04, 1
B06, Trade, 640223.417, 70, B06, S04, 1
B06, Trade, 640674.717, 70, B06, S00, 1
B06, Trade, 792084.567, 70, B06, S05, 1
B06, Trade, 792301.751, 70, B06, S02, 1
B06, Trade, 792954.851, 70, B06, S00, 1
B06, Trade, 793827.134, 70, B06, S05, 1
B06, Trade, 794336.284, 70, B06, S00, 1
B06, Trade, 794399.251, 69, B06, S02, 1
B06, Trade, 795066.501, 70, B06, S02, 1
B06, Trade, 795117.151, 70, B06, S00, 1
B06, Trade, 795169.417, 70, B06, S01, 1
B06, Trade, 795539.584, 70, B06, S00, 1
B06, Trade, 795733.651, 69, B06, S01, 1
B06, Trade, 796201.984, 69, B06, S00, 1
B06, Trade, 796628.017, 70, B06, S00, 1
B06, Trade, 796843.767, 70, B06, S05, 1
B06, Trade, 797130.101, 70, B06, S05, 1
B06, Trade, 797167.151, 68, B06, S02, 1
B06, Trade, 797579.284, 70, B06, S05, 1
B06, Trade, 797948.601, 70, B06, S00, 1
B06, Trade, 798076.251, 70, B06, S02, 1
B06, Trade, 798271.967, 69, B06, S01, 1
B06, Trade, 981701.101, 70, B06, S02, 1
B06, Trade, 1012760.751, 70, B06, S03, 1
B06, Trade, 1389574.434, 70, B06, S05, 1
B06, Trade, 1753252.349, 70, B06, S01, 1
B06, Trade, 1776035.499, 70, B06, S00, 1
B06, Trade, 1776738.699, 70, B06, S01, 1
B06, Trade, 1777726.932, 70, B06, S05, 1
B06, Trade, 1887063.948, 70, B06, S06, 1
B06, Trade, 1890064.965, 70, B06, S00, 1
B06, Trade, 1890088.565, 70, B06, S06, 1
B06, Trade, 1893112.565, 70, B06, S00, 1
B06, Trade, 1924235.848, 70, B06, S05, 1
B06, Trade, 1925092.148, 70, B06, S01, 1
B06, Trade, 1929332.382, 70, B06, S06, 1
B06, Trade, 1987247.748, 70, B06, S01, 1
B06, Trade, 2084621.848, 70, B06, S01, 1
B06, Trade, 2086147.514, 70, B06, S00, 1
B06, Trade, 2086148.781, 65, B06, S04, 1
B06, Trade, 2098231.081, 70, B06, S00, 1
B06, Trade, 2098608.714, 70, B06, S03, 1
B06, Trade, 2522546.579, 70, B06, S01, 1
B07, 100
B07, Trade, 2098607.698, 74, B07, S00, 1
B07, Trade, 2100264.848, 74, B07, S03, 1
B07, Trade, 2101291.614, 74, B07, S07, 1
B07, Trade, 2101576.714, 74, B07, S04, 1
B07, Trade, 2102081.614, 74, B07, S07, 1
B07, Trade, 2102248.881, 74, B07, S04, 1
B07, Trade, 2119028.364, 74, B07, S00, 1
B07, Trade, 2125786.364, 74, B07, S00, 1
B07, Trade, 2126863.948, 74, B07, S03, 1
B07, Trade, 2128210.498, 74, B07, S02, 1
B07, Trade, 2128405.698, 74, B07, S04, 1
B07, Trade, 2128581.364, 73, B07, S02, 1
B07, Trade, 2130954.314, 74, B07, S03, 1
B07, Trade, 2131890.798, 73, B07, S00, 1
B07, Trade, 2145883.514, 72, B07, S02, 1
B07, Trade, 2145906.664, 74, B07, S03, 1
B07, Trade, 2147408.964, 74, B07, S05, 1
B07, Trade, 2148203.514, 74, B07, S03, 1
B07, Trade, 2149543.114, 74, B07, S03, 1
B07, Trade, 2149545.248, 74, S01, B07, 1
B07, Trade, 2149759.981, 74, B07, S02, 1
B07, Trade, 2150241.864, 74, B07, S05, 1
B07, Trade, 2150508.898, 74, B07, S02, 1
B07, Trade, 2150829.481, 74, B07, S05, 1
B07, Trade, 2151674.681, 74, B07, S07, 1
B07, Trade, 2152347.014, 74, B07, S05, 1
B07, Trade, 2152417.297, 74, B07, S03, 1
B07, Trade, 2152428.931, 74, B07, S05, 1
B07, Trade, 2175040.797, 74, B07, S04, 1
B07, Trade, 2175460.981, 74, B07, S00, 1
B07, Trade, 2178207.864, 74, B07, S03, 1
B07, Trade, 2182752.581, 74, B07, S01, 1
B07, Trade, 2184505.747, 74, B07, S01, 1
B07, Trade, 2185086.397, 74, B07, S00, 1
B07, Trade, 2185906.981, 74, B07, S06, 1
B07, Trade, 2186279.097, 74, B07, S06, 1
B07, Trade, 2186946.264, 74, B07, S01, 1
B07, Trade, 2229746.864, 74, B07, S06, 1
B07, Trade, 2230084.997, 73, B07, S01, 1
B07, Trade, 2276242.030, 74, B07, S05, 1
B07, Trade, 2276355.980, 74, B07, S06, 1
B07, Trade, 2286278.864, 74, B07, S03, 1
B07, Trade, 2288943.830, 74, B07, S03, 1
B07, Trade, 2309140.697, 74, B07, S00, 1
B07, Trade, 2319222.547, 73, B07, S06, 1
B07, Trade, 2319359.997, 74, B07, S00, 1
B07, Trade, 2319422.747, 74, B07, S06, 1
B07, Trade, 2319512.864, 74, B07, S02, 1
B07, Trade, 2320243.080, 74, B07, S03, 1
B07, Trade, 2320496.147, 74, B07, S02, 1
B07, Trade, 2320728.830, 74, B07, S03, 1
B07, Trade, 2320799.230, 74, B07, S00, 1
B07, Trade, 2321267.964, 74, B07, S00, 1
B07, Trade, 2322162.747, 73, B07, S01, 1
B07, Trade, 2323509.097, 74, B07, S02, 1
B07, Trade, 2325480.664, 72, B07, S00, 1
B07, Trade, 2329463.847, 74, B07, S05, 1
B07, Trade, 2332032.497, 74, B07, S00, 1
B07, Trade, 2333770.347, 74, B07, S07, 1
B07, Trade, 2333978.497, 74, B07, S05, 1
B07, Trade, 2335997.713, 74, B07, S05, 1
B07, Trade, 2336195.713, 74, B07, S06, 1
B07, Trade, 2338100.830, 74, B07, S06, 1
B07, Trade, 2342879.897, 74, B07, S05, 1
B07, Trade, 2351880.630, 74, B07, S03, 1
B07, Trade, 2353519.730, 73, B07, S04, 1
B07, Trade, 2377454.797, 74, B07, S06, 1
B07, Trade, 2379349.913, 74, B07, S01, 1
B07, Trade, 2381227.530, 73, B07, S01, 1
B07, Trade, 2384857.513, 74, B07, S00, 1
B07, Trade, 2388239.713, 74, B07, S05, 1
B07, Trade, 2389188.563, 74, B07, S02, 1
B07, Trade, 2390124.730, 73, B07, S00, 1
B07, Trade, 2390480.713, 74, B07, S00, 1
B07, Trade, 2392396.797, 74, B07, S00, 1
B07, Trade, 2393390.447, 74, B07, S03, 1
B07, Trade, 2393880.713, 73, B07, S04, 1
B07, Trade, 2394032.963, 74, B07, S06, 1
B07, Trade, 2394618.680, 73, B07, S06, 1
B07, Trade, 2394619.913, 74, B07, S07, 1
B07, Trade, 2407734.063, 73, B07, S00, 1
B07, Trade, 2463379.846, 74, B07, S05, 1
B07, Trade, 2465377.580, 74, B07, S03, 1
B07, Trade, 2466151.313, 74, B07, S06, 1
B07, Trade, 2479855.380, 73, B07, S06, 1
B07, Trade, 2538662.946, 74, B07, S01, 1
B07, Trade, 2571929.829, 74, B07, S03, 1
B07, Trade, 2572140.696, 74, B07, S07, 1
B07, Trade, 2572404.313, 74, B07, S01, 1
B07, Trade, 2572406.913, 73, B07, S05, 1
B07, Trade, 2572522.813, 74, B07, S07, 1
B07, Trade, 2573379.046, 74, B07, S06, 1
B07, Trade, 2573707.446, 74, B07, S01, 1
B07, Trade, 2573749.529, 74, B07, S06, 1
B07, Trade, 2575082.479, 74, B07, S03, 1
B07, Trade, 2575394.579, 74, B07, S06, 1
B07, Trade, 2577365.913, 74, B07, S07, 1
B07, Trade, 2581641.313, 74, B07, S02, 1
B07, Trade, 2587221.463, 74, B07, S03, 1
B07, Trade, 2591253.329, 74, B07, S03, 1
B08, 100
B08, Trade, 2540759.596, 77, B08, S01, 1
B08, Trade, 2549498.813, 77, B08, S03, 1
B08, Trade, 2550795.829, 77, B08, S01, 1
B08, Trade, 2553179.046, 77, B08, S01, 1
B08, Trade, 2554496.646, 77, B08, S06, 1
B08, Trade, 2555032.779, 77, B08, S06, 1
B08, Trade, 2555359.729, 77, B08, S03, 1
