B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 564430.717, 60, B03, S00, 1
B04, 2
B04, Trade, 1292678.884, 62, B04, S01, 1
B04, Trade, 1680820.083, 63, B04, S04, 1
B05, 40
B05, Trade, 37374.583, 67, B05, S05, 1
B05, Trade, 39544.633, 67, B05, S04, 1
B05, Trade, 41331.217, 67, B05, S04, 1
B05, Trade, 41416.200, 67, B05, S05, 1
B05, Trade, 42972.350, 67, B05, S04, 1
B05, Trade, 101321.000, 67, B05, S04, 1
B05, Trade, 174299.267, 67, B05, S04, 1
B05, Trade, 529571.983, 67, B05, S00, 1
B05, Trade, 530762.783, 67, B05, S03, 1
B05, Trade, 558043.933, 67, B05, S00, 1
B05, Trade, 568091.650, 65, B05, S00, 1
B05, Trade, 586559.317, 67, B05, S02, 1
B05, Trade, 709590.617, 67, B05, S01, 1
B05, Trade, 710856.767, 67, B05, S01, 1
B05, Trade, 711704.417, 66, B05, S01, 1
B05, Trade, 711952.951, 67, B05, S03, 1
B05, Trade, 783438.334, 67, B05, S03, 1
B05, Trade, 826033.368, 67, B05, S03, 1
B05, Trade, 861250.068, 65, B05, S02, 1
B05, Trade, 1230473.468, 66, B05, S03, 1
B05, Trade, 1405287.600, 67, B05, S01, 1
B05, Trade, 1439770.767, 64, B05, S02, 1
B05, Trade, 1519663.400, 67, B05, S02, 1
B05, Trade, 1522655.683, 67, B05, S01, 1
B05, Trade, 1632119.899, 67, B05, S01, 1
B05, Trade, 1757534.899, 67, B05, S04, 1
B05, Trade, 1759215.249, 67, B05, S04, 1
B05, Trade, 1759521.882, 67, B05, S00, 1
B05, Trade, 1805585.349, 67, B05, S02, 1
B05, Trade, 2141101.714, 67, B05, S04, 1
B05, Trade, 2263316.580, 67, B05, S03, 1
B05, Trade, 2265142.847, 67, B05, S03, 1
B05, Trade, 2365514.413, 67, B05, S00, 1
B05, Trade, 2400518.280, 67, B05, S01, 1
B05, Trade, 2403232.180, 67, B05, S01, 1
B05, Trade, 2403562.013, 67, B05, S01, 1
B05, Trade, 2404664.580, 67, B05, S02, 1
B05, Trade, 2407998.813, 67, B05, S01, 1
B05, Trade, 2578203.863, 67, B05, S02, 1
B05, Trade, 2581457.263, 66, B05, S02, 1
B06, 100
B06, Trade, 1760529.582, 70, B06, S01, 1
B06, Trade, 1760710.199, 70, B06, S04, 1
B06, Trade, 1760739.349, 69, B06, S01, 1
B06, Trade, 1761000.782, 70, B06, S03, 1
B06, Trade, 1761137.799, 70, B06, S05, 1
B06, Trade, 1761837.066, 70, B06, S01, 1
B06, Trade, 1762065.582, 70, B06, S03, 1
B06, Trade, 1762147.182, 70, B06, S05, 1
B06, Trade, 1762418.816, 70, B06, S00, 1
B06, Trade, 1762764.732, 70, B06, S00, 1
B06, Trade, 1763846.982, 70, B06, S05, 1
B06, Trade, 1763905.582, 70, B06, S03, 1
B06, Trade, 1786746.532, 70, B06, S01, 1
B06, Trade, 1788114.432, 70, B06, S03, 1
B06, Trade, 1788516.932, 70, B06, S00, 1
B06, Trade, 1792791.516, 70, B06, S02, 1
B06, Trade, 1800491.382, 70, B06, S05, 1
B06, Trade, 1803232.465, 70, B06, S00, 1
B06, Trade, 1803591.832, 70, B06, S05, 1
B06, Trade, 1804944.832, 70, B06, S03, 1
B06, Trade, 1805584.482, 70, B06, S05, 1
B06, Trade, 1841297.415, 70, B06, S03, 1
B06, Trade, 1900067.448, 70, B06, S01, 1
B06, Trade, 1945649.165, 70, B06, S02, 1
B06, Trade, 2020668.848, 68, B06, S03, 1
B06, Trade, 2032032.181, 69, B06, S03, 1
B06, Trade, 2035589.515, 70, B06, S01, 1
B06, Trade, 2036077.865, 70, B06, S01, 1
B06, Trade, 2092547.248, 70, B06, S03, 1
B06, Trade, 2093221.948, 70, B06, S00, 1
B06, Trade, 2094105.414, 70, B06, S00, 1
B06, Trade, 2124266.014, 70, B06, S04, 1
B06, Trade, 2141733.731, 70, B06, S03, 1
B06, Trade, 2145141.648, 70, B06, S01, 1
B06, Trade, 2159061.164, 69, B06, S02, 1
B06, Trade, 2218364.081, 70, B06, S02, 1
B06, Trade, 2230415.731, 70, B06, S00, 1
B06, Trade, 2232986.897, 70, B06, S00, 1
B06, Trade, 2234894.631, 70, B06, S00, 1
B06, Trade, 2237657.564, 69, B06, S03, 1
B06, Trade, 2261245.064, 70, B06, S04, 1
B06, Trade, 2261711.397, 70, B06, S04, 1
B06, Trade, 2263278.564, 70, B06, S05, 1
B06, Trade, 2264772.747, 70, B06, S03, 1
B06, Trade, 2265694.814, 70, B06, S04, 1
B06, Trade, 2266126.664, 70, B06, S05, 1
B06, Trade, 2266127.597, 70, B06, S06, 1
B06, Trade, 2266976.414, 70, B06, S03, 1
B06, Trade, 2266997.397, 70, B06, S04, 1
B06, Trade, 2267527.514, 70, B06, S04, 1
B06, Trade, 2267610.964, 70, B06, S03, 1
B06, Trade, 2267881.130, 70, B06, S06, 1
B06, Trade, 2275298.230, 70, B06, S03, 1
B06, Trade, 2277775.647, 70, B06, S04, 1
B06, Trade, 2277993.464, 70, B06, S03, 1
B06, Trade, 2278336.180, 70, B06, S04, 1
B06, Trade, 2278415.497, 70, B06, S00, 1
B06, Trade, 2280028.480, 70, B06, S03, 1
B06, Trade, 2280721.197, 70, B06, S04, 1
B06, Trade, 2280777.047, 70, B06, S04, 1
B06, Trade, 2280885.680, 70, B06, S04, 1
B06, Trade, 2281658.514, 70, B06, S04, 1
B06, Trade, 2282294.630, 70, B06, S00, 1
B06, Trade, 2339550.147, 70, B06, S04, 1
B06, Trade, 2398498.280, 70, B06, S00, 1
B06, Trade, 2398532.313, 70, B06, S00, 1
B06, Trade, 2399217.047, 69, B06, S02, 1
B06, Trade, 2401165.213, 70, B06, S05, 1
B06, Trade, 2401873.363, 70, B06, S00, 1
B06, Trade, 2402438.347, 70, B06, S06, 1
B06, Trade, 2402825.997, 70, B06, S01, 1
B06, Trade, 2403232.130, 68, B06, S05, 1
B06, Trade, 2403561.913, 70, B06, S00, 1
B06, Trade, 2403979.930, 70, B06, S05, 1
B06, Trade, 2404285.097, 70, B06, S02, 1
B06, Trade, 2404313.813, 70, B06, S05, 1
B06, Trade, 2404400.530, 68, B06, S00, 1
B06, Trade, 2404664.547, 70, S06, B06, 1
B06, Trade, 2404799.147, 70, B06, S05, 1
B06, Trade, 2443705.863, 70, B06, S04, 1
B06, Trade, 2445109.980, 70, B06, S03, 1
B06, Trade, 2445473.380, 70, B06, S02, 1
B06, Trade, 2451380.396, 69, B06, S00, 1
B06, Trade, 2563628.246, 70, B06, S02, 1
B06, Trade, 2565980.046, 69, B06, S02, 1
B06, Trade, 2577770.029, 70, B06, S02, 1
B06, Trade, 2578203.696, 69, B06, S03, 1
B06, Trade, 2578546.829, 70, B06, S00, 1
B06, Trade, 2579529.663, 70, B06, S00, 1
B06, Trade, 2579705.613, 70, B06, S00, 1
B06, Trade, 2581109.913, 70, B06, S00, 1
B06, Trade, 2581364.663, 70, B06, S06, 1
B06, Trade, 2582233.129, 70, B06, S02, 1
B06, Trade, 2582266.563, 70, B06, S02, 1
B06, Trade, 2582580.363, 70, B06, S02, 1
B06, Trade, 2583454.596, 70, B06, S05, 1
B06, Trade, 2583592.579, 69, B06, S00, 1
B06, Trade, 2583602.496, 70, B06, S00, 1
B06, Trade, 2583781.879, 70, B06, S00, 1
B06, Trade, 2583831.979, 68, B06, S02, 1
B07, 100
B07, Trade, 2578173.113, 74, B07, S03, 1
B07, Trade, 2578203.163, 74, B07, S00, 1
B07, Trade, 2578345.196, 74, B07, S02, 1
B07, Trade, 2578402.596, 74, B07, S02, 1
B07, Trade, 2578427.413, 74, B07, S00, 1
B07, Trade, 2578458.679, 74, B07, S00, 1
B07, Trade, 2578488.346, 74, B07, S02, 1
B07, Trade, 2578530.596, 74, B07, S01, 1
B07, Trade, 2578546.729, 74, B07, S06, 1
B07, Trade, 2578605.596, 74, B07, S06, 1
B07, Trade, 2578836.996, 71, B07, S00, 1
B07, Trade, 2578875.263, 74, B07, S00, 1
