B00, 0
B01, 0
B02, 0
B03, 0
B04, 8
B04, Trade, 50936.500, 63, B04, S00, 1
B04, Trade, 507020.217, 63, B04, S02, 1
B04, Trade, 878499.984, 60, B04, S02, 1
B04, Trade, 1070521.035, 63, B04, S03, 1
B04, Trade, 1260758.001, 63, B04, S02, 1
B04, Trade, 1827202.749, 63, B04, S00, 1
B04, Trade, 2331512.930, 63, B04, S01, 1
B04, Trade, 2444351.413, 63, B04, S00, 1
B05, 23
B05, Trade, 30202.600, 67, B05, S02, 1
B05, Trade, 147544.617, 67, B05, S01, 1
B05, Trade, 259540.583, 67, B05, S03, 1
B05, Trade, 259811.533, 67, B05, S01, 1
B05, Trade, 264094.750, 67, B05, S01, 1
B05, Trade, 481677.133, 67, B05, S01, 1
B05, Trade, 538824.483, 67, B05, S03, 1
B05, Trade, 577149.267, 67, B05, S02, 1
B05, Trade, 878499.051, 66, B05, S00, 1
B05, Trade, 1071675.168, 65, B05, S02, 1
B05, Trade, 1190753.418, 67, B05, S00, 1
B05, Trade, 1283753.934, 67, B05, S04, 1
B05, Trade, 1284484.184, 67, B05, S01, 1
B05, Trade, 1285869.867, 67, B05, S00, 1
B05, Trade, 1286083.201, 66, B05, S03, 1
B05, Trade, 1314487.501, 63, B05, S00, 1
B05, Trade, 1886843.298, 67, B05, S00, 1
B05, Trade, 1891008.098, 67, B05, S00, 1
B05, Trade, 2167735.714, 67, B05, S03, 1
B05, Trade, 2173989.364, 67, B05, S03, 1
B05, Trade, 2255498.964, 63, B05, S02, 1
B05, Trade, 2257428.464, 66, B05, S01, 1
B05, Trade, 2257638.697, 67, B05, S00, 1
B06, 100
B06, Trade, 1728540.966, 70, B06, S02, 1
B06, Trade, 1728990.349, 70, B06, S02, 1
B06, Trade, 1736184.599, 70, B06, S02, 1
B06, Trade, 1751744.916, 70, B06, S05, 1
B06, Trade, 1756525.066, 70, B06, S05, 1
B06, Trade, 1806819.882, 70, B06, S05, 1
B06, Trade, 1809798.399, 70, B06, S00, 1
B06, Trade, 1821949.015, 70, B06, S05, 1
B06, Trade, 1822913.532, 70, B06, S02, 1
B06, Trade, 1825301.232, 65, B06, S02, 1
B06, Trade, 1825352.299, 70, B06, S02, 1
B06, Trade, 1826022.315, 70, B06, S05, 1
B06, Trade, 1828639.865, 70, B06, S05, 1
B06, Trade, 1895736.582, 70, B06, S02, 1
B06, Trade, 1901364.398, 70, B06, S00, 1
B06, Trade, 1910323.115, 70, B06, S02, 1
B06, Trade, 1936551.565, 70, B06, S05, 1
