B00, 0
B01, 0
B02, 1
B02, Trade, 150359.100, 55, B02, S00, 1
B03, 0
B04, 8
B04, Trade, 412798.183, 63, B04, S00, 1
B04, Trade, 1983497.748, 62, B04, S02, 1
B04, Trade, 2026016.498, 63, B04, S02, 1
B04, Trade, 2039485.215, 63, B04, S02, 1
B04, Trade, 2040339.315, 63, B04, S01, 1
B04, Trade, 2041286.848, 63, B04, S04, 1
B04, Trade, 2043604.715, 63, B04, S00, 1
B04, Trade, 2078901.398, 63, B04, S02, 1
B05, 67
B05, Trade, 65864.633, 67, B05, S03, 1
B05, Trade, 143513.967, 67, B05, S02, 1
B05, Trade, 144136.167, 67, B05, S03, 1
B05, Trade, 145443.300, 67, B05, S00, 1
B05, Trade, 145526.783, 67, B05, S03, 1
B05, Trade, 145792.700, 67, B05, S00, 1
B05, Trade, 146750.717, 67, B05, S00, 1
B05, Trade, 147084.700, 67, B05, S01, 1
B05, Trade, 147125.833, 67, B05, S00, 1
B05, Trade, 148101.550, 66, B05, S00, 1
B05, Trade, 148366.967, 67, B05, S05, 1
B05, Trade, 148839.067, 67, B05, S03, 1
B05, Trade, 149083.433, 67, B05, S04, 1
B05, Trade, 149673.183, 67, B05, S03, 1
B05, Trade, 150407.900, 67, B05, S02, 1
B05, Trade, 151048.983, 67, B05, S02, 1
B05, Trade, 151118.967, 67, B05, S01, 1
B05, Trade, 194402.767, 67, B05, S01, 1
B05, Trade, 195305.017, 67, B05, S02, 1
B05, Trade, 197279.817, 66, B05, S02, 1
B05, Trade, 197558.067, 67, B05, S03, 1
B05, Trade, 198825.083, 66, B05, S01, 1
B05, Trade, 199600.083, 67, B05, S02, 1
B05, Trade, 210183.100, 67, B05, S03, 1
B05, Trade, 217119.067, 67, B05, S04, 1
B05, Trade, 275754.900, 67, B05, S04, 1
B05, Trade, 286863.517, 67, B05, S01, 1
B05, Trade, 347599.733, 67, B05, S05, 1
B05, Trade, 383008.583, 66, B05, S01, 1
B05, Trade, 440834.767, 67, B05, S00, 1
B05, Trade, 443399.367, 67, B05, S01, 1
B05, Trade, 472204.083, 67, B05, S05, 1
B05, Trade, 489593.667, 64, B05, S01, 1
B05, Trade, 489829.900, 66, B05, S04, 1
B05, Trade, 507366.050, 67, B05, S00, 1
B05, Trade, 509477.483, 67, B05, S00, 1
B05, Trade, 540977.717, 67, B05, S00, 1
B05, Trade, 1045757.485, 64, B05, S02, 1
B05, Trade, 1048868.502, 67, B05, S04, 1
B05, Trade, 1231950.584, 67, B05, S03, 1
B05, Trade, 1746935.949, 67, B05, S00, 1
B05, Trade, 1812758.715, 67, B05, S04, 1
B05, Trade, 1901829.665, 67, B05, S02, 1
B05, Trade, 1904757.415, 67, B05, S02, 1
B05, Trade, 1906526.265, 67, B05, S03, 1
B05, Trade, 1976863.098, 67, B05, S03, 1
B05, Trade, 1977730.115, 67, B05, S03, 1
B05, Trade, 1980274.631, 67, B05, S03, 1
B05, Trade, 1980927.365, 67, B05, S04, 1
B05, Trade, 1981199.815, 67, B05, S00, 1
B05, Trade, 1981437.848, 67, B05, S00, 1
B05, Trade, 1982294.215, 67, B05, S04, 1
B05, Trade, 1983152.181, 67, B05, S03, 1
B05, Trade, 1983494.931, 67, B05, S00, 1
B05, Trade, 1983645.915, 64, S03, B05, 1
B05, Trade, 1984345.598, 67, B05, S00, 1
B05, Trade, 1984360.781, 67, B05, S03, 1
B05, Trade, 1984858.098, 67, B05, S00, 1
B05, Trade, 1985978.481, 67, B05, S00, 1
B05, Trade, 1987079.565, 67, B05, S03, 1
B05, Trade, 1987206.581, 67, B05, S01, 1
B05, Trade, 1990060.148, 67, B05, S02, 1
B05, Trade, 1994150.831, 67, B05, S00, 1
B05, Trade, 2079034.464, 64, B05, S01, 1
B05, Trade, 2163272.997, 67, B05, S04, 1
B05, Trade, 2164881.647, 67, B05, S02, 1
B05, Trade, 2384572.747, 67, B05, S04, 1
B06, 100
B06, Trade, 276536.033, 70, B06, S01, 1
