B00, 0
B01, 0
B02, 1
B02, Trade, 2117348.781, 206, B02, S01, 1
B03, 7
B03, Trade, 1727858.732, 209, B03, S01, 1
B03, Trade, 2148325.664, 210, B03, S02, 1
B03, Trade, 2151964.714, 210, B03, S01, 1
B03, Trade, 2238707.147, 210, S03, B03, 1
B03, Trade, 2319546.264, 209, B03, S01, 1
B03, Trade, 2342602.280, 210, B03, S02, 1
B03, Trade, 2395102.630, 210, B03, S01, 1
B04, 63
B04, Trade, 69208.867, 63, B04, S02, 1
B04, Trade, 122082.367, 63, B04, S01, 1
B04, Trade, 229342.283, 61, B04, S01, 1
B04, Trade, 1296012.517, 139, S26, B04, 1
B04, Trade, 1451386.850, 213, B04, S00, 1
B04, Trade, 1651320.049, 213, B04, S00, 1
B04, Trade, 1721368.732, 213, B04, S02, 1
B04, Trade, 1722389.516, 210, B04, S00, 1
B04, Trade, 2112435.481, 211, B04, S01, 1
B04, Trade, 2124395.614, 213, B04, S01, 1
B04, Trade, 2132925.181, 213, B04, S01, 1
B04, Trade, 2146113.631, 213, B04, S02, 1
B04, Trade, 2146504.564, 213, B04, S01, 1
B04, Trade, 2146663.781, 213, B04, S02, 1
B04, Trade, 2146786.514, 213, B04, S00, 1
B04, Trade, 2147472.314, 213, B04, S02, 1
B04, Trade, 2148159.764, 213, B04, S02, 1
B04, Trade, 2148373.698, 213, B04, S01, 1
B04, Trade, 2148841.231, 213, B04, S02, 1
B04, Trade, 2148925.348, 212, B04, S00, 1
B04, Trade, 2149008.181, 213, B04, S01, 1
B04, Trade, 2149731.114, 213, B04, S01, 1
B04, Trade, 2149828.298, 213, B04, S02, 1
B04, Trade, 2150214.098, 213, B04, S02, 1
B04, Trade, 2150281.548, 213, B04, S02, 1
B04, Trade, 2150455.531, 213, B04, S00, 1
B04, Trade, 2150894.331, 213, B04, S02, 1
B04, Trade, 2151109.964, 213, B04, S01, 1
B04, Trade, 2151189.731, 213, B04, S01, 1
B04, Trade, 2151496.897, 213, B04, S01, 1
B04, Trade, 2151685.364, 213, B04, S00, 1
B04, Trade, 2152147.147, 213, B04, S01, 1
B04, Trade, 2152591.297, 213, B04, S01, 1
B04, Trade, 2152639.414, 213, B04, S00, 1
B04, Trade, 2233101.997, 213, B04, S03, 1
B04, Trade, 2235383.464, 213, B04, S03, 1
B04, Trade, 2238662.781, 213, B04, S03, 1
B04, Trade, 2251917.697, 212, B04, S01, 1
B04, Trade, 2298012.064, 213, B04, S03, 1
B04, Trade, 2298756.980, 213, B04, S03, 1
B04, Trade, 2298837.514, 213, B04, S00, 1
B04, Trade, 2299029.147, 213, B04, S01, 1
B04, Trade, 2299828.214, 213, B04, S01, 1
B04, Trade, 2300905.164, 213, B04, S01, 1
B04, Trade, 2301683.047, 213, B04, S03, 1
B04, Trade, 2302475.997, 213, B04, S00, 1
B04, Trade, 2302573.764, 213, B04, S04, 1
B04, Trade, 2313280.580, 213, B04, S04, 1
B04, Trade, 2319111.697, 213, B04, S02, 1
B04, Trade, 2321097.864, 213, B04, S02, 1
B04, Trade, 2323996.547, 213, B04, S03, 1
B04, Trade, 2327824.564, 213, B04, S04, 1
B04, Trade, 2340023.030, 213, B04, S02, 1
B04, Trade, 2341221.697, 213, B04, S03, 1
B04, Trade, 2342332.863, 213, B04, S01, 1
B04, Trade, 2343164.230, 213, B04, S03, 1
B04, Trade, 2344349.763, 213, B04, S03, 1
B04, Trade, 2384266.763, 213, B04, S03, 1
B04, Trade, 2460117.580, 213, B04, S02, 1
B04, Trade, 2461141.396, 213, B04, S00, 1
B04, Trade, 2462435.480, 213, B04, S03, 1
B04, Trade, 2463558.380, 213, B04, S03, 1
B04, Trade, 2465418.563, 213, B04, S03, 1
B05, 100
B05, Trade, 2327107.630, 217, B05, S03, 1
B05, Trade, 2327327.214, 217, B05, S02, 1
B05, Trade, 2328046.564, 217, B05, S03, 1
B05, Trade, 2328309.480, 217, B05, S02, 1
B05, Trade, 2328471.297, 217, B05, S02, 1
B05, Trade, 2328515.297, 217, B05, S00, 1
B05, Trade, 2328586.080, 217, B05, S02, 1
B05, Trade, 2328783.447, 217, B05, S02, 1
B05, Trade, 2328824.764, 217, B05, S04, 1
B05, Trade, 2330001.047, 217, B05, S02, 1
B05, Trade, 2330519.697, 217, B05, S03, 1
B05, Trade, 2330619.630, 217, B05, S03, 1
B05, Trade, 2330889.547, 217, B05, S03, 1
B05, Trade, 2331557.197, 217, B05, S00, 1
B05, Trade, 2332458.697, 215, B05, S04, 1
B05, Trade, 2332601.930, 217, B05, S04, 1
B05, Trade, 2332766.180, 217, B05, S04, 1
B05, Trade, 2340772.963, 217, S05, B05, 1
B05, Trade, 2341065.397, 215, B05, S01, 1
B05, Trade, 2341486.280, 217, B05, S05, 1
B05, Trade, 2342332.530, 217, B05, S05, 1
B05, Trade, 2342430.330, 215, B05, S02, 1
B05, Trade, 2342602.263, 216, B05, S01, 1
B05, Trade, 2343963.997, 217, B05, S03, 1
B05, Trade, 2346118.580, 217, B05, S01, 1
B05, Trade, 2346529.230, 217, B05, S03, 1
B05, Trade, 2346824.030, 211, S03, B05, 1
B05, Trade, 2369953.363, 217, B05, S03, 1
B05, Trade, 2377404.647, 217, B05, S04, 1
B05, Trade, 2390547.413, 214, B05, S03, 1
B05, Trade, 2391721.730, 214, B05, S01, 1
B05, Trade, 2392394.497, 215, B05, S01, 1
B05, Trade, 2393323.047, 217, B05, S03, 1
B05, Trade, 2395870.830, 217, B05, S01, 1
B05, Trade, 2396089.613, 217, B05, S05, 1
B05, Trade, 2456097.313, 217, B05, S04, 1
B05, Trade, 2456297.463, 217, B05, S00, 1
B05, Trade, 2456966.413, 217, B05, S03, 1
B05, Trade, 2458018.180, 217, B05, S02, 1
B05, Trade, 2461221.630, 215, B05, S03, 1
B05, Trade, 2461783.213, 217, B05, S05, 1
B05, Trade, 2462839.330, 215, B05, S03, 1
B05, Trade, 2463459.363, 217, B05, S05, 1
B05, Trade, 2463633.563, 217, B05, S03, 1
B05, Trade, 2464434.313, 217, B05, S04, 1
B05, Trade, 2464541.663, 217, B05, S05, 1
B05, Trade, 2465295.796, 217, B05, S03, 1
B05, Trade, 2465550.746, 217, B05, S03, 1
B05, Trade, 2465627.630, 217, B05, S04, 1
B05, Trade, 2467165.963, 215, B05, S04, 1
B05, Trade, 2467345.246, 212, B05, S03, 1
B05, Trade, 2468002.930, 216, B05, S03, 1
B05, Trade, 2468306.396, 217, B05, S03, 1
B05, Trade, 2468597.163, 216, B05, S04, 1
B05, Trade, 2468875.396, 217, B05, S03, 1
B05, Trade, 2469068.780, 217, B05, S03, 1
B05, Trade, 2491684.896, 217, B05, S00, 1
B05, Trade, 2493500.463, 217, B05, S01, 1
B05, Trade, 2494573.946, 217, B05, S01, 1
B05, Trade, 2495483.563, 217, B05, S01, 1
B05, Trade, 2498157.963, 217, B05, S01, 1
B05, Trade, 2498186.546, 217, B05, S00, 1
B05, Trade, 2499241.146, 217, B05, S00, 1
B05, Trade, 2528607.546, 214, B05, S02, 1
B05, Trade, 2540913.796, 217, B05, S03, 1
B05, Trade, 2546476.913, 217, B05, S01, 1
B05, Trade, 2547363.929, 217, B05, S01, 1
B05, Trade, 2558290.363, 217, B05, S00, 1
B05, Trade, 2559390.196, 217, B05, S05, 1
B05, Trade, 2560915.096, 217, B05, S03, 1
B05, Trade, 2562782.279, 217, B05, S05, 1
B05, Trade, 2563623.063, 217, B05, S02, 1
B05, Trade, 2564082.546, 217, B05, S01, 1
B05, Trade, 2564211.829, 217, B05, S05, 1
B05, Trade, 2564416.713, 217, B05, S03, 1
B05, Trade, 2565179.363, 217, B05, S03, 1
B05, Trade, 2565824.746, 217, B05, S03, 1
B05, Trade, 2566182.963, 217, B05, S01, 1
B05, Trade, 2566664.813, 211, B05, S01, 1
B05, Trade, 2566926.629, 217, B05, S03, 1
B05, Trade, 2567877.513, 217, B05, S01, 1
B05, Trade, 2568571.496, 217, B05, S03, 1
B05, Trade, 2568973.163, 217, B05, S02, 1
B05, Trade, 2570016.679, 217, B05, S04, 1
B05, Trade, 2570842.479, 217, B05, S04, 1
B05, Trade, 2570924.529, 217, B05, S02, 1
B05, Trade, 2570976.263, 217, B05, S04, 1
B05, Trade, 2571600.063, 217, B05, S01, 1
B05, Trade, 2572052.779, 217, B05, S01, 1
B05, Trade, 2572683.229, 217, B05, S04, 1
B05, Trade, 2573547.313, 217, B05, S02, 1
B05, Trade, 2574018.913, 217, B05, S03, 1
