B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 1532850.100, 209, B03, S00, 1
B04, 11
B04, Trade, 1249842.101, 63, B04, S00, 1
B04, Trade, 1296013.284, 203, S01, B04, 1
B04, Trade, 1557469.383, 209, B04, S00, 1
B04, Trade, 1557972.700, 211, B04, S02, 1
B04, Trade, 1558316.100, 213, B04, S00, 1
B04, Trade, 1558877.266, 213, B04, S02, 1
B04, Trade, 1559042.300, 209, B04, S02, 1
B04, Trade, 1561446.383, 213, B04, S02, 1
B04, Trade, 2218678.714, 213, B04, S04, 1
B04, Trade, 2222764.181, 207, B04, S01, 1
B04, Trade, 2368926.597, 213, B04, S01, 1
B05, 40
B05, Trade, 148478.767, 67, B05, S00, 1
B05, Trade, 224540.800, 64, B05, S01, 1
B05, Trade, 291785.500, 67, B05, S01, 1
B05, Trade, 365453.100, 67, B05, S00, 1
B05, Trade, 704505.967, 67, B05, S01, 1
B05, Trade, 865770.651, 65, B05, S00, 1
B05, Trade, 958598.835, 67, B05, S05, 1
B05, Trade, 961174.468, 67, B05, S04, 1
B05, Trade, 964339.035, 67, B05, S03, 1
B05, Trade, 993376.351, 65, B05, S01, 1
B05, Trade, 998101.901, 67, B05, S02, 1
B05, Trade, 1049353.952, 67, B05, S01, 1
B05, Trade, 1052120.768, 67, B05, S01, 1
B05, Trade, 1054479.552, 67, B05, S01, 1
B05, Trade, 1167618.768, 67, B05, S00, 1
B05, Trade, 1224986.734, 67, B05, S03, 1
B05, Trade, 1225016.784, 66, B05, S00, 1
B05, Trade, 1229059.634, 67, B05, S01, 1
B05, Trade, 1229671.818, 67, B05, S04, 1
B05, Trade, 1296008.951, 113, S11, B05, 1
B05, Trade, 1335714.617, 217, B05, S01, 1
B05, Trade, 1562483.783, 217, B05, S04, 1
B05, Trade, 1877165.549, 217, B05, S04, 1
B05, Trade, 1900440.332, 217, B05, S05, 1
B05, Trade, 2022797.998, 217, B05, S00, 1
B05, Trade, 2046567.698, 217, B05, S02, 1
B05, Trade, 2068004.181, 217, B05, S00, 1
B05, Trade, 2076496.264, 217, B05, S03, 1
