B00, 1
B00, Trade, 1296013.234, 108, S17, B00, 1
B01, 0
B02, 0
B03, 0
B04, 26
B04, Trade, 1189981.451, 63, B04, S01, 1
B04, Trade, 1287441.584, 62, B04, S00, 1
B04, Trade, 1395049.617, 213, B04, S01, 1
B04, Trade, 1605299.383, 213, B04, S04, 1
B04, Trade, 1759482.066, 213, B04, S01, 1
B04, Trade, 1952653.965, 210, B04, S00, 1
B04, Trade, 1953074.798, 213, B04, S00, 1
B04, Trade, 1953354.298, 212, B04, S00, 1
B04, Trade, 1954530.115, 213, B04, S01, 1
B04, Trade, 2103415.631, 213, B04, S03, 1
B04, Trade, 2104962.964, 213, B04, S01, 1
B04, Trade, 2116879.748, 213, B04, S01, 1
B04, Trade, 2119678.681, 213, B04, S01, 1
B04, Trade, 2122289.298, 213, B04, S01, 1
B04, Trade, 2293606.180, 213, B04, S03, 1
B04, Trade, 2480052.313, 213, S04, B04, 1
B04, Trade, 2480217.346, 213, B04, S02, 1
B04, Trade, 2481949.813, 211, B04, S01, 1
B04, Trade, 2483084.263, 208, B04, S01, 1
B04, Trade, 2527613.779, 211, B04, S01, 1
B04, Trade, 2532539.646, 213, B04, S03, 1
B04, Trade, 2556029.613, 213, B04, S03, 1
B04, Trade, 2561098.463, 213, B04, S04, 1
B04, Trade, 2567263.196, 213, B04, S01, 1
B04, Trade, 2569889.013, 211, B04, S01, 1
B04, Trade, 2590319.263, 213, B04, S04, 1
B05, 58
B05, Trade, 70553.250, 67, B05, S00, 1
B05, Trade, 71357.033, 66, B05, S04, 1
B05, Trade, 124232.183, 67, B05, S00, 1
B05, Trade, 125768.900, 67, B05, S00, 1
B05, Trade, 128738.767, 67, B05, S01, 1
B05, Trade, 308714.050, 66, B05, S04, 1
B05, Trade, 348897.783, 67, B05, S00, 1
B05, Trade, 659398.000, 67, B05, S01, 1
B05, Trade, 661697.534, 67, B05, S05, 1
B05, Trade, 663888.800, 67, B05, S01, 1
B05, Trade, 1394819.250, 217, B05, S01, 1
B05, Trade, 1548469.266, 217, B05, S00, 1
B05, Trade, 1555014.966, 217, B05, S04, 1
B05, Trade, 1599240.083, 217, B05, S01, 1
B05, Trade, 1604200.400, 217, B05, S05, 1
B05, Trade, 1613127.600, 209, B05, S01, 1
B05, Trade, 1688194.449, 217, B05, S04, 1
B05, Trade, 1691453.399, 217, B05, S01, 1
B05, Trade, 1705001.599, 216, S02, B05, 1
B05, Trade, 1745154.999, 217, S05, B05, 1
B05, Trade, 1758221.349, 213, B05, S00, 1
B05, Trade, 1758328.999, 217, B05, S01, 1
B05, Trade, 1873089.932, 215, B05, S04, 1
B05, Trade, 1873209.349, 216, B05, S02, 1
B05, Trade, 1873221.565, 216, B05, S04, 1
B05, Trade, 1873290.532, 215, B05, S02, 1
B05, Trade, 1873721.215, 216, B05, S01, 1
B05, Trade, 1874160.565, 217, B05, S02, 1
B05, Trade, 1874517.365, 216, B05, S02, 1
B05, Trade, 1874646.232, 217, B05, S00, 1
B05, Trade, 1874716.915, 217, B05, S01, 1
B05, Trade, 1875738.432, 214, B05, S02, 1
B05, Trade, 1876414.615, 216, B05, S00, 1
B05, Trade, 1876831.932, 216, B05, S02, 1
B05, Trade, 1877000.732, 214, B05, S01, 1
B05, Trade, 1877189.765, 217, B05, S00, 1
B05, Trade, 1878809.199, 216, B05, S00, 1
B05, Trade, 1878892.782, 217, B05, S00, 1
B05, Trade, 1907081.815, 217, B05, S01, 1
B05, Trade, 1956437.082, 216, B05, S02, 1
B05, Trade, 2073148.131, 217, B05, S04, 1
B05, Trade, 2077494.848, 214, B05, S01, 1
B05, Trade, 2095840.331, 214, B05, S03, 1
B05, Trade, 2098507.664, 216, B05, S00, 1
B05, Trade, 2101216.614, 217, B05, S02, 1
B05, Trade, 2107829.714, 217, B05, S03, 1
B05, Trade, 2117372.881, 214, B05, S01, 1
B05, Trade, 2117601.431, 215, B05, S00, 1
B05, Trade, 2117823.581, 217, B05, S03, 1
B05, Trade, 2118669.798, 217, B05, S00, 1
B05, Trade, 2119678.614, 215, B05, S02, 1
B05, Trade, 2119817.514, 216, B05, S03, 1
B05, Trade, 2119850.148, 216, B05, S00, 1
B05, Trade, 2180159.797, 217, B05, S04, 1
B05, Trade, 2459364.713, 215, B05, S00, 1
B05, Trade, 2460693.363, 216, B05, S00, 1
B05, Trade, 2515984.729, 217, B05, S03, 1
B05, Trade, 2517247.346, 217, B05, S02, 1
B06, 100
B06, Trade, 2381034.913, 220, B06, S01, 1
B06, Trade, 2399170.047, 218, B06, S03, 1
B06, Trade, 2403038.397, 219, B06, S01, 1
B06, Trade, 2404229.863, 220, B06, S02, 1
B06, Trade, 2419436.430, 220, B06, S01, 1
B06, Trade, 2422569.063, 220, B06, S05, 1
B06, Trade, 2430011.280, 220, B06, S01, 1
B06, Trade, 2436578.713, 219, B06, S02, 1
B06, Trade, 2438687.580, 220, B06, S05, 1
B06, Trade, 2439659.646, 220, B06, S05, 1
B06, Trade, 2444085.980, 218, B06, S02, 1
B06, Trade, 2456756.846, 220, B06, S00, 1
B06, Trade, 2457663.496, 220, B06, S05, 1
B06, Trade, 2473882.846, 220, B06, S01, 1
B06, Trade, 2475451.846, 220, B06, S05, 1
B06, Trade, 2476900.946, 219, B06, S03, 1
B06, Trade, 2476908.380, 220, B06, S01, 1
B06, Trade, 2477345.196, 219, B06, S01, 1
B06, Trade, 2477636.330, 219, B06, S03, 1
B06, Trade, 2477679.663, 218, B06, S00, 1
B06, Trade, 2478081.530, 220, B06, S00, 1
B06, Trade, 2478644.180, 220, B06, S01, 1
B06, Trade, 2478681.046, 214, B06, S01, 1
B06, Trade, 2479322.246, 217, B06, S03, 1
B06, Trade, 2479391.863, 220, B06, S01, 1
B06, Trade, 2479702.863, 220, B06, S01, 1
B06, Trade, 2480878.880, 217, B06, S01, 1
B06, Trade, 2481036.680, 218, B06, S00, 1
B06, Trade, 2481141.996, 220, B06, S02, 1
B06, Trade, 2481412.296, 219, B06, S02, 1
B06, Trade, 2482002.296, 217, B06, S02, 1
B06, Trade, 2482209.930, 218, B06, S02, 1
B06, Trade, 2482381.913, 217, B06, S01, 1
B06, Trade, 2482891.263, 219, B06, S02, 1
B06, Trade, 2482897.380, 219, B06, S04, 1
