B00, 0
B01, 0
B02, 0
B03, 6
B03, Trade, 1296012.167, 125, S22, B03, 1
B03, Trade, 1308147.467, 210, B03, S00, 1
B03, Trade, 1795132.132, 209, B03, S02, 1
B03, Trade, 1855037.349, 210, B03, S00, 1
B03, Trade, 1932628.482, 210, B03, S03, 1
B03, Trade, 1935486.482, 210, B03, S03, 1
B04, 51
B04, Trade, 79274.683, 63, B04, S00, 1
B04, Trade, 82646.617, 63, B04, S02, 1
B04, Trade, 83344.450, 63, B04, S00, 1
B04, Trade, 84779.833, 63, B04, S00, 1
B04, Trade, 86112.383, 63, B04, S02, 1
B04, Trade, 175251.433, 63, B04, S03, 1
B04, Trade, 194450.717, 62, B04, S01, 1
B04, Trade, 194570.600, 63, B04, S00, 1
B04, Trade, 196160.600, 62, B04, S00, 1
B04, Trade, 197010.350, 62, B04, S01, 1
B04, Trade, 198936.283, 63, B04, S01, 1
B04, Trade, 241121.883, 63, B04, S00, 1
B04, Trade, 276748.617, 63, B04, S02, 1
B04, Trade, 295962.433, 62, B04, S01, 1
B04, Trade, 297096.900, 63, B04, S00, 1
B04, Trade, 297866.517, 63, B04, S00, 1
B04, Trade, 520658.817, 63, B04, S02, 1
B04, Trade, 837843.368, 63, B04, S03, 1
B04, Trade, 1021113.268, 63, B04, S03, 1
B04, Trade, 1151253.235, 63, B04, S00, 1
B04, Trade, 1296012.501, 136, S25, B04, 1
B04, Trade, 1334168.684, 213, B04, S01, 1
B04, Trade, 1792884.916, 213, B04, S00, 1
B04, Trade, 1793499.416, 213, B04, S01, 1
B04, Trade, 1795352.715, 213, B04, S00, 1
B04, Trade, 1795951.349, 213, B04, S00, 1
B04, Trade, 1796604.032, 213, B04, S01, 1
B04, Trade, 1797374.682, 213, B04, S00, 1
B04, Trade, 1808242.199, 211, B04, S03, 1
B04, Trade, 1812603.715, 213, B04, S00, 1
B04, Trade, 1873759.532, 213, B04, S03, 1
B04, Trade, 1875256.365, 213, B04, S00, 1
B04, Trade, 1878317.765, 213, B04, S00, 1
B04, Trade, 1878920.132, 213, B04, S02, 1
B04, Trade, 1914250.165, 211, B04, S02, 1
B04, Trade, 1932627.115, 211, B04, S00, 1
B04, Trade, 1935991.482, 212, B04, S00, 1
B04, Trade, 2163745.664, 213, B04, S01, 1
B04, Trade, 2164537.081, 213, B04, S00, 1
B04, Trade, 2166052.564, 213, B04, S04, 1
B04, Trade, 2166375.481, 213, B04, S00, 1
B04, Trade, 2383844.413, 210, B04, S02, 1
