B00, 0
B01, 1
B01, Trade, 94829.333, 53, B01, S00, 1
B02, 1
B02, Trade, 1296010.917, 115, S19, B02, 1
B03, 5
B03, Trade, 108926.150, 60, B03, S00, 1
B03, Trade, 161574.100, 60, B03, S02, 1
B03, Trade, 1296011.351, 136, S25, B03, 1
B03, Trade, 1401682.184, 209, B03, S02, 1
B03, Trade, 1687349.983, 210, B03, S00, 1
B04, 6
B04, Trade, 89795.450, 61, B04, S01, 1
B04, Trade, 92282.717, 63, B04, S01, 1
B04, Trade, 115583.350, 60, B04, S00, 1
B04, Trade, 145885.167, 63, B04, S03, 1
B04, Trade, 1750274.349, 213, B04, S00, 1
B04, Trade, 1754403.349, 213, B04, S00, 1
B05, 100
B05, Trade, 68703.083, 67, B05, S01, 1
B05, Trade, 115235.000, 67, B05, S02, 1
B05, Trade, 115582.883, 67, B05, S04, 1
B05, Trade, 115863.750, 67, B05, S00, 1
B05, Trade, 116252.317, 67, B05, S03, 1
B05, Trade, 116364.433, 67, B05, S00, 1
B05, Trade, 117714.867, 66, B05, S03, 1
B05, Trade, 118070.867, 67, B05, S02, 1
B05, Trade, 118522.150, 67, B05, S04, 1
B05, Trade, 118994.283, 67, B05, S03, 1
B05, Trade, 119612.667, 67, B05, S00, 1
B05, Trade, 119640.250, 67, B05, S00, 1
B05, Trade, 120284.133, 67, B05, S00, 1
B05, Trade, 120999.683, 66, B05, S03, 1
B05, Trade, 121068.917, 67, B05, S00, 1
B05, Trade, 121198.733, 67, B05, S03, 1
B05, Trade, 122279.983, 67, B05, S01, 1
B05, Trade, 122772.417, 66, B05, S02, 1
B05, Trade, 161573.850, 63, S04, B05, 1
B05, Trade, 168708.467, 67, B05, S05, 1
B05, Trade, 365070.600, 67, B05, S01, 1
B05, Trade, 450645.900, 66, B05, S01, 1
B05, Trade, 451528.050, 67, B05, S04, 1
B05, Trade, 457196.367, 67, B05, S03, 1
B05, Trade, 510411.167, 67, B05, S01, 1
B05, Trade, 1218913.734, 67, B05, S00, 1
B05, Trade, 1297386.717, 217, B05, S02, 1
