B00, 0
B01, 0
B02, 0
B03, 0
B04, 12
B04, Trade, 121819.517, 63, B04, S03, 1
B04, Trade, 146988.967, 63, B04, S00, 1
B04, Trade, 1416073.950, 213, B04, S03, 1
B04, Trade, 1474340.667, 212, B04, S00, 1
B04, Trade, 1621064.866, 213, B04, S01, 1
B04, Trade, 1961561.548, 213, B04, S02, 1
B04, Trade, 2390028.563, 213, B04, S04, 1
B04, Trade, 2419739.830, 213, B04, S02, 1
B04, Trade, 2419972.730, 213, B04, S04, 1
B04, Trade, 2421729.863, 213, B04, S00, 1
B04, Trade, 2424708.780, 213, B04, S04, 1
B04, Trade, 2426130.680, 213, B04, S04, 1
B05, 100
B05, Trade, 103213.067, 64, B05, S00, 1
B05, Trade, 103321.950, 67, B05, S02, 1
B05, Trade, 105291.233, 67, B05, S02, 1
B05, Trade, 105498.567, 66, B05, S01, 1
B05, Trade, 105648.017, 66, B05, S04, 1
B05, Trade, 106574.500, 64, B05, S01, 1
B05, Trade, 106702.500, 66, B05, S00, 1
B05, Trade, 107070.283, 65, B05, S02, 1
B05, Trade, 107300.883, 63, B05, S00, 1
B05, Trade, 116623.800, 65, B05, S00, 1
B05, Trade, 117078.933, 66, B05, S03, 1
B05, Trade, 117586.033, 66, B05, S02, 1
B05, Trade, 117650.567, 64, S03, B05, 1
B05, Trade, 119533.450, 66, B05, S02, 1
B05, Trade, 130290.933, 67, B05, S00, 1
B05, Trade, 131440.517, 67, B05, S00, 1
B05, Trade, 135563.700, 67, B05, S02, 1
B05, Trade, 136256.783, 67, B05, S03, 1
B05, Trade, 136646.950, 67, B05, S00, 1
B05, Trade, 144097.050, 67, B05, S03, 1
B05, Trade, 144484.150, 66, B05, S00, 1
B05, Trade, 145127.667, 66, B05, S04, 1
B05, Trade, 147442.083, 66, B05, S03, 1
B05, Trade, 150324.367, 66, B05, S02, 1
B05, Trade, 208808.917, 67, B05, S00, 1
B05, Trade, 232190.067, 67, B05, S03, 1
B05, Trade, 280417.400, 67, B05, S00, 1
B05, Trade, 1118626.051, 67, B05, S04, 1
B05, Trade, 1120004.768, 67, B05, S03, 1
B05, Trade, 1145367.901, 67, B05, S01, 1
B05, Trade, 1150665.618, 67, B05, S01, 1
B05, Trade, 1151694.285, 67, B05, S01, 1
B05, Trade, 1302255.034, 217, B05, S00, 1
B05, Trade, 1362806.550, 217, B05, S03, 1
B05, Trade, 1364467.284, 217, B05, S03, 1
B05, Trade, 1365037.317, 217, B05, S00, 1
B05, Trade, 1380633.150, 217, B05, S03, 1
B05, Trade, 1381055.534, 213, B05, S03, 1
B05, Trade, 1411599.934, 217, B05, S02, 1
B05, Trade, 1411835.950, 217, B05, S01, 1
B05, Trade, 1412870.917, 217, B05, S01, 1
B05, Trade, 1413060.917, 217, B05, S00, 1
B05, Trade, 1447427.900, 217, B05, S00, 1
B05, Trade, 1448410.700, 217, B05, S05, 1
B05, Trade, 1451035.783, 217, B05, S00, 1
B05, Trade, 1621064.566, 217, B05, S00, 1
B05, Trade, 1623742.483, 217, B05, S05, 1
B05, Trade, 1676486.166, 217, B05, S04, 1
B05, Trade, 1679941.633, 216, B05, S01, 1
B05, Trade, 1796445.449, 217, B05, S02, 1
B05, Trade, 1833755.982, 217, B05, S00, 1
B05, Trade, 1834091.732, 217, B05, S04, 1
B05, Trade, 1886491.465, 217, B05, S02, 1
B05, Trade, 1891149.582, 217, B05, S01, 1
