B00, 0
B01, 1
B01, Trade, 1296009.867, 101, S04, B01, 1
B02, 2
B02, Trade, 1296468.434, 206, B02, S01, 1
B02, Trade, 2186292.581, 206, B02, S01, 1
B03, 6
B03, Trade, 1296557.334, 209, B03, S00, 1
B03, Trade, 1298367.334, 210, B03, S01, 1
B03, Trade, 1612823.283, 210, B03, S03, 1
B03, Trade, 2016439.615, 210, B03, S00, 1
B03, Trade, 2169485.131, 210, B03, S01, 1
B03, Trade, 2187152.547, 208, B03, S00, 1
B04, 75
B04, Trade, 183225.617, 63, B04, S02, 1
B04, Trade, 186970.167, 63, B04, S03, 1
B04, Trade, 211928.900, 63, B04, S03, 1
B04, Trade, 256308.417, 63, B04, S02, 1
B04, Trade, 260780.200, 63, B04, S00, 1
B04, Trade, 264321.633, 63, B04, S03, 1
B04, Trade, 265287.700, 63, B04, S01, 1
B04, Trade, 372782.350, 63, B04, S01, 1
B04, Trade, 396461.717, 63, B04, S03, 1
B04, Trade, 470388.217, 63, B04, S02, 1
B04, Trade, 472017.033, 63, B04, S01, 1
B04, Trade, 473889.983, 63, B04, S04, 1
B04, Trade, 475063.400, 63, B04, S01, 1
B04, Trade, 540956.183, 63, B04, S02, 1
B04, Trade, 762604.767, 63, B04, S02, 1
B04, Trade, 872541.851, 63, B04, S02, 1
B04, Trade, 1159755.068, 63, B04, S00, 1
B04, Trade, 1202445.101, 63, B04, S00, 1
B04, Trade, 1211143.318, 61, B04, S02, 1
B04, Trade, 1296018.517, 210, B04, S03, 1
B04, Trade, 1296218.067, 213, B04, S02, 1
B04, Trade, 1296393.067, 213, B04, S03, 1
B04, Trade, 1296603.351, 213, B04, S01, 1
B04, Trade, 1296868.867, 213, B04, S01, 1
B04, Trade, 1297133.134, 213, B04, S01, 1
B04, Trade, 1297368.317, 213, B04, S00, 1
B04, Trade, 1297408.301, 213, B04, S01, 1
B04, Trade, 1297461.367, 213, B04, S01, 1
B04, Trade, 1297709.834, 213, B04, S01, 1
B04, Trade, 1297799.034, 213, B04, S00, 1
B04, Trade, 1297991.617, 213, B04, S01, 1
B04, Trade, 1298215.601, 213, B04, S03, 1
B04, Trade, 1298283.451, 213, B04, S01, 1
B04, Trade, 1298368.067, 213, B04, S00, 1
B04, Trade, 1298509.584, 213, B04, S03, 1
B04, Trade, 1298522.967, 213, B04, S03, 1
B04, Trade, 1298597.317, 213, B04, S00, 1
B04, Trade, 1298628.217, 211, B04, S01, 1
B04, Trade, 1298651.734, 213, B04, S03, 1
B04, Trade, 1298700.034, 213, B04, S01, 1
B04, Trade, 1298943.967, 213, B04, S03, 1
B04, Trade, 1299413.234, 213, B04, S03, 1
B04, Trade, 1299484.984, 213, B04, S02, 1
B04, Trade, 1299593.717, 213, B04, S03, 1
B04, Trade, 1300053.751, 211, B04, S01, 1
B04, Trade, 1300124.601, 213, B04, S02, 1
B04, Trade, 1300459.101, 213, B04, S01, 1
B04, Trade, 1300551.151, 213, B04, S02, 1
B04, Trade, 1300946.984, 213, B04, S03, 1
B04, Trade, 1301243.167, 213, B04, S01, 1
B04, Trade, 1301257.517, 213, B04, S03, 1
B04, Trade, 1301341.001, 213, B04, S01, 1
B04, Trade, 1301400.701, 213, B04, S00, 1
B04, Trade, 1301717.234, 213, B04, S01, 1
B04, Trade, 1301812.717, 213, B04, S01, 1
B04, Trade, 1301996.951, 211, B04, S01, 1
B04, Trade, 1302298.351, 211, B04, S01, 1
B04, Trade, 1302883.467, 213, B04, S02, 1
B04, Trade, 1303049.667, 213, B04, S03, 1
B04, Trade, 1303090.434, 213, B04, S01, 1
B04, Trade, 1303155.817, 213, B04, S03, 1
B04, Trade, 1342167.534, 213, B04, S00, 1
B04, Trade, 1346528.034, 213, B04, S02, 1
B04, Trade, 1346639.550, 213, B04, S02, 1
B04, Trade, 1348147.167, 213, B04, S01, 1
B04, Trade, 1348305.034, 213, B04, S01, 1
B04, Trade, 1348830.117, 213, B04, S02, 1
