B00, 0
B01, 0
B02, 3
B02, Trade, 1296014.151, 150, S29, B02, 1
B02, Trade, 1641882.249, 205, B02, S01, 1
B02, Trade, 2389077.563, 206, B02, S01, 1
B03, 8
B03, Trade, 1464232.200, 210, B03, S01, 1
B03, Trade, 1616254.666, 207, B03, S01, 1
B03, Trade, 1618102.516, 210, B03, S00, 1
B03, Trade, 1619693.333, 210, B03, S02, 1
B03, Trade, 1619756.999, 208, B03, S01, 1
B03, Trade, 2389046.463, 210, B03, S01, 1
B03, Trade, 2442478.680, 210, B03, S01, 1
B03, Trade, 2585640.046, 209, B03, S02, 1
B04, 58
B04, Trade, 1268870.834, 63, B04, S03, 1
B04, Trade, 1315043.684, 213, B04, S04, 1
B04, Trade, 1335390.367, 211, B04, S02, 1
B04, Trade, 1342256.017, 213, B04, S01, 1
B04, Trade, 1463912.633, 212, B04, S00, 1
B04, Trade, 1464342.183, 213, B04, S01, 1
B04, Trade, 1464414.133, 212, B04, S01, 1
B04, Trade, 1465122.217, 213, B04, S03, 1
B04, Trade, 1467213.067, 213, B04, S01, 1
B04, Trade, 1467361.733, 213, B04, S01, 1
B04, Trade, 1467606.467, 213, B04, S01, 1
B04, Trade, 1490941.683, 213, B04, S01, 1
B04, Trade, 1491651.033, 213, B04, S04, 1
B04, Trade, 1491752.417, 213, B04, S01, 1
B04, Trade, 1492608.117, 213, B04, S04, 1
B04, Trade, 1493358.017, 213, B04, S01, 1
B04, Trade, 1581540.283, 213, B04, S01, 1
B04, Trade, 1581752.766, 213, B04, S01, 1
B04, Trade, 1609670.116, 213, B04, S01, 1
B04, Trade, 1614503.600, 212, B04, S00, 1
B04, Trade, 1616623.333, 212, B04, S01, 1
B04, Trade, 1616830.649, 212, B04, S01, 1
B04, Trade, 1617010.599, 213, B04, S00, 1
B04, Trade, 1617750.366, 213, B04, S00, 1
B04, Trade, 1618022.066, 213, S04, B04, 1
B04, Trade, 1618100.899, 212, B04, S01, 1
B04, Trade, 1618326.449, 212, B04, S02, 1
B04, Trade, 1618895.833, 213, B04, S01, 1
B04, Trade, 1619755.933, 213, B04, S04, 1
B04, Trade, 1619989.549, 212, B04, S00, 1
B04, Trade, 1621758.166, 212, B04, S00, 1
B04, Trade, 1623609.116, 211, B04, S00, 1
B04, Trade, 1641710.733, 212, B04, S00, 1
B04, Trade, 1643780.333, 213, B04, S01, 1
B04, Trade, 1643798.949, 213, B04, S00, 1
B04, Trade, 1644229.166, 212, B04, S01, 1
B04, Trade, 1644483.016, 211, B04, S01, 1
B04, Trade, 1645537.649, 213, B04, S00, 1
B04, Trade, 1647839.033, 210, B04, S01, 1
B04, Trade, 1648132.116, 213, B04, S01, 1
B04, Trade, 1648718.366, 211, B04, S00, 1
B04, Trade, 1689291.033, 213, B04, S04, 1
B04, Trade, 1691488.433, 213, B04, S01, 1
B04, Trade, 1773629.416, 213, B04, S00, 1
B04, Trade, 1776007.732, 213, B04, S03, 1
B04, Trade, 1776226.582, 213, B04, S01, 1
B04, Trade, 2350517.413, 213, B04, S01, 1
B04, Trade, 2478634.180, 210, B04, S03, 1
B04, Trade, 2478773.213, 213, B04, S00, 1
B04, Trade, 2480973.080, 211, S03, B04, 1
B04, Trade, 2585332.679, 212, B04, S02, 1
B04, Trade, 2585936.096, 213, B04, S04, 1
B04, Trade, 2586235.979, 210, B04, S02, 1
B04, Trade, 2586899.413, 213, B04, S02, 1
B04, Trade, 2588581.196, 213, B04, S04, 1
B04, Trade, 2589509.996, 212, B04, S02, 1
B04, Trade, 2589568.879, 213, B04, S03, 1
B04, Trade, 2590729.246, 213, B04, S01, 1
B05, 100
B05, Trade, 1645951.933, 217, B05, S01, 1
B05, Trade, 1646548.366, 217, B05, S04, 1
B05, Trade, 1648129.916, 212, B05, S00, 1
B05, Trade, 1648895.833, 217, B05, S00, 1
B05, Trade, 1650324.749, 217, B05, S04, 1
B05, Trade, 1651040.149, 217, B05, S04, 1
B05, Trade, 1652460.849, 217, B05, S05, 1
B05, Trade, 1652483.233, 217, B05, S00, 1
B05, Trade, 1654875.399, 217, B05, S00, 1
B05, Trade, 1701637.666, 217, B05, S01, 1
B05, Trade, 1701895.699, 217, B05, S00, 1
B05, Trade, 1701931.466, 217, B05, S01, 1
B05, Trade, 1723955.616, 216, B05, S00, 1
B05, Trade, 1726257.382, 217, B05, S04, 1
B05, Trade, 1727418.882, 215, B05, S00, 1
B05, Trade, 1764381.149, 213, B05, S01, 1
B05, Trade, 1765907.932, 217, B05, S04, 1
B05, Trade, 1766920.582, 217, B05, S00, 1
B05, Trade, 1768982.999, 217, B05, S03, 1
B05, Trade, 1787894.666, 216, B05, S04, 1
B05, Trade, 1790998.566, 215, B05, S00, 1
B05, Trade, 1791239.432, 216, B05, S04, 1
B05, Trade, 1802312.949, 217, B05, S00, 1
B05, Trade, 1817395.782, 217, B05, S05, 1
B05, Trade, 1820264.665, 212, B05, S00, 1
B05, Trade, 1851709.082, 217, B05, S03, 1
B05, Trade, 1852230.749, 217, B05, S00, 1
B05, Trade, 1853258.632, 217, B05, S00, 1
B05, Trade, 1856666.315, 217, B05, S00, 1
B05, Trade, 1881240.999, 217, B05, S05, 1
B05, Trade, 1894238.482, 217, B05, S00, 1
B05, Trade, 1896175.748, 217, B05, S00, 1
B05, Trade, 1896960.415, 217, B05, S00, 1
B05, Trade, 1900981.598, 217, B05, S00, 1
B05, Trade, 1908607.348, 217, B05, S00, 1
B05, Trade, 1910727.648, 217, B05, S00, 1
B05, Trade, 1914366.248, 217, B05, S04, 1
B05, Trade, 1919134.615, 217, B05, S04, 1
B05, Trade, 1920225.215, 217, B05, S03, 1
B05, Trade, 1950961.948, 217, B05, S00, 1
B05, Trade, 2157485.347, 217, B05, S00, 1
B05, Trade, 2184204.647, 217, B05, S00, 1
B05, Trade, 2232886.364, 217, B05, S00, 1
B05, Trade, 2348480.213, 215, B05, S00, 1
B05, Trade, 2348939.963, 216, B05, S00, 1
B05, Trade, 2349114.913, 216, B05, S01, 1
B05, Trade, 2350165.547, 217, B05, S01, 1
B05, Trade, 2351228.547, 216, B05, S02, 1
B05, Trade, 2352379.847, 217, B05, S03, 1
B05, Trade, 2353082.447, 217, B05, S00, 1
B05, Trade, 2357422.047, 217, B05, S01, 1
B05, Trade, 2383488.830, 217, B05, S01, 1
B05, Trade, 2383612.297, 217, B05, S00, 1
B05, Trade, 2383777.213, 217, B05, S00, 1
B05, Trade, 2383914.813, 217, B05, S04, 1
B05, Trade, 2384018.847, 217, B05, S03, 1
B05, Trade, 2384064.947, 217, B05, S01, 1
