B00, 100
B00, Trade, 2590414.613, 104, S07, B00, 1
B00, Trade, 2590441.529, 101, S16, B00, 1
B00, Trade, 2590452.796, 100, S15, B00, 1
B00, Trade, 2590475.379, 100, S05, B00, 1
B00, Trade, 2590492.863, 128, S13, B00, 1
B00, Trade, 2590506.329, 101, S14, B00, 1
B00, Trade, 2590549.413, 101, S03, B00, 1
B00, Trade, 2590567.263, 104, S21, B00, 1
B00, Trade, 2590588.079, 102, S26, B00, 1
B00, Trade, 2590609.746, 100, S01, B00, 1
B00, Trade, 2590626.863, 105, S25, B00, 1
B00, Trade, 2590635.313, 100, S15, B00, 1
B00, Trade, 2590644.679, 108, S20, B00, 1
B00, Trade, 2590663.563, 117, B00, S25, 1
B00, Trade, 2590669.396, 102, S10, B00, 1
B00, Trade, 2590675.446, 103, B00, S04, 1
B00, Trade, 2590689.946, 112, S24, B00, 1
B00, Trade, 2590717.979, 102, S14, B00, 1
B00, Trade, 2590727.063, 127, B00, S23, 1
B00, Trade, 2590738.946, 140, B00, S03, 1
B00, Trade, 2590743.146, 103, S25, B00, 1
B00, Trade, 2590760.879, 104, S10, B00, 1
B00, Trade, 2590775.563, 128, S18, B00, 1
B00, Trade, 2590785.929, 104, S15, B00, 1
B00, Trade, 2590794.596, 103, S25, B00, 1
B00, Trade, 2590829.846, 132, S02, B00, 1
B00, Trade, 2590838.579, 102, S24, B00, 1
B00, Trade, 2590852.096, 106, S29, B00, 1
B00, Trade, 2590868.496, 100, S27, B00, 1
B00, Trade, 2590872.646, 106, S22, B00, 1
B00, Trade, 2590886.646, 138, B00, S06, 1
B00, Trade, 2590894.663, 100, S18, B00, 1
B00, Trade, 2590916.263, 131, S01, B00, 1
B00, Trade, 2590935.029, 125, B00, S25, 1
B00, Trade, 2590947.863, 109, S13, B00, 1
B00, Trade, 2590971.996, 124, B00, S16, 1
B00, Trade, 2590982.679, 101, S18, B00, 1
B00, Trade, 2591001.513, 133, B00, S27, 1
B00, Trade, 2591025.979, 100, S13, B00, 1
B00, Trade, 2591044.829, 100, S01, B00, 1
B00, Trade, 2591062.113, 117, S20, B00, 1
B00, Trade, 2591074.263, 104, S04, B00, 1
B00, Trade, 2591085.763, 119, B00, S10, 1
B00, Trade, 2591099.846, 118, B00, S06, 1
B00, Trade, 2591105.879, 102, S01, B00, 1
B00, Trade, 2591141.063, 110, B00, S20, 1
B00, Trade, 2591168.046, 106, B00, S23, 1
B00, Trade, 2591179.913, 106, S03, B00, 1
B00, Trade, 2591193.296, 103, S04, B00, 1
B00, Trade, 2591227.379, 100, S18, B00, 1
