B00, 100
B00, Trade, 2590909.979, 120, B00, S04, 1
B00, Trade, 2590917.079, 150, B00, S18, 1
B00, Trade, 2590930.779, 150, B00, S01, 1
B00, Trade, 2590943.896, 150, B00, S02, 1
B00, Trade, 2590950.096, 150, B00, S13, 1
B00, Trade, 2590953.413, 147, B00, S29, 1
B00, Trade, 2590965.596, 142, S25, B00, 1
B00, Trade, 2590974.963, 150, B00, S26, 1
B00, Trade, 2590987.779, 150, B00, S17, 1
B00, Trade, 2590994.529, 150, B00, S12, 1
B00, Trade, 2591005.046, 150, B00, S20, 1
B00, Trade, 2591013.829, 115, B00, S22, 1
B00, Trade, 2591026.379, 150, B00, S01, 1
B00, Trade, 2591041.096, 150, S27, B00, 1
B00, Trade, 2591053.546, 150, B00, S08, 1
B00, Trade, 2591066.429, 111, B00, S03, 1
B00, Trade, 2591081.763, 150, B00, S17, 1
B00, Trade, 2591084.096, 150, B00, S10, 1
B00, Trade, 2591101.513, 138, B00, S18, 1
B00, Trade, 2591106.263, 150, B00, S23, 1
B00, Trade, 2591119.613, 102, B00, S16, 1
B00, Trade, 2591124.946, 103, B00, S07, 1
B00, Trade, 2591140.363, 100, S16, B00, 1
B00, Trade, 2591150.713, 150, B00, S04, 1
B00, Trade, 2591154.179, 150, B00, S27, 1
B00, Trade, 2591166.379, 136, B00, S20, 1
B00, Trade, 2591173.129, 150, B00, S10, 1
B00, Trade, 2591191.579, 145, B00, S02, 1
B00, Trade, 2591200.779, 150, B00, S25, 1
B00, Trade, 2591208.579, 150, B00, S12, 1
B00, Trade, 2591215.663, 150, B00, S07, 1
B00, Trade, 2591232.529, 150, B00, S15, 1
B00, Trade, 2591242.979, 150, B00, S08, 1
B00, Trade, 2591253.846, 150, B00, S08, 1
B00, Trade, 2591271.996, 150, B00, S00, 1
B00, Trade, 2591275.029, 150, B00, S01, 1
B00, Trade, 2591291.813, 150, B00, S14, 1
B00, Trade, 2591292.713, 150, B00, S22, 1
B00, Trade, 2591304.646, 150, B00, S26, 1
B00, Trade, 2591322.313, 107, B00, S04, 1
B00, Trade, 2591333.146, 109, B00, S28, 1
B00, Trade, 2591348.013, 100, S01, B00, 1
B00, Trade, 2591359.629, 150, B00, S26, 1
B00, Trade, 2591372.329, 150, B00, S18, 1
B00, Trade, 2591384.813, 150, B00, S10, 1
B00, Trade, 2591393.213, 150, B00, S09, 1
