B00, 0
B01, 0
B02, 0
B03, 0
B04, 13
B04, Trade, 234294.717, 63, B04, S03, 1
B04, Trade, 234642.433, 63, B04, S03, 1
B04, Trade, 945227.701, 63, B04, S00, 1
B04, Trade, 1240603.601, 63, B04, S04, 1
B04, Trade, 1356111.917, 62, B04, S00, 1
B04, Trade, 1485118.983, 63, B04, S00, 1
B04, Trade, 1711663.649, 63, B04, S03, 1
B04, Trade, 1846669.249, 63, B04, S02, 1
B04, Trade, 2019517.481, 63, B04, S03, 1
B04, Trade, 2165017.714, 63, B04, S01, 1
B04, Trade, 2469469.180, 63, B04, S03, 1
B04, Trade, 2477708.396, 63, B04, S02, 1
B04, Trade, 2477738.330, 63, B04, S03, 1
B05, 76
B05, Trade, 54898.767, 67, B05, S04, 1
B05, Trade, 70109.750, 67, B05, S01, 1
B05, Trade, 196315.483, 67, B05, S02, 1
B05, Trade, 197681.383, 67, B05, S03, 1
B05, Trade, 198582.433, 67, B05, S03, 1
B05, Trade, 199327.250, 67, B05, S02, 1
B05, Trade, 200703.083, 67, B05, S02, 1
B05, Trade, 223941.283, 67, B05, S03, 1
B05, Trade, 231204.117, 65, B05, S01, 1
B05, Trade, 231218.850, 66, B05, S01, 1
B05, Trade, 231352.033, 67, B05, S01, 1
B05, Trade, 231456.733, 67, B05, S02, 1
B05, Trade, 231820.333, 67, B05, S01, 1
B05, Trade, 232000.917, 67, B05, S02, 1
B05, Trade, 280887.617, 67, B05, S05, 1
B05, Trade, 317609.417, 67, B05, S02, 1
B05, Trade, 323418.250, 67, B05, S02, 1
B05, Trade, 325015.017, 67, B05, S03, 1
B05, Trade, 367481.167, 64, B05, S03, 1
B05, Trade, 368713.150, 66, B05, S03, 1
B05, Trade, 374350.767, 66, B05, S02, 1
B05, Trade, 387604.967, 65, B05, S01, 1
B05, Trade, 407413.233, 67, B05, S02, 1
B05, Trade, 460957.550, 67, B05, S01, 1
B05, Trade, 571395.133, 67, B05, S03, 1
B05, Trade, 572989.000, 67, B05, S03, 1
B05, Trade, 598790.017, 67, B05, S03, 1
B05, Trade, 599345.683, 67, B05, S03, 1
B05, Trade, 685146.867, 67, B05, S03, 1
B05, Trade, 691838.600, 67, B05, S00, 1
B05, Trade, 875723.101, 67, B05, S00, 1
B05, Trade, 917631.235, 67, B05, S03, 1
B05, Trade, 995666.418, 67, B05, S00, 1
B05, Trade, 997068.768, 67, B05, S02, 1
B05, Trade, 997274.485, 67, B05, S01, 1
B05, Trade, 998946.718, 67, B05, S04, 1
B05, Trade, 999476.085, 67, B05, S03, 1
B05, Trade, 999711.651, 67, B05, S04, 1
B05, Trade, 1000368.468, 67, B05, S01, 1
B05, Trade, 1011024.801, 67, B05, S03, 1
B05, Trade, 1045956.868, 66, B05, S04, 1
B05, Trade, 1060689.118, 67, B05, S02, 1
B05, Trade, 1061359.952, 66, B05, S01, 1
B05, Trade, 1065268.685, 67, B05, S02, 1
