B00, 0
B01, 0
B02, 0
B03, 3
B03, Trade, 2.100, 60, B03, S00, 1
B03, Trade, 129564.683, 60, B03, S01, 1
B03, Trade, 1777735.216, 60, B03, S00, 1
B04, 9
B04, Trade, 210799.067, 63, B04, S00, 1
B04, Trade, 914571.151, 61, B04, S02, 1
B04, Trade, 1887561.665, 63, B04, S04, 1
B04, Trade, 1887989.682, 63, B04, S04, 1
B04, Trade, 1888890.198, 63, B04, S04, 1
B04, Trade, 1889896.648, 63, B04, S04, 1
B04, Trade, 1909129.032, 60, B04, S03, 1
B04, Trade, 2135237.814, 63, B04, S03, 1
B04, Trade, 2138271.914, 63, B04, S03, 1
B05, 34
B05, Trade, 36640.650, 67, B05, S00, 1
B05, Trade, 55656.983, 67, B05, S03, 1
B05, Trade, 123077.767, 67, B05, S02, 1
B05, Trade, 123935.133, 65, B05, S00, 1
B05, Trade, 126099.517, 67, B05, S01, 1
B05, Trade, 126957.350, 67, B05, S01, 1
B05, Trade, 128012.183, 67, B05, S00, 1
B05, Trade, 128111.317, 67, B05, S01, 1
B05, Trade, 129463.367, 67, B05, S01, 1
B05, Trade, 129521.050, 67, B05, S05, 1
B05, Trade, 129675.833, 67, B05, S01, 1
B05, Trade, 130823.333, 67, B05, S04, 1
B05, Trade, 133590.050, 67, B05, S00, 1
B05, Trade, 135357.483, 67, B05, S01, 1
B05, Trade, 160859.400, 67, B05, S03, 1
B05, Trade, 164593.367, 67, B05, S02, 1
B05, Trade, 210798.800, 67, B05, S02, 1
B05, Trade, 337921.100, 67, B05, S02, 1
B05, Trade, 362963.400, 67, B05, S00, 1
B05, Trade, 371242.450, 67, B05, S00, 1
B05, Trade, 523810.250, 67, B05, S02, 1
B05, Trade, 1165187.318, 67, B05, S01, 1
B05, Trade, 1257403.234, 67, B05, S02, 1
B05, Trade, 1620778.266, 67, B05, S01, 1
B05, Trade, 1629612.283, 66, B05, S01, 1
B05, Trade, 1793174.099, 67, B05, S02, 1
B05, Trade, 1796704.399, 67, B05, S01, 1
B05, Trade, 1910035.782, 67, B05, S03, 1
B05, Trade, 1913500.965, 67, B05, S03, 1
B05, Trade, 2085467.598, 67, B05, S03, 1
B05, Trade, 2088154.114, 67, B05, S01, 1
B05, Trade, 2292474.780, 67, B05, S03, 1
B05, Trade, 2397569.980, 67, B05, S02, 1
B05, Trade, 2478054.646, 67, B05, S03, 1
B06, 100
B06, Trade, 1687992.833, 70, B06, S01, 1
B06, Trade, 1754543.999, 70, B06, S00, 1
B06, Trade, 1766173.999, 70, B06, S03, 1
B06, Trade, 1766353.916, 70, B06, S01, 1
B06, Trade, 1793317.282, 70, B06, S02, 1
B06, Trade, 1794713.349, 70, B06, S00, 1
B06, Trade, 1794828.449, 70, B06, S02, 1
B06, Trade, 1815141.165, 70, B06, S02, 1
B06, Trade, 1816832.799, 70, B06, S03, 1
B06, Trade, 1821530.165, 70, B06, S02, 1
B06, Trade, 1823295.965, 70, B06, S00, 1
B06, Trade, 1855973.632, 70, B06, S05, 1
B06, Trade, 1856293.649, 70, B06, S06, 1
B06, Trade, 1875314.932, 70, B06, S06, 1
B06, Trade, 1876397.665, 70, B06, S03, 1
B06, Trade, 1885531.265, 70, B06, S00, 1
B06, Trade, 1903344.098, 70, B06, S05, 1
B06, Trade, 1908086.398, 69, B06, S04, 1
B06, Trade, 1908287.232, 70, B06, S03, 1
B06, Trade, 1908495.282, 70, B06, S03, 1
B06, Trade, 1908560.332, 70, B06, S04, 1
B06, Trade, 1909061.098, 70, B06, S01, 1
B06, Trade, 1909128.532, 70, S06, B06, 1
B06, Trade, 1909269.698, 70, B06, S03, 1
B06, Trade, 1910051.415, 70, B06, S03, 1
B06, Trade, 1911338.182, 70, B06, S03, 1
B06, Trade, 1911376.848, 70, B06, S04, 1
B06, Trade, 1911548.765, 70, B06, S03, 1
B06, Trade, 1911588.848, 70, B06, S06, 1
B06, Trade, 1911856.865, 70, B06, S01, 1
B06, Trade, 1911950.198, 70, B06, S03, 1
B06, Trade, 1912356.315, 70, B06, S01, 1
B06, Trade, 1912513.082, 70, B06, S01, 1
B06, Trade, 1912840.798, 70, B06, S04, 1
B06, Trade, 1913421.698, 70, B06, S03, 1
B06, Trade, 1913500.548, 69, B06, S01, 1
B06, Trade, 1913525.532, 70, B06, S01, 1
B06, Trade, 1913760.932, 69, B06, S01, 1
B06, Trade, 1913814.215, 70, B06, S01, 1
B06, Trade, 1913855.598, 70, B06, S04, 1
B06, Trade, 1914213.198, 70, B06, S03, 1
B06, Trade, 1914258.732, 70, B06, S03, 1
B06, Trade, 1914334.548, 68, B06, S01, 1
B06, Trade, 1914467.998, 69, B06, S04, 1
B06, Trade, 1914554.698, 70, B06, S03, 1
B06, Trade, 1914580.932, 70, B06, S04, 1
B06, Trade, 1914707.782, 69, B06, S01, 1
B06, Trade, 1914822.282, 70, B06, S06, 1
B06, Trade, 1916232.465, 70, B06, S03, 1
B06, Trade, 1917087.448, 70, B06, S03, 1
B06, Trade, 1917192.265, 70, B06, S03, 1
B06, Trade, 1917259.682, 70, B06, S03, 1
B06, Trade, 1917489.382, 70, B06, S03, 1
B06, Trade, 1918369.932, 70, B06, S06, 1
B06, Trade, 1918398.815, 70, B06, S03, 1
B06, Trade, 1918603.565, 70, B06, S04, 1
B06, Trade, 1918748.932, 70, B06, S04, 1
B06, Trade, 1959055.048, 70, B06, S05, 1
B06, Trade, 2060852.298, 70, B06, S05, 1
B06, Trade, 2063791.931, 68, B06, S04, 1
B06, Trade, 2067947.181, 70, B06, S05, 1
B06, Trade, 2087404.131, 70, B06, S01, 1
B06, Trade, 2131571.798, 70, B06, S06, 1
B06, Trade, 2131645.498, 70, B06, S05, 1
B06, Trade, 2132271.414, 70, B06, S03, 1
B06, Trade, 2132628.414, 70, B06, S04, 1
B06, Trade, 2132676.931, 69, B06, S01, 1
B06, Trade, 2133060.498, 69, B06, S03, 1
B06, Trade, 2133885.448, 70, B06, S03, 1
B06, Trade, 2133946.098, 70, B06, S01, 1
B06, Trade, 2134100.848, 70, B06, S05, 1
B06, Trade, 2134110.231, 70, B06, S04, 1
B06, Trade, 2134248.131, 70, B06, S04, 1
B06, Trade, 2134488.664, 70, B06, S05, 1
B06, Trade, 2134627.314, 70, B06, S01, 1
B06, Trade, 2134759.848, 69, B06, S02, 1
B06, Trade, 2134870.831, 70, B06, S02, 1
B06, Trade, 2134918.464, 70, B06, S04, 1
B06, Trade, 2135150.464, 70, B06, S04, 1
B06, Trade, 2135235.964, 68, B06, S01, 1
B06, Trade, 2135539.681, 70, B06, S06, 1
B06, Trade, 2135779.281, 70, B06, S01, 1
B06, Trade, 2135918.214, 69, B06, S02, 1
B06, Trade, 2136877.598, 70, B06, S04, 1
B06, Trade, 2137098.714, 70, B06, S05, 1
B06, Trade, 2137367.781, 70, B06, S02, 1
B06, Trade, 2137459.248, 70, B06, S04, 1
B06, Trade, 2137807.798, 70, B06, S02, 1
B06, Trade, 2138271.131, 70, B06, S01, 1
B06, Trade, 2142818.048, 70, B06, S03, 1
B06, Trade, 2162450.614, 69, B06, S03, 1
B06, Trade, 2200208.247, 70, B06, S01, 1
B06, Trade, 2209157.481, 70, B06, S04, 1
B06, Trade, 2264283.014, 70, B06, S03, 1
B06, Trade, 2277765.880, 70, B06, S02, 1
B06, Trade, 2282327.397, 70, B06, S05, 1
B06, Trade, 2337936.813, 70, B06, S01, 1
B06, Trade, 2481299.663, 70, B06, S03, 1
B06, Trade, 2481933.546, 70, B06, S02, 1
B06, Trade, 2589240.963, 69, B06, S03, 1
B07, 100
B07, Trade, 1896875.398, 71, B07, S03, 1
B07, Trade, 1918041.598, 70, B07, S03, 1
B07, Trade, 1958998.482, 74, B07, S02, 1
B07, Trade, 1959725.565, 74, B07, S01, 1
B07, Trade, 1962536.865, 74, B07, S05, 1
B07, Trade, 1963971.398, 74, B07, S02, 1
B07, Trade, 2027152.431, 74, B07, S04, 1
B07, Trade, 2027612.315, 74, B07, S05, 1
B07, Trade, 2060091.615, 74, B07, S04, 1
B07, Trade, 2060954.498, 74, B07, S06, 1
B07, Trade, 2062523.398, 74, B07, S04, 1
B07, Trade, 2063302.898, 74, B07, S02, 1
B07, Trade, 2064591.914, 74, B07, S06, 1
B07, Trade, 2064732.348, 74, B07, S04, 1
B07, Trade, 2068990.714, 71, B07, S03, 1
B07, Trade, 2081290.148, 74, B07, S04, 1
B07, Trade, 2081528.248, 74, B07, S06, 1
B07, Trade, 2081611.881, 74, B07, S04, 1
B07, Trade, 2081731.748, 74, B07, S03, 1
B07, Trade, 2084129.731, 74, B07, S03, 1
B07, Trade, 2084315.164, 74, B07, S01, 1
B07, Trade, 2084461.181, 74, B07, S01, 1
B07, Trade, 2087101.914, 74, B07, S03, 1
B07, Trade, 2087821.014, 74, B07, S03, 1
B07, Trade, 2088605.031, 74, B07, S06, 1
B07, Trade, 2089007.181, 74, B07, S03, 1
B07, Trade, 2090834.281, 74, B07, S03, 1
B07, Trade, 2091282.031, 74, B07, S06, 1
B07, Trade, 2091608.031, 74, B07, S01, 1
B07, Trade, 2135240.464, 70, B07, S04, 1
B07, Trade, 2138855.731, 74, B07, S02, 1
B07, Trade, 2139427.564, 74, B07, S02, 1
B07, Trade, 2139900.998, 74, B07, S02, 1
B07, Trade, 2140226.164, 74, B07, S01, 1
B07, Trade, 2141633.314, 74, B07, S03, 1
B07, Trade, 2142383.264, 74, B07, S06, 1
B07, Trade, 2143263.581, 74, B07, S03, 1
B07, Trade, 2143543.298, 74, B07, S06, 1
B07, Trade, 2144572.881, 74, B07, S03, 1
B07, Trade, 2144606.581, 74, B07, S06, 1
B07, Trade, 2145083.031, 74, B07, S02, 1
B07, Trade, 2145264.164, 74, B07, S03, 1
B07, Trade, 2154338.231, 74, B07, S03, 1
B07, Trade, 2160394.397, 74, B07, S02, 1
B07, Trade, 2160684.481, 74, B07, S02, 1
B07, Trade, 2161585.414, 74, B07, S03, 1
B07, Trade, 2161949.414, 74, B07, S05, 1
B07, Trade, 2162450.531, 74, B07, S05, 1
B07, Trade, 2162463.897, 74, B07, S05, 1
B07, Trade, 2190298.181, 74, B07, S03, 1
B07, Trade, 2190328.814, 73, B07, S06, 1
B07, Trade, 2190354.614, 72, B07, S01, 1
B07, Trade, 2190645.381, 73, B07, S02, 1
B07, Trade, 2190958.581, 74, B07, S06, 1
B07, Trade, 2191700.347, 74, B07, S01, 1
B07, Trade, 2191865.781, 74, B07, S01, 1
B07, Trade, 2192471.914, 74, B07, S05, 1
B07, Trade, 2193405.114, 74, B07, S02, 1
B07, Trade, 2193583.881, 74, B07, S02, 1
B07, Trade, 2193779.714, 73, B07, S01, 1
B07, Trade, 2193798.264, 74, B07, S06, 1
B07, Trade, 2194842.164, 74, B07, S05, 1
B07, Trade, 2195430.831, 74, B07, S02, 1
B07, Trade, 2195631.364, 73, B07, S01, 1
B07, Trade, 2275437.297, 74, B07, S06, 1
B07, Trade, 2275639.897, 74, B07, S03, 1
B07, Trade, 2275969.080, 74, B07, S05, 1
B07, Trade, 2276133.414, 74, B07, S06, 1
B07, Trade, 2277045.797, 74, B07, S05, 1
B07, Trade, 2277075.580, 74, B07, S02, 1
B07, Trade, 2277090.897, 74, B07, S02, 1
B07, Trade, 2277320.730, 74, B07, S05, 1
B07, Trade, 2277464.314, 74, B07, S06, 1
B07, Trade, 2278125.297, 74, B07, S06, 1
B07, Trade, 2278358.814, 74, B07, S06, 1
B07, Trade, 2278897.364, 74, B07, S05, 1
B07, Trade, 2278971.747, 74, B07, S05, 1
B07, Trade, 2278996.997, 74, B07, S05, 1
B07, Trade, 2279447.297, 74, B07, S05, 1
B07, Trade, 2279766.630, 74, B07, S02, 1
B07, Trade, 2279980.564, 74, B07, S05, 1
B07, Trade, 2280486.697, 74, B07, S01, 1
B07, Trade, 2281266.797, 74, B07, S01, 1
B07, Trade, 2281680.130, 74, B07, S05, 1
B07, Trade, 2282021.164, 74, B07, S06, 1
B07, Trade, 2282206.397, 74, B07, S06, 1
B07, Trade, 2282283.764, 74, B07, S01, 1
B07, Trade, 2282327.680, 68, B07, S01, 1
B07, Trade, 2283768.464, 74, B07, S03, 1
B07, Trade, 2298050.497, 74, B07, S06, 1
B07, Trade, 2335123.280, 73, B07, S04, 1
B07, Trade, 2369195.930, 74, B07, S02, 1
B07, Trade, 2392848.313, 74, B07, S02, 1
B07, Trade, 2394625.013, 74, B07, S04, 1
B07, Trade, 2396911.713, 74, B07, S02, 1
B07, Trade, 2419484.763, 73, B07, S01, 1
B07, Trade, 2422494.813, 74, B07, S05, 1
B07, Trade, 2424582.663, 74, B07, S02, 1
B07, Trade, 2544573.346, 74, B07, S04, 1
B07, Trade, 2549225.629, 74, B07, S04, 1
B08, 100
B08, Trade, 2422722.563, 77, B08, S02, 1
B08, Trade, 2423375.196, 77, B08, S01, 1
B08, Trade, 2423747.680, 77, B08, S04, 1
B08, Trade, 2423978.363, 77, B08, S02, 1
B08, Trade, 2424045.246, 77, B08, S02, 1
B08, Trade, 2424582.596, 77, B08, S08, 1
B08, Trade, 2424617.846, 77, B08, S02, 1
B08, Trade, 2424677.346, 77, B08, S02, 1
B08, Trade, 2424705.446, 75, B08, S02, 1
B08, Trade, 2424864.630, 77, B08, S02, 1
B08, Trade, 2425191.480, 77, B08, S02, 1
B08, Trade, 2425678.780, 77, B08, S05, 1
B08, Trade, 2425748.030, 77, B08, S05, 1
B08, Trade, 2425858.513, 77, B08, S04, 1
B08, Trade, 2426016.696, 77, B08, S02, 1
B08, Trade, 2426278.363, 77, B08, S02, 1
B08, Trade, 2447661.846, 77, B08, S07, 1
B08, Trade, 2453439.830, 77, B08, S03, 1
B08, Trade, 2453502.646, 77, B08, S07, 1
B08, Trade, 2472378.646, 77, B08, S03, 1
B08, Trade, 2476994.913, 77, B08, S02, 1
B08, Trade, 2477024.013, 77, B08, S02, 1
B08, Trade, 2477840.630, 77, B08, S02, 1
B08, Trade, 2477859.830, 77, B08, S02, 1
B08, Trade, 2477988.863, 77, B08, S03, 1
