B00, 0
B01, 0
B02, 2
B02, Trade, 2501618.730, 56, B02, S02, 1
B02, Trade, 2539072.046, 56, B02, S02, 1
B03, 2
B03, Trade, 2125930.414, 60, B03, S02, 1
B03, Trade, 2501618.046, 60, B03, S01, 1
B04, 5
B04, Trade, 395799.600, 61, B04, S02, 1
B04, Trade, 1099465.451, 63, B04, S00, 1
B04, Trade, 1656109.716, 63, B04, S03, 1
B04, Trade, 2472492.096, 63, B04, S03, 1
B04, Trade, 2580631.413, 63, B04, S01, 1
B05, 100
B05, Trade, 586841.800, 67, B05, S03, 1
B05, Trade, 643125.934, 67, B05, S00, 1
B05, Trade, 650695.967, 67, B05, S00, 1
B05, Trade, 652338.350, 67, B05, S00, 1
B05, Trade, 653696.784, 67, B05, S02, 1
B05, Trade, 704640.084, 67, B05, S03, 1
B05, Trade, 726853.551, 67, B05, S04, 1
B05, Trade, 877611.818, 67, B05, S03, 1
B05, Trade, 896959.034, 67, B05, S03, 1
B05, Trade, 900253.584, 66, B05, S00, 1
B05, Trade, 902043.884, 66, B05, S00, 1
B05, Trade, 902339.068, 67, B05, S00, 1
B05, Trade, 903427.934, 67, B05, S00, 1
B05, Trade, 903629.284, 67, B05, S00, 1
B05, Trade, 904509.451, 67, B05, S00, 1
B05, Trade, 906215.201, 67, B05, S00, 1
B05, Trade, 949666.235, 67, B05, S01, 1
B05, Trade, 955898.951, 67, B05, S01, 1
B05, Trade, 1205040.868, 67, B05, S03, 1
B05, Trade, 1213679.484, 67, B05, S02, 1
B05, Trade, 1214304.601, 67, B05, S04, 1
B05, Trade, 1215827.468, 67, B05, S03, 1
B05, Trade, 1438184.233, 67, B05, S00, 1
B05, Trade, 1624572.583, 66, B05, S03, 1
B05, Trade, 1627366.049, 67, B05, S01, 1
B05, Trade, 1627615.266, 67, B05, S05, 1
B05, Trade, 1628075.066, 67, B05, S04, 1
B05, Trade, 1629349.183, 67, B05, S00, 1
B05, Trade, 1629961.149, 67, B05, S02, 1
B05, Trade, 1632999.483, 67, B05, S01, 1
B05, Trade, 1656109.666, 67, B05, S00, 1
B05, Trade, 1656512.266, 67, B05, S01, 1
B05, Trade, 1657043.849, 67, B05, S01, 1
B05, Trade, 1657551.183, 67, B05, S00, 1
B05, Trade, 1658076.283, 67, B05, S02, 1
B05, Trade, 1658154.683, 67, B05, S03, 1
B05, Trade, 1658978.899, 67, B05, S02, 1
B05, Trade, 1659013.083, 67, B05, S02, 1
B05, Trade, 1659642.749, 67, B05, S01, 1
B05, Trade, 1660432.066, 67, B05, S01, 1
B05, Trade, 1660463.399, 67, B05, S04, 1
B05, Trade, 1661286.349, 67, B05, S02, 1
B05, Trade, 1662414.449, 67, B05, S01, 1
B05, Trade, 1662691.333, 67, B05, S01, 1
B05, Trade, 1683331.466, 67, B05, S04, 1
B05, Trade, 1903248.882, 64, B05, S01, 1
B05, Trade, 2027666.431, 67, B05, S05, 1
B05, Trade, 2060354.248, 67, B05, S01, 1
B05, Trade, 2072666.698, 65, B05, S01, 1
B05, Trade, 2072913.898, 67, S05, B05, 1
B05, Trade, 2073053.781, 67, B05, S04, 1
B05, Trade, 2125929.764, 67, B05, S01, 1
B05, Trade, 2140953.964, 67, B05, S00, 1
B05, Trade, 2188862.381, 67, B05, S01, 1
B05, Trade, 2197425.264, 67, B05, S02, 1
B05, Trade, 2215927.914, 67, B05, S01, 1
B05, Trade, 2240391.697, 67, B05, S03, 1
B05, Trade, 2244586.047, 67, B05, S02, 1
B05, Trade, 2245477.164, 67, B05, S02, 1
