B00, 0
B01, 0
B02, 0
B03, 9
B03, Trade, 1.350, 54, S01, B03, 1
B03, Trade, 511927.250, 60, B03, S01, 1
B03, Trade, 572507.483, 60, B03, S02, 1
B03, Trade, 717542.517, 60, B03, S01, 1
B03, Trade, 900261.034, 60, B03, S01, 1
B03, Trade, 924347.935, 60, B03, S01, 1
B03, Trade, 924524.768, 58, S01, B03, 1
B03, Trade, 1032702.952, 60, B03, S01, 1
B03, Trade, 1123010.301, 60, B03, S02, 1
B04, 64
B04, Trade, 404868.300, 63, B04, S00, 1
B04, Trade, 418440.633, 63, B04, S03, 1
B04, Trade, 471854.017, 63, B04, S03, 1
B04, Trade, 474734.900, 63, B04, S02, 1
B04, Trade, 497268.583, 63, B04, S03, 1
B04, Trade, 502265.267, 63, B04, S01, 1
B04, Trade, 517356.600, 63, B04, S01, 1
B04, Trade, 521224.883, 63, B04, S01, 1
B04, Trade, 523765.900, 63, B04, S01, 1
B04, Trade, 567459.867, 63, B04, S01, 1
B04, Trade, 572506.967, 63, B04, S01, 1
B04, Trade, 579414.550, 63, B04, S01, 1
B04, Trade, 599458.167, 63, B04, S01, 1
B04, Trade, 610296.600, 62, B04, S01, 1
B04, Trade, 685257.167, 63, B04, S02, 1
B04, Trade, 738281.634, 62, B04, S01, 1
B04, Trade, 739627.484, 63, B04, S01, 1
B04, Trade, 779367.351, 63, B04, S02, 1
B04, Trade, 781390.434, 63, B04, S01, 1
B04, Trade, 782265.217, 63, B04, S02, 1
B04, Trade, 783440.217, 63, B04, S01, 1
B04, Trade, 841876.301, 63, B04, S02, 1
B04, Trade, 842389.234, 62, B04, S02, 1
B04, Trade, 885831.918, 63, B04, S00, 1
B04, Trade, 891697.651, 63, B04, S03, 1
B04, Trade, 913046.301, 63, B04, S04, 1
B04, Trade, 915627.035, 62, B04, S03, 1
B04, Trade, 924381.951, 63, S03, B04, 1
B04, Trade, 943712.618, 62, S01, B04, 1
B04, Trade, 949858.835, 63, B04, S04, 1
B04, Trade, 950199.401, 63, B04, S01, 1
B04, Trade, 963332.651, 63, B04, S03, 1
B04, Trade, 966912.351, 63, B04, S01, 1
B04, Trade, 970953.818, 63, B04, S01, 1
B04, Trade, 976892.835, 62, B04, S01, 1
B04, Trade, 979498.835, 63, B04, S04, 1
B04, Trade, 981256.735, 63, B04, S01, 1
B04, Trade, 982303.601, 63, B04, S02, 1
B04, Trade, 983083.135, 63, B04, S04, 1
B04, Trade, 983827.585, 63, B04, S01, 1
B04, Trade, 990286.601, 62, B04, S01, 1
B04, Trade, 992771.601, 63, B04, S01, 1
B04, Trade, 993386.168, 63, B04, S02, 1
B04, Trade, 1008300.335, 63, B04, S04, 1
B04, Trade, 1031602.835, 62, B04, S03, 1
B04, Trade, 1032733.435, 63, B04, S01, 1
B04, Trade, 1034368.768, 62, B04, S01, 1
B04, Trade, 1034721.802, 62, B04, S01, 1
B04, Trade, 1035968.868, 63, B04, S03, 1
B04, Trade, 1036198.435, 63, B04, S01, 1
B04, Trade, 1042707.935, 61, B04, S01, 1
B04, Trade, 1055551.335, 63, B04, S04, 1
