B00, 0
B01, 0
B02, 0
B03, 0
B04, 10
B04, Trade, 140612.867, 63, B04, S02, 1
B04, Trade, 151779.883, 63, B04, S02, 1
B04, Trade, 152114.567, 63, B04, S00, 1
B04, Trade, 152139.750, 62, B04, S02, 1
B04, Trade, 153155.150, 63, B04, S02, 1
B04, Trade, 158122.733, 63, B04, S01, 1
B04, Trade, 190848.950, 63, B04, S02, 1
B04, Trade, 505735.467, 63, B04, S00, 1
B04, Trade, 1504018.733, 63, B04, S02, 1
B04, Trade, 2535370.363, 61, B04, S01, 1
B05, 27
B05, Trade, 265362.283, 67, B05, S02, 1
B05, Trade, 266504.267, 67, B05, S02, 1
B05, Trade, 273483.050, 67, B05, S02, 1
B05, Trade, 273904.050, 67, B05, S01, 1
B05, Trade, 274766.200, 67, B05, S02, 1
B05, Trade, 275357.150, 67, B05, S00, 1
B05, Trade, 275441.267, 67, B05, S02, 1
B05, Trade, 275813.717, 67, B05, S02, 1
B05, Trade, 276226.100, 67, B05, S02, 1
B05, Trade, 276313.783, 67, B05, S02, 1
B05, Trade, 277401.333, 67, B05, S00, 1
B05, Trade, 279249.233, 67, B05, S03, 1
B05, Trade, 291606.817, 67, B05, S02, 1
B05, Trade, 293983.050, 67, B05, S02, 1
B05, Trade, 326614.933, 66, B05, S04, 1
B05, Trade, 568962.367, 67, B05, S01, 1
B05, Trade, 570518.600, 65, B05, S00, 1
B05, Trade, 693480.434, 66, B05, S02, 1
B05, Trade, 879153.301, 67, B05, S02, 1
B05, Trade, 879988.668, 67, B05, S01, 1
B05, Trade, 930944.218, 67, B05, S05, 1
B05, Trade, 1039205.768, 67, B05, S02, 1
B05, Trade, 1041660.152, 67, B05, S02, 1
B05, Trade, 1323973.351, 67, B05, S01, 1
B05, Trade, 1398223.050, 67, B05, S01, 1
B05, Trade, 2477229.213, 61, B05, S02, 1
B05, Trade, 2568440.129, 67, S05, B05, 1
B06, 6
B06, Trade, 152163.850, 67, B06, S02, 1
B06, Trade, 333417.183, 69, B06, S05, 1
B06, Trade, 557479.633, 70, B06, S06, 1
B06, Trade, 579783.983, 70, B06, S05, 1
B06, Trade, 581216.500, 70, B06, S06, 1
B06, Trade, 720436.117, 70, B06, S02, 1
B07, 100
B07, Trade, 157265.767, 72, B07, S02, 1
B07, Trade, 157574.000, 74, B07, S02, 1
B07, Trade, 157951.633, 73, B07, S01, 1
B07, Trade, 163895.183, 74, B07, S02, 1
B07, Trade, 174145.883, 73, B07, S05, 1
B07, Trade, 174702.217, 73, B07, S04, 1
B07, Trade, 187487.483, 73, B07, S01, 1
B07, Trade, 188622.467, 70, B07, S02, 1
B07, Trade, 194299.483, 74, S07, B07, 1
B07, Trade, 206322.667, 67, B07, S02, 1
B07, Trade, 206616.967, 74, B07, S02, 1
B07, Trade, 247517.700, 71, B07, S04, 1
B07, Trade, 257283.467, 74, B07, S06, 1
B07, Trade, 263476.583, 73, B07, S00, 1
B07, Trade, 264458.283, 74, B07, S06, 1
B07, Trade, 273872.467, 70, B07, S02, 1
B07, Trade, 277244.050, 71, B07, S02, 1
B07, Trade, 278129.233, 69, B07, S02, 1
B07, Trade, 278644.967, 74, B07, S02, 1
B07, Trade, 278926.133, 74, B07, S05, 1
B07, Trade, 280759.833, 70, B07, S01, 1
B07, Trade, 307225.933, 74, B07, S05, 1
B07, Trade, 308359.383, 69, B07, S05, 1
B07, Trade, 352505.450, 71, B07, S05, 1
B07, Trade, 358850.567, 72, B07, S02, 1
B07, Trade, 374329.433, 70, B07, S03, 1
B07, Trade, 383287.983, 72, B07, S06, 1
B07, Trade, 383623.233, 74, B07, S05, 1
B07, Trade, 386533.350, 74, B07, S05, 1
B07, Trade, 391645.650, 66, S03, B07, 1
B07, Trade, 395891.883, 71, B07, S05, 1
B07, Trade, 403377.517, 73, B07, S05, 1
B07, Trade, 408069.600, 72, B07, S02, 1
B07, Trade, 408339.733, 74, B07, S02, 1
B07, Trade, 412525.467, 69, S05, B07, 1
B07, Trade, 419920.583, 74, B07, S00, 1
B07, Trade, 434251.633, 70, B07, S03, 1
B07, Trade, 461691.117, 72, B07, S03, 1
B07, Trade, 496705.250, 72, B07, S00, 1
B07, Trade, 507667.117, 68, B07, S05, 1
B07, Trade, 508591.367, 72, B07, S05, 1
B07, Trade, 555511.100, 74, B07, S03, 1
B07, Trade, 573390.700, 74, B07, S06, 1
B07, Trade, 575115.167, 73, B07, S00, 1
B07, Trade, 576313.683, 74, B07, S06, 1
B07, Trade, 576317.267, 74, B07, S02, 1
B07, Trade, 582327.100, 71, B07, S00, 1
B07, Trade, 588150.583, 74, B07, S05, 1
B07, Trade, 596569.133, 72, B07, S04, 1
B07, Trade, 598060.450, 74, B07, S07, 1
B07, Trade, 599340.533, 74, B07, S04, 1
B07, Trade, 624476.117, 73, B07, S05, 1
B07, Trade, 655176.650, 70, S06, B07, 1
B07, Trade, 696473.584, 69, B07, S02, 1
B07, Trade, 812517.984, 71, B07, S01, 1
B07, Trade, 918713.435, 73, B07, S02, 1
B07, Trade, 925069.768, 73, B07, S02, 1
B07, Trade, 975009.151, 74, B07, S07, 1
B07, Trade, 1016857.085, 72, B07, S01, 1
B07, Trade, 1058453.118, 65, B07, S01, 1
B07, Trade, 1085424.201, 73, B07, S06, 1
B07, Trade, 1117085.801, 74, B07, S07, 1
B07, Trade, 1128253.001, 72, B07, S01, 1
B07, Trade, 1133079.035, 74, B07, S03, 1
B07, Trade, 1149184.251, 73, B07, S02, 1
B07, Trade, 1248115.134, 71, B07, S04, 1
B07, Trade, 1399779.167, 71, B07, S06, 1
B07, Trade, 1413702.334, 72, B07, S01, 1
B07, Trade, 1413992.417, 73, B07, S05, 1
B07, Trade, 1615021.866, 70, B07, S02, 1
B07, Trade, 1727314.316, 71, B07, S03, 1
B07, Trade, 1731938.366, 74, B07, S02, 1
B07, Trade, 1736259.016, 74, B07, S06, 1
B07, Trade, 1740977.082, 73, B07, S03, 1
B07, Trade, 1741051.299, 74, B07, S06, 1
B07, Trade, 1783777.232, 74, B07, S04, 1
B07, Trade, 1817415.732, 74, B07, S03, 1
B07, Trade, 1818299.849, 72, B07, S02, 1
B07, Trade, 1818836.432, 74, B07, S06, 1
B07, Trade, 1819692.232, 74, B07, S03, 1
B07, Trade, 1819985.215, 74, B07, S03, 1
B07, Trade, 1820789.499, 73, B07, S03, 1
B07, Trade, 1824678.065, 71, B07, S05, 1
B07, Trade, 1851468.532, 74, B07, S06, 1
B07, Trade, 1853672.299, 74, B07, S01, 1
B07, Trade, 1890902.115, 72, B07, S05, 1
B07, Trade, 1963082.565, 73, B07, S01, 1
B07, Trade, 2004327.531, 74, B07, S06, 1
B07, Trade, 2022053.265, 74, B07, S01, 1
B07, Trade, 2030470.315, 74, B07, S01, 1
B07, Trade, 2144638.298, 74, B07, S01, 1
B07, Trade, 2239696.297, 74, B07, S05, 1
B07, Trade, 2257258.764, 74, B07, S05, 1
B07, Trade, 2257425.497, 74, B07, S04, 1
B07, Trade, 2282708.180, 74, B07, S04, 1
B07, Trade, 2352484.763, 74, B07, S01, 1
B07, Trade, 2444618.663, 72, B07, S05, 1
B07, Trade, 2489017.063, 74, B07, S06, 1
B07, Trade, 2507778.080, 74, B07, S01, 1
B07, Trade, 2542222.263, 72, B07, S03, 1
B08, 100
B08, Trade, 2331673.180, 77, B08, S06, 1
B08, Trade, 2331850.047, 77, B08, S03, 1
B08, Trade, 2342113.847, 76, B08, S06, 1
B08, Trade, 2345049.680, 77, B08, S01, 1
B08, Trade, 2345298.097, 77, B08, S02, 1
B08, Trade, 2347360.913, 76, B08, S06, 1
B08, Trade, 2349178.813, 77, B08, S04, 1
B08, Trade, 2349514.163, 76, B08, S06, 1
B08, Trade, 2349718.247, 77, B08, S06, 1
B08, Trade, 2351738.747, 76, B08, S04, 1
B08, Trade, 2353976.863, 76, B08, S01, 1
B08, Trade, 2354909.180, 77, B08, S02, 1
B08, Trade, 2355380.430, 77, B08, S02, 1
B08, Trade, 2355746.863, 77, B08, S05, 1
B08, Trade, 2359366.347, 77, B08, S01, 1
B08, Trade, 2360045.597, 71, B08, S02, 1
B08, Trade, 2360301.197, 76, B08, S06, 1
B08, Trade, 2362904.280, 77, B08, S01, 1
B08, Trade, 2363734.013, 75, B08, S00, 1
B08, Trade, 2365233.530, 77, B08, S04, 1
B08, Trade, 2375990.547, 74, B08, S04, 1
B08, Trade, 2377675.730, 77, B08, S00, 1
B08, Trade, 2380284.213, 71, B08, S02, 1
B08, Trade, 2387740.997, 77, B08, S06, 1
B08, Trade, 2388212.947, 75, B08, S06, 1
B08, Trade, 2390851.063, 77, B08, S01, 1
B08, Trade, 2394096.397, 73, B08, S06, 1
B08, Trade, 2394960.280, 76, B08, S01, 1
B08, Trade, 2408469.780, 76, B08, S06, 1
B08, Trade, 2414626.597, 75, B08, S02, 1
B08, Trade, 2415978.363, 76, B08, S06, 1
B08, Trade, 2419585.280, 67, B08, S03, 1
B08, Trade, 2419693.780, 76, B08, S03, 1
B08, Trade, 2420014.496, 77, B08, S05, 1
B08, Trade, 2421996.046, 75, B08, S04, 1
B08, Trade, 2424430.396, 77, B08, S01, 1
B08, Trade, 2435447.530, 76, B08, S01, 1
B08, Trade, 2435817.663, 74, B08, S01, 1
B08, Trade, 2443375.113, 76, B08, S01, 1
B08, Trade, 2444554.830, 77, B08, S07, 1
B08, Trade, 2451743.363, 77, B08, S02, 1
B08, Trade, 2458955.563, 77, B08, S05, 1
B08, Trade, 2459007.063, 74, B08, S05, 1
B08, Trade, 2464673.530, 76, B08, S02, 1
B08, Trade, 2468939.013, 75, B08, S04, 1
B08, Trade, 2474627.163, 76, B08, S04, 1
B08, Trade, 2477229.063, 76, B08, S01, 1
B08, Trade, 2477734.763, 75, B08, S06, 1
B08, Trade, 2478321.730, 74, B08, S06, 1
B08, Trade, 2479033.613, 77, B08, S02, 1
B08, Trade, 2479114.946, 77, B08, S04, 1
B08, Trade, 2480737.280, 76, B08, S03, 1
B08, Trade, 2481892.063, 77, B08, S03, 1
B08, Trade, 2483737.813, 69, B08, S05, 1
B08, Trade, 2492802.746, 76, B08, S00, 1
B08, Trade, 2497354.130, 75, B08, S01, 1
B08, Trade, 2503888.396, 76, B08, S04, 1
B08, Trade, 2504185.680, 75, B08, S06, 1
B08, Trade, 2511760.729, 72, S03, B08, 1
B08, Trade, 2514299.163, 77, B08, S05, 1
B08, Trade, 2515935.779, 76, B08, S02, 1
B08, Trade, 2516278.763, 74, B08, S05, 1
B08, Trade, 2516446.679, 77, B08, S01, 1
B08, Trade, 2518434.879, 77, B08, S03, 1
B08, Trade, 2518614.413, 72, B08, S06, 1
B08, Trade, 2519512.079, 75, B08, S02, 1
