B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 1756741.099, 60, B03, S01, 1
B04, 0
B05, 5
B05, Trade, 197240.800, 59, B05, S00, 1
B05, Trade, 1857606.982, 67, B05, S02, 1
B05, Trade, 1910624.348, 67, B05, S00, 1
B05, Trade, 2011491.231, 67, B05, S02, 1
B05, Trade, 2059228.231, 67, B05, S04, 1
B06, 24
B06, Trade, 5658.217, 69, B06, S02, 1
B06, Trade, 108817.167, 70, B06, S02, 1
B06, Trade, 109093.133, 70, B06, S05, 1
B06, Trade, 110324.633, 70, B06, S02, 1
B06, Trade, 112622.233, 70, B06, S02, 1
B06, Trade, 114219.083, 70, B06, S05, 1
B06, Trade, 171922.317, 70, B06, S01, 1
B06, Trade, 207235.950, 70, B06, S02, 1
B06, Trade, 211996.267, 70, B06, S05, 1
B06, Trade, 446552.833, 70, B06, S03, 1
B06, Trade, 475564.183, 70, B06, S02, 1
B06, Trade, 481338.550, 70, B06, S02, 1
B06, Trade, 580325.800, 67, B06, S05, 1
B06, Trade, 639931.200, 70, B06, S01, 1
B06, Trade, 682003.550, 68, B06, S04, 1
B06, Trade, 682543.867, 70, B06, S00, 1
B06, Trade, 816836.684, 70, B06, S05, 1
B06, Trade, 844707.968, 70, B06, S04, 1
B06, Trade, 849362.284, 70, B06, S01, 1
B06, Trade, 1076444.918, 70, B06, S03, 1
B06, Trade, 1202746.334, 69, B06, S03, 1
B06, Trade, 1207987.534, 70, B06, S03, 1
B06, Trade, 1979391.831, 70, B06, S02, 1
B06, Trade, 2017348.931, 69, B06, S02, 1
B07, 100
B07, Trade, 2229088.347, 74, B07, S02, 1
B07, Trade, 2230154.697, 74, B07, S03, 1
B07, Trade, 2232583.881, 74, B07, S00, 1
B07, Trade, 2233239.614, 71, B07, S02, 1
B07, Trade, 2243225.897, 74, B07, S01, 1
B07, Trade, 2244748.214, 74, B07, S01, 1
B07, Trade, 2246160.814, 74, B07, S03, 1
B07, Trade, 2247414.797, 74, B07, S00, 1
B07, Trade, 2248270.730, 74, B07, S01, 1
B07, Trade, 2248722.514, 73, B07, S04, 1
B07, Trade, 2248823.547, 74, B07, S03, 1
B07, Trade, 2261142.914, 73, B07, S02, 1
B07, Trade, 2264796.664, 73, B07, S05, 1
B07, Trade, 2266530.964, 73, B07, S02, 1
B07, Trade, 2281082.780, 74, B07, S02, 1
B07, Trade, 2288910.614, 72, B07, S04, 1
B07, Trade, 2289404.030, 74, B07, S02, 1
B07, Trade, 2298025.730, 74, B07, S01, 1
B07, Trade, 2300257.147, 74, B07, S04, 1
B07, Trade, 2302755.930, 74, B07, S03, 1
B07, Trade, 2302939.780, 71, B07, S00, 1
B07, Trade, 2303187.797, 74, B07, S03, 1
B07, Trade, 2305467.047, 74, B07, S03, 1
B07, Trade, 2305504.614, 74, B07, S01, 1
B07, Trade, 2305644.564, 73, B07, S04, 1
B07, Trade, 2306359.730, 74, B07, S03, 1
B07, Trade, 2308871.097, 74, B07, S02, 1
B07, Trade, 2310505.764, 73, B07, S03, 1
B07, Trade, 2313650.180, 74, B07, S02, 1
B07, Trade, 2319763.230, 74, B07, S01, 1
B07, Trade, 2322443.447, 74, B07, S07, 1
B07, Trade, 2326136.214, 74, B07, S01, 1
B07, Trade, 2326246.847, 73, B07, S00, 1
B07, Trade, 2331840.247, 73, B07, S01, 1
B07, Trade, 2333192.647, 74, B07, S02, 1
B07, Trade, 2338938.280, 73, B07, S02, 1
B07, Trade, 2340945.280, 74, B07, S01, 1
B07, Trade, 2343003.347, 74, B07, S00, 1
B07, Trade, 2346030.347, 74, B07, S04, 1
B07, Trade, 2346074.363, 73, B07, S02, 1
B07, Trade, 2346159.463, 74, B07, S04, 1
B07, Trade, 2346479.197, 74, B07, S03, 1
B07, Trade, 2349476.547, 74, B07, S00, 1
B07, Trade, 2350209.097, 74, B07, S04, 1
B07, Trade, 2354142.380, 72, S04, B07, 1
B07, Trade, 2355583.113, 74, B07, S03, 1
B07, Trade, 2356379.780, 74, B07, S00, 1
B07, Trade, 2358407.080, 74, B07, S00, 1
B07, Trade, 2358845.630, 74, B07, S01, 1
