B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 5
B05, Trade, 155764.400, 67, B05, S00, 1
B05, Trade, 160389.433, 67, B05, S00, 1
B05, Trade, 334002.250, 67, B05, S01, 1
B05, Trade, 1180009.151, 66, B05, S00, 1
B05, Trade, 2575750.896, 67, B05, S02, 1
B06, 100
B06, Trade, 47793.850, 67, B06, S02, 1
B06, Trade, 49964.667, 67, B06, S03, 1
B06, Trade, 133219.417, 67, B06, S01, 1
B06, Trade, 190218.867, 67, B06, S04, 1
B06, Trade, 267892.967, 69, B06, S05, 1
B06, Trade, 295890.850, 70, B06, S05, 1
B06, Trade, 312438.700, 70, B06, S00, 1
B06, Trade, 317642.983, 70, B06, S05, 1
B06, Trade, 317773.250, 67, B06, S00, 1
B06, Trade, 317802.867, 70, B06, S05, 1
B06, Trade, 320001.450, 70, B06, S05, 1
B06, Trade, 355567.283, 70, B06, S00, 1
B06, Trade, 360293.400, 70, B06, S01, 1
B06, Trade, 360876.200, 70, B06, S00, 1
B06, Trade, 449570.250, 70, B06, S05, 1
B06, Trade, 450826.233, 70, B06, S05, 1
B06, Trade, 583724.050, 70, B06, S00, 1
B06, Trade, 605226.767, 70, B06, S03, 1
B06, Trade, 605533.417, 70, B06, S02, 1
B06, Trade, 607058.450, 70, B06, S01, 1
B06, Trade, 611351.617, 70, B06, S00, 1
B06, Trade, 620179.850, 70, B06, S00, 1
B06, Trade, 697192.900, 70, B06, S00, 1
B06, Trade, 728947.701, 70, B06, S05, 1
B06, Trade, 730549.384, 70, B06, S01, 1
B06, Trade, 732846.634, 70, B06, S02, 1
B06, Trade, 782028.834, 70, B06, S00, 1
B06, Trade, 798835.684, 70, B06, S04, 1
B06, Trade, 801458.367, 69, B06, S03, 1
B06, Trade, 801488.134, 69, B06, S03, 1
B06, Trade, 803453.984, 69, B06, S00, 1
B06, Trade, 843733.784, 69, B06, S02, 1
B06, Trade, 846716.468, 69, B06, S02, 1
B06, Trade, 847991.418, 69, B06, S02, 1
B06, Trade, 864874.551, 70, B06, S00, 1
B06, Trade, 867150.001, 70, B06, S02, 1
B06, Trade, 870770.751, 70, B06, S03, 1
B06, Trade, 872264.051, 70, B06, S00, 1
B06, Trade, 873931.751, 70, B06, S01, 1
B06, Trade, 900703.534, 70, B06, S00, 1
B06, Trade, 902193.468, 70, B06, S05, 1
B06, Trade, 902737.334, 70, B06, S02, 1
B06, Trade, 906692.218, 70, B06, S06, 1
B06, Trade, 907632.434, 68, B06, S03, 1
B06, Trade, 914732.685, 68, B06, S03, 1
B06, Trade, 916849.268, 68, B06, S02, 1
B06, Trade, 919383.118, 68, B06, S03, 1
B06, Trade, 934218.735, 68, B06, S05, 1
B06, Trade, 954224.101, 70, B06, S00, 1
B06, Trade, 959924.185, 67, B06, S03, 1
B06, Trade, 960942.285, 68, B06, S04, 1
B06, Trade, 971685.701, 68, B06, S05, 1
B06, Trade, 974507.718, 69, B06, S02, 1
B06, Trade, 1013253.185, 69, B06, S00, 1
B06, Trade, 1029639.802, 70, B06, S00, 1
B06, Trade, 1031554.868, 70, B06, S05, 1
B06, Trade, 1033735.702, 70, B06, S05, 1
B06, Trade, 1038533.918, 69, B06, S05, 1
B06, Trade, 1040767.852, 69, B06, S05, 1
B06, Trade, 1041130.585, 69, B06, S05, 1
B06, Trade, 1046942.735, 67, B06, S02, 1
B06, Trade, 1048239.502, 68, B06, S02, 1
B06, Trade, 1054328.518, 70, B06, S02, 1
B06, Trade, 1056159.985, 70, B06, S05, 1
B06, Trade, 1064085.935, 69, B06, S03, 1
B06, Trade, 1072414.085, 68, B06, S00, 1
B06, Trade, 1081599.168, 69, B06, S05, 1
B06, Trade, 1095942.668, 69, B06, S03, 1
B06, Trade, 1099781.951, 69, B06, S02, 1
B06, Trade, 1100532.751, 69, B06, S01, 1
B06, Trade, 1101469.951, 69, B06, S02, 1
B06, Trade, 1156312.418, 69, B06, S02, 1
B06, Trade, 1175332.651, 69, B06, S03, 1
B06, Trade, 1177206.518, 69, B06, S05, 1
