B00, 0
B01, 0
B02, 0
B03, 5
B03, Trade, 319525.333, 60, B03, S02, 1
B03, Trade, 323397.817, 60, B03, S00, 1
B03, Trade, 468881.417, 60, B03, S00, 1
B03, Trade, 473618.067, 60, B03, S01, 1
B03, Trade, 1051877.518, 60, B03, S02, 1
B04, 30
B04, Trade, 167594.050, 63, B04, S02, 1
B04, Trade, 179349.983, 63, B04, S00, 1
B04, Trade, 189276.667, 63, B04, S02, 1
B04, Trade, 201822.933, 63, B04, S00, 1
B04, Trade, 201937.733, 63, B04, S00, 1
B04, Trade, 202429.383, 63, B04, S01, 1
B04, Trade, 202650.033, 63, B04, S03, 1
B04, Trade, 204705.517, 57, S01, B04, 1
B04, Trade, 205096.950, 63, B04, S00, 1
B04, Trade, 207626.650, 63, B04, S04, 1
B04, Trade, 207651.633, 63, B04, S00, 1
B04, Trade, 208783.083, 62, B04, S01, 1
B04, Trade, 281513.767, 63, B04, S00, 1
B04, Trade, 1017362.585, 63, B04, S02, 1
B04, Trade, 1020778.352, 63, B04, S02, 1
B04, Trade, 1023912.135, 63, B04, S04, 1
B04, Trade, 1029224.718, 63, B04, S00, 1
B04, Trade, 1029298.268, 63, B04, S00, 1
B04, Trade, 1038524.452, 63, B04, S02, 1
B04, Trade, 1040053.468, 63, B04, S03, 1
B04, Trade, 1040885.435, 63, B04, S00, 1
B04, Trade, 1159485.551, 63, B04, S01, 1
B04, Trade, 1161981.135, 63, B04, S03, 1
B04, Trade, 1242675.968, 63, B04, S01, 1
B04, Trade, 1406530.517, 63, B04, S00, 1
B04, Trade, 1410480.717, 63, B04, S00, 1
B04, Trade, 1570159.316, 63, B04, S01, 1
B04, Trade, 2317912.030, 63, B04, S00, 1
B04, Trade, 2449298.196, 63, B04, S01, 1
B04, Trade, 2452266.330, 63, B04, S02, 1
B05, 100
B05, Trade, 283545.033, 67, B05, S00, 1
B05, Trade, 284143.950, 66, B05, S03, 1
B05, Trade, 284221.467, 67, B05, S01, 1
B05, Trade, 284299.333, 67, B05, S05, 1
B05, Trade, 284404.950, 67, B05, S00, 1
B05, Trade, 285300.600, 67, B05, S00, 1
B05, Trade, 285357.500, 67, B05, S02, 1
B05, Trade, 285901.083, 66, B05, S02, 1
B05, Trade, 286420.217, 67, B05, S02, 1
B05, Trade, 287072.083, 67, B05, S00, 1
B05, Trade, 287291.950, 67, B05, S00, 1
B05, Trade, 287510.683, 67, B05, S00, 1
B05, Trade, 290395.050, 67, B05, S04, 1
