B00, 0
B01, 0
B02, 4
B02, Trade, 465593.783, 54, B02, S01, 1
B02, Trade, 465752.467, 56, B02, S02, 1
B02, Trade, 672931.800, 56, B02, S00, 1
B02, Trade, 751938.351, 56, B02, S00, 1
B03, 11
B03, Trade, 640883.950, 60, B03, S00, 1
B03, Trade, 642670.950, 60, B03, S01, 1
B03, Trade, 644781.967, 60, B03, S01, 1
B03, Trade, 678841.234, 60, B03, S02, 1
B03, Trade, 1460226.450, 60, B03, S03, 1
B03, Trade, 2063143.881, 60, B03, S01, 1
B03, Trade, 2065375.464, 60, B03, S01, 1
B03, Trade, 2066385.564, 60, B03, S00, 1
B03, Trade, 2066710.314, 60, B03, S00, 1
B03, Trade, 2088636.764, 60, B03, S00, 1
B03, Trade, 2489811.913, 60, B03, S02, 1
B04, 11
B04, Trade, 5848.933, 62, B04, S01, 1
B04, Trade, 324115.650, 62, B04, S01, 1
B04, Trade, 437669.083, 62, B04, S01, 1
B04, Trade, 993739.718, 63, B04, S01, 1
B04, Trade, 1004750.185, 63, B04, S03, 1
B04, Trade, 1138581.451, 63, B04, S01, 1
B04, Trade, 1143323.368, 63, B04, S02, 1
B04, Trade, 1812211.682, 63, B04, S01, 1
B04, Trade, 2042852.348, 63, B04, S01, 1
B04, Trade, 2490531.046, 63, S03, B04, 1
B04, Trade, 2531548.779, 63, B04, S02, 1
B05, 100
B05, Trade, 668485.150, 66, B05, S02, 1
B05, Trade, 668663.150, 63, B05, S00, 1
B05, Trade, 669020.584, 67, B05, S02, 1
B05, Trade, 676831.834, 66, B05, S01, 1
B05, Trade, 677848.700, 67, B05, S01, 1
B05, Trade, 702884.734, 66, B05, S00, 1
B05, Trade, 705262.700, 66, B05, S00, 1
B05, Trade, 705930.884, 67, B05, S00, 1
B05, Trade, 706386.834, 67, B05, S03, 1
B05, Trade, 707163.217, 67, B05, S02, 1
B05, Trade, 708023.917, 67, B05, S00, 1
B05, Trade, 708255.767, 67, B05, S02, 1
B05, Trade, 710639.917, 67, B05, S00, 1
B05, Trade, 711000.484, 67, B05, S02, 1
B05, Trade, 711096.934, 67, B05, S00, 1
B05, Trade, 711677.701, 64, B05, S00, 1
B05, Trade, 711942.251, 66, B05, S03, 1
B05, Trade, 712198.217, 67, B05, S00, 1
B05, Trade, 712445.317, 67, B05, S00, 1
B05, Trade, 715980.451, 66, B05, S01, 1
B05, Trade, 726873.534, 67, B05, S03, 1
B05, Trade, 738093.367, 67, B05, S01, 1
B05, Trade, 751081.934, 66, B05, S01, 1
B05, Trade, 751938.117, 67, B05, S01, 1
B05, Trade, 752837.267, 65, B05, S03, 1
B05, Trade, 756412.351, 67, B05, S02, 1
