B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 1293515.751, 63, B04, S03, 1
B04, Trade, 1738540.966, 63, B04, S04, 1
B04, Trade, 1907243.082, 63, B04, S03, 1
B05, 39
B05, Trade, 41478.817, 67, B05, S00, 1
B05, Trade, 54343.683, 66, B05, S01, 1
B05, Trade, 57125.450, 67, B05, S03, 1
B05, Trade, 57260.467, 66, B05, S00, 1
B05, Trade, 99501.967, 67, B05, S03, 1
B05, Trade, 331567.850, 67, B05, S04, 1
B05, Trade, 334225.350, 67, B05, S01, 1
B05, Trade, 334947.583, 66, B05, S01, 1
B05, Trade, 335631.183, 67, B05, S03, 1
B05, Trade, 432847.250, 67, B05, S02, 1
B05, Trade, 455125.883, 67, B05, S00, 1
B05, Trade, 475527.400, 67, B05, S02, 1
B05, Trade, 558149.650, 67, B05, S00, 1
B05, Trade, 769405.184, 67, B05, S03, 1
B05, Trade, 1312304.901, 67, B05, S00, 1
B05, Trade, 1315483.901, 67, B05, S03, 1
B05, Trade, 1371582.467, 67, B05, S05, 1
B05, Trade, 1397759.884, 67, B05, S05, 1
B05, Trade, 1486876.383, 67, B05, S04, 1
B05, Trade, 1528180.466, 67, B05, S01, 1
B05, Trade, 1681220.366, 67, B05, S00, 1
B05, Trade, 1694920.266, 67, B05, S05, 1
B05, Trade, 1735289.849, 67, B05, S03, 1
B05, Trade, 1736499.716, 67, B05, S02, 1
B05, Trade, 1738540.449, 67, B05, S00, 1
B05, Trade, 1739605.316, 67, B05, S01, 1
B05, Trade, 1739726.382, 67, B05, S00, 1
B05, Trade, 1740391.132, 66, B05, S03, 1
B05, Trade, 1742044.732, 67, B05, S03, 1
B05, Trade, 1752639.682, 67, B05, S03, 1
B05, Trade, 1755723.632, 67, B05, S03, 1
B05, Trade, 1768150.699, 67, B05, S00, 1
B05, Trade, 1769193.132, 67, B05, S00, 1
B05, Trade, 1791411.649, 62, B05, S03, 1
B05, Trade, 1809738.432, 67, B05, S01, 1
B05, Trade, 1872817.849, 67, B05, S03, 1
B05, Trade, 1877436.449, 67, B05, S02, 1
B05, Trade, 2558866.979, 66, B05, S02, 1
B05, Trade, 2562718.513, 67, B05, S02, 1
B06, 100
B06, Trade, 1701768.599, 69, B06, S05, 1
B06, Trade, 1702108.949, 70, B06, S05, 1
B06, Trade, 1702847.666, 70, B06, S05, 1
B06, Trade, 1702905.449, 69, B06, S04, 1
B06, Trade, 1703699.466, 70, B06, S06, 1
B06, Trade, 1704054.582, 70, B06, S03, 1
B06, Trade, 1704607.782, 70, B06, S04, 1
B06, Trade, 1705393.316, 68, B06, S03, 1
B06, Trade, 1705446.316, 70, B06, S03, 1
B06, Trade, 1705785.949, 70, B06, S05, 1
B06, Trade, 1706095.999, 70, B06, S05, 1
B06, Trade, 1706125.232, 70, B06, S04, 1
B06, Trade, 1706278.582, 70, B06, S02, 1
B06, Trade, 1706718.632, 70, B06, S04, 1
B06, Trade, 1708807.932, 70, B06, S04, 1
B06, Trade, 1711811.249, 70, B06, S00, 1
B06, Trade, 1712027.649, 70, B06, S04, 1
B06, Trade, 1713989.799, 70, B06, S01, 1
B06, Trade, 1735288.599, 70, B06, S04, 1
B06, Trade, 1735857.399, 70, B06, S05, 1
B06, Trade, 1736313.632, 70, B06, S00, 1
B06, Trade, 1736325.949, 70, B06, S05, 1
B06, Trade, 1736497.566, 67, B06, S00, 1
B06, Trade, 1736534.349, 70, B06, S04, 1
B06, Trade, 1736941.782, 70, B06, S06, 1
B06, Trade, 1737084.316, 70, B06, S03, 1
B06, Trade, 1737259.016, 70, B06, S04, 1
B06, Trade, 1737734.249, 70, B06, S04, 1
B06, Trade, 1738030.999, 70, B06, S05, 1
B06, Trade, 1738313.266, 70, B06, S02, 1
B06, Trade, 1738540.199, 70, B06, S05, 1
B06, Trade, 1738977.766, 69, B06, S04, 1
B06, Trade, 1739166.416, 70, B06, S04, 1
B06, Trade, 1739723.382, 70, B06, S04, 1
B06, Trade, 1739839.882, 70, B06, S04, 1
B06, Trade, 1739938.366, 69, B06, S02, 1
B06, Trade, 1739967.049, 69, B06, S00, 1
B06, Trade, 1740387.166, 70, B06, S04, 1
B06, Trade, 1740407.966, 70, B06, S02, 1
B06, Trade, 1740678.216, 70, B06, S05, 1
B06, Trade, 1740743.699, 70, B06, S00, 1
B06, Trade, 1741103.316, 70, B06, S02, 1
B06, Trade, 1741231.666, 70, B06, S02, 1
B06, Trade, 1741324.332, 70, B06, S04, 1
B06, Trade, 1741371.432, 69, B06, S00, 1
B06, Trade, 1741404.566, 69, B06, S00, 1
B06, Trade, 1741521.382, 70, B06, S00, 1
B06, Trade, 1742044.466, 70, B06, S00, 1
B06, Trade, 1742243.182, 70, B06, S02, 1
B06, Trade, 1743538.899, 70, B06, S03, 1
B06, Trade, 1743804.066, 70, B06, S00, 1
B06, Trade, 1744320.966, 70, B06, S03, 1
B06, Trade, 1745255.949, 70, B06, S00, 1
B06, Trade, 1746098.632, 70, B06, S03, 1
B06, Trade, 1746447.299, 70, B06, S03, 1
B06, Trade, 1746590.732, 70, B06, S00, 1
B06, Trade, 1747985.382, 70, B06, S00, 1
B06, Trade, 1748873.282, 70, B06, S00, 1
B06, Trade, 1752885.932, 67, B06, S01, 1
B06, Trade, 1753915.949, 70, B06, S00, 1
B06, Trade, 1754169.516, 69, B06, S05, 1
B06, Trade, 1768682.666, 68, B06, S00, 1
B06, Trade, 1782328.099, 70, B06, S01, 1
B06, Trade, 1785217.849, 68, B06, S01, 1
B06, Trade, 1785888.532, 67, B06, S00, 1
B06, Trade, 1786981.399, 70, B06, S06, 1
B06, Trade, 1787632.882, 70, B06, S00, 1
B06, Trade, 1791623.849, 67, B06, S02, 1
B06, Trade, 1792204.466, 67, B06, S02, 1
B06, Trade, 1792448.982, 68, B06, S03, 1
B06, Trade, 1800188.699, 69, B06, S04, 1
B06, Trade, 1805062.265, 69, B06, S01, 1
B06, Trade, 1871996.699, 70, B06, S00, 1
B06, Trade, 1874383.082, 70, B06, S01, 1
B06, Trade, 1875606.015, 70, B06, S00, 1
B06, Trade, 1875611.765, 70, B06, S01, 1
B06, Trade, 1877436.215, 70, B06, S03, 1
B06, Trade, 1883131.815, 70, B06, S02, 1
B06, Trade, 1900837.998, 63, B06, S03, 1
B06, Trade, 1921453.982, 68, B06, S02, 1
B06, Trade, 1994594.265, 70, B06, S05, 1
B06, Trade, 2391735.830, 70, B06, S03, 1
B06, Trade, 2394871.780, 70, B06, S03, 1
B06, Trade, 2395992.713, 70, B06, S00, 1
B06, Trade, 2407987.297, 70, B06, S00, 1
B06, Trade, 2434358.163, 69, B06, S02, 1
B06, Trade, 2435108.846, 69, B06, S02, 1
B06, Trade, 2436851.496, 63, B06, S03, 1
B06, Trade, 2437939.080, 69, B06, S03, 1
B06, Trade, 2498855.346, 69, B06, S03, 1
B06, Trade, 2502200.096, 70, B06, S02, 1
B06, Trade, 2556169.179, 70, B06, S02, 1
B06, Trade, 2556742.729, 69, B06, S04, 1
B06, Trade, 2558406.163, 70, B06, S00, 1
B06, Trade, 2560674.046, 70, B06, S03, 1
B06, Trade, 2560973.746, 70, B06, S03, 1
B06, Trade, 2561388.713, 69, B06, S02, 1
B06, Trade, 2562717.629, 70, B06, S06, 1
B06, Trade, 2563112.496, 69, B06, S00, 1
B06, Trade, 2585754.746, 68, B06, S04, 1
B07, 100
B07, Trade, 2394542.330, 74, B07, S00, 1
B07, Trade, 2394658.297, 74, B07, S00, 1
B07, Trade, 2394870.980, 74, B07, S04, 1
B07, Trade, 2395134.613, 73, B07, S04, 1
B07, Trade, 2395209.147, 74, B07, S04, 1
B07, Trade, 2395338.763, 74, B07, S03, 1
B07, Trade, 2395601.713, 74, B07, S00, 1
B07, Trade, 2395625.597, 74, B07, S05, 1
B07, Trade, 2395991.680, 74, B07, S05, 1
B07, Trade, 2396727.630, 74, B07, S03, 1
B07, Trade, 2396826.997, 73, B07, S04, 1
B07, Trade, 2405866.113, 74, B07, S02, 1
B07, Trade, 2407008.663, 74, B07, S02, 1
B07, Trade, 2408520.663, 74, B07, S02, 1
B07, Trade, 2408894.213, 74, B07, S02, 1
B07, Trade, 2409153.530, 71, B07, S02, 1
B07, Trade, 2433969.813, 74, B07, S06, 1
B07, Trade, 2435416.730, 73, B07, S00, 1
B07, Trade, 2436816.280, 73, B07, S04, 1
B07, Trade, 2465526.496, 74, B07, S06, 1
B07, Trade, 2471989.830, 74, B07, S02, 1
B07, Trade, 2476521.596, 74, B07, S01, 1
B07, Trade, 2486247.963, 74, B07, S06, 1
B07, Trade, 2491844.846, 74, B07, S06, 1
B07, Trade, 2493650.980, 74, B07, S07, 1
B07, Trade, 2497676.780, 74, B07, S06, 1
B07, Trade, 2512974.046, 74, B07, S03, 1
B07, Trade, 2513686.579, 74, B07, S07, 1
B07, Trade, 2513738.613, 74, B07, S03, 1
B07, Trade, 2513779.213, 74, B07, S06, 1
B07, Trade, 2513979.146, 74, B07, S06, 1
B07, Trade, 2517560.046, 74, B07, S07, 1
B07, Trade, 2517729.846, 74, B07, S06, 1
B07, Trade, 2527512.729, 74, B07, S07, 1
B07, Trade, 2549769.479, 74, B07, S03, 1
B07, Trade, 2552300.229, 74, B07, S00, 1
B07, Trade, 2556077.963, 74, B07, S00, 1
B07, Trade, 2556167.213, 74, B07, S06, 1
B07, Trade, 2556248.296, 71, B07, S01, 1
B07, Trade, 2556543.279, 74, B07, S06, 1
B07, Trade, 2556561.329, 74, B07, S06, 1
B07, Trade, 2556599.913, 74, B07, S03, 1
B07, Trade, 2556741.379, 74, B07, S02, 1
B07, Trade, 2556866.979, 74, B07, S00, 1
B07, Trade, 2556958.846, 74, B07, S03, 1
B07, Trade, 2557290.479, 74, B07, S02, 1
B07, Trade, 2557545.163, 74, B07, S00, 1
B07, Trade, 2557845.713, 74, B07, S04, 1
B07, Trade, 2558013.946, 74, B07, S00, 1
B07, Trade, 2558051.229, 74, B07, S01, 1
B07, Trade, 2558374.363, 74, B07, S06, 1
B07, Trade, 2558377.546, 74, B07, S01, 1
B07, Trade, 2558397.429, 74, B07, S01, 1
B07, Trade, 2558404.796, 74, B07, S01, 1
B07, Trade, 2558456.629, 74, B07, S03, 1
B07, Trade, 2558838.313, 74, B07, S02, 1
B07, Trade, 2558865.313, 74, B07, S06, 1
B07, Trade, 2558888.863, 74, B07, S01, 1
B07, Trade, 2559026.129, 74, B07, S06, 1
B07, Trade, 2559087.846, 74, B07, S03, 1
B07, Trade, 2559119.596, 74, B07, S00, 1
B07, Trade, 2559211.163, 74, B07, S00, 1
B07, Trade, 2559302.246, 74, B07, S01, 1
B07, Trade, 2559342.063, 74, B07, S03, 1
B07, Trade, 2559848.996, 74, B07, S03, 1
B07, Trade, 2560008.079, 74, B07, S02, 1
B07, Trade, 2560513.663, 74, B07, S00, 1
B07, Trade, 2560673.513, 74, B07, S01, 1
B07, Trade, 2560704.563, 74, B07, S06, 1
B07, Trade, 2560926.563, 74, B07, S00, 1
B07, Trade, 2560945.513, 74, B07, S02, 1
B07, Trade, 2561628.996, 74, B07, S03, 1
B07, Trade, 2562143.229, 74, B07, S02, 1
B07, Trade, 2562236.863, 72, B07, S04, 1
B07, Trade, 2562321.963, 74, B07, S03, 1
B07, Trade, 2562338.663, 74, B07, S00, 1
B07, Trade, 2562370.146, 74, B07, S04, 1
B07, Trade, 2562370.613, 67, B07, S01, 1
B07, Trade, 2562429.096, 74, B07, S03, 1
B07, Trade, 2562717.463, 74, B07, S01, 1
B07, Trade, 2563089.546, 74, B07, S01, 1
B07, Trade, 2563152.429, 74, B07, S00, 1
B07, Trade, 2580329.379, 74, B07, S03, 1
B07, Trade, 2580541.446, 74, B07, S03, 1
B07, Trade, 2582203.229, 74, B07, S02, 1
B07, Trade, 2585160.229, 74, B07, S04, 1
B07, Trade, 2585251.179, 74, B07, S01, 1
B07, Trade, 2585649.246, 74, B07, S01, 1
B07, Trade, 2585678.429, 74, B07, S02, 1
B07, Trade, 2585936.296, 74, B07, S02, 1
B07, Trade, 2586074.229, 74, B07, S03, 1
B07, Trade, 2586923.413, 74, B07, S03, 1
B07, Trade, 2587351.313, 74, B07, S00, 1
B07, Trade, 2587634.346, 74, B07, S00, 1
B07, Trade, 2588225.729, 74, B07, S01, 1
B07, Trade, 2588288.946, 74, B07, S03, 1
B07, Trade, 2589175.863, 74, B07, S04, 1
B07, Trade, 2589648.613, 74, B07, S01, 1
B07, Trade, 2589854.763, 74, B07, S04, 1
B07, Trade, 2590869.513, 74, B07, S02, 1
B08, 100
B08, Trade, 2562990.679, 77, B08, S00, 1
B08, Trade, 2563089.113, 77, B08, S00, 1
B08, Trade, 2563109.863, 77, B08, S01, 1
B08, Trade, 2563149.196, 77, B08, S01, 1
B08, Trade, 2563193.179, 77, B08, S02, 1
B08, Trade, 2563204.663, 77, B08, S06, 1
B08, Trade, 2567290.063, 77, B08, S06, 1
B08, Trade, 2568258.929, 77, B08, S05, 1
B08, Trade, 2574247.046, 76, B08, S06, 1
B08, Trade, 2578005.379, 77, B08, S00, 1
B08, Trade, 2578679.046, 77, B08, S03, 1
B08, Trade, 2579049.163, 76, B08, S00, 1
B08, Trade, 2579252.546, 77, B08, S06, 1
B08, Trade, 2579445.579, 77, B08, S03, 1
B08, Trade, 2579916.263, 76, B08, S03, 1
B08, Trade, 2580397.079, 77, B08, S03, 1
B08, Trade, 2580541.363, 76, B08, S00, 1
B08, Trade, 2580671.479, 77, B08, S03, 1
B08, Trade, 2580992.629, 76, B08, S00, 1
B08, Trade, 2581102.913, 76, B08, S00, 1
B08, Trade, 2581311.829, 77, B08, S00, 1
B08, Trade, 2581463.863, 77, B08, S03, 1
B08, Trade, 2581709.963, 77, B08, S02, 1
B08, Trade, 2581782.146, 77, B08, S00, 1
B08, Trade, 2581856.079, 77, B08, S02, 1
B08, Trade, 2581911.796, 76, B08, S03, 1
B08, Trade, 2581974.196, 77, B08, S02, 1
B08, Trade, 2582447.846, 77, B08, S03, 1
B08, Trade, 2582537.746, 77, B08, S06, 1
B08, Trade, 2582888.529, 77, B08, S03, 1
B08, Trade, 2583281.496, 76, B08, S02, 1
B08, Trade, 2583381.446, 75, B08, S06, 1
B08, Trade, 2583391.013, 77, B08, S03, 1
B08, Trade, 2583494.546, 77, B08, S00, 1
B08, Trade, 2583517.729, 74, B08, S03, 1
B08, Trade, 2583645.363, 77, B08, S03, 1
B08, Trade, 2584194.679, 77, B08, S06, 1
B08, Trade, 2584335.129, 77, B08, S03, 1
B08, Trade, 2584401.863, 77, B08, S00, 1
B08, Trade, 2584484.313, 74, B08, S03, 1
B08, Trade, 2584857.046, 75, B08, S03, 1
B08, Trade, 2584940.463, 77, B08, S04, 1
B08, Trade, 2585277.479, 77, B08, S03, 1
B08, Trade, 2585314.413, 77, B08, S01, 1
B08, Trade, 2585354.163, 77, B08, S02, 1
B08, Trade, 2585560.979, 77, B08, S04, 1
B08, Trade, 2585676.813, 77, B08, S01, 1
B08, Trade, 2586111.629, 77, B08, S03, 1
B08, Trade, 2586283.979, 77, B08, S02, 1
B08, Trade, 2586494.763, 77, B08, S04, 1
B08, Trade, 2586607.946, 77, B08, S02, 1
B08, Trade, 2586640.463, 77, B08, S00, 1
B08, Trade, 2586874.213, 77, B08, S00, 1
B08, Trade, 2586891.746, 77, B08, S01, 1
B08, Trade, 2586969.613, 75, B08, S03, 1
B08, Trade, 2587082.613, 77, B08, S04, 1
B08, Trade, 2587180.313, 77, B08, S03, 1
B08, Trade, 2587253.013, 77, B08, S03, 1
B08, Trade, 2587351.296, 77, B08, S07, 1
B08, Trade, 2587426.413, 77, B08, S08, 1
B08, Trade, 2587466.346, 77, B08, S03, 1
B08, Trade, 2587623.329, 77, B08, S02, 1
B08, Trade, 2587767.979, 77, B08, S01, 1
B08, Trade, 2588015.129, 77, B08, S04, 1
