B00, 0
B01, 1
B01, Trade, 1407930.234, 53, B01, S00, 1
B02, 1
B02, Trade, 1406570.134, 56, B02, S01, 1
B03, 1
B03, Trade, 248839.617, 60, B03, S02, 1
B04, 27
B04, Trade, 93185.667, 63, B04, S03, 1
B04, Trade, 244987.400, 63, B04, S02, 1
B04, Trade, 246261.417, 63, B04, S04, 1
B04, Trade, 246289.550, 63, B04, S02, 1
B04, Trade, 246423.150, 63, B04, S01, 1
B04, Trade, 246637.717, 63, B04, S02, 1
B04, Trade, 247737.500, 63, B04, S00, 1
B04, Trade, 249943.917, 63, B04, S01, 1
B04, Trade, 250169.267, 63, B04, S04, 1
B04, Trade, 250558.483, 63, B04, S04, 1
B04, Trade, 250612.233, 63, B04, S02, 1
B04, Trade, 250649.650, 63, B04, S02, 1
B04, Trade, 251794.333, 63, B04, S02, 1
B04, Trade, 289899.433, 63, B04, S00, 1
B04, Trade, 347547.467, 63, B04, S03, 1
B04, Trade, 348207.100, 63, B04, S01, 1
B04, Trade, 351191.367, 63, B04, S02, 1
B04, Trade, 352378.950, 63, B04, S04, 1
B04, Trade, 352597.183, 63, B04, S03, 1
B04, Trade, 784082.351, 62, B04, S03, 1
B04, Trade, 924924.118, 63, B04, S01, 1
B04, Trade, 1072200.768, 63, B04, S00, 1
B04, Trade, 1617509.249, 63, B04, S02, 1
B04, Trade, 2328422.147, 61, B04, S00, 1
B04, Trade, 2332432.880, 63, B04, S00, 1
B04, Trade, 2397873.013, 63, B04, S00, 1
B04, Trade, 2460761.213, 63, B04, S01, 1
B05, 52
B05, Trade, 115903.300, 67, B05, S05, 1
B05, Trade, 120094.967, 67, B05, S03, 1
B05, Trade, 121492.417, 67, B05, S03, 1
B05, Trade, 198559.517, 66, B05, S02, 1
B05, Trade, 247699.267, 66, B05, S02, 1
B05, Trade, 247969.800, 65, B05, S02, 1
B05, Trade, 249572.683, 62, B05, S02, 1
B05, Trade, 277498.550, 67, B05, S04, 1
B05, Trade, 289101.883, 67, B05, S02, 1
B05, Trade, 289899.200, 65, B05, S01, 1
B05, Trade, 293292.317, 67, B05, S02, 1
B05, Trade, 548107.967, 67, B05, S04, 1
B05, Trade, 559580.333, 66, B05, S04, 1
