B00, 0
B01, 0
B02, 0
B03, 0
B04, 9
B04, Trade, 597977.433, 63, B04, S01, 1
B04, Trade, 609258.884, 63, B04, S01, 1
B04, Trade, 611282.367, 63, B04, S01, 1
B04, Trade, 623192.734, 60, B04, S02, 1
B04, Trade, 623192.834, 62, S00, B04, 1
B04, Trade, 659873.400, 63, B04, S01, 1
B04, Trade, 782437.667, 63, B04, S00, 1
B04, Trade, 1511002.433, 63, B04, S00, 1
B04, Trade, 1690523.933, 63, B04, S03, 1
B05, 4
B05, Trade, 159585.950, 64, B05, S00, 1
B05, Trade, 697245.617, 65, B05, S04, 1
B05, Trade, 1806989.015, 65, B05, S01, 1
B05, Trade, 2283596.847, 66, B05, S01, 1
B06, 47
B06, Trade, 45640.683, 70, B06, S01, 1
B06, Trade, 50544.783, 64, B06, S03, 1
B06, Trade, 56017.733, 70, B06, S03, 1
B06, Trade, 69735.333, 70, B06, S03, 1
B06, Trade, 89285.900, 70, B06, S01, 1
B06, Trade, 165977.600, 68, B06, S00, 1
B06, Trade, 167392.983, 67, B06, S04, 1
B06, Trade, 171344.333, 70, B06, S05, 1
B06, Trade, 178951.483, 70, B06, S00, 1
B06, Trade, 208150.517, 69, B06, S04, 1
B06, Trade, 317541.250, 70, B06, S04, 1
B06, Trade, 318765.817, 70, B06, S05, 1
B06, Trade, 319893.017, 69, B06, S00, 1
B06, Trade, 333352.567, 70, B06, S01, 1
B06, Trade, 335789.583, 70, B06, S00, 1
B06, Trade, 336360.083, 68, B06, S01, 1
B06, Trade, 338150.700, 70, B06, S01, 1
B06, Trade, 364199.733, 70, B06, S03, 1
B06, Trade, 388994.850, 70, B06, S02, 1
B06, Trade, 395519.333, 70, B06, S02, 1
B06, Trade, 445014.100, 70, B06, S03, 1
B06, Trade, 511563.783, 70, B06, S05, 1
B06, Trade, 511594.633, 70, B06, S02, 1
B06, Trade, 511948.933, 70, B06, S02, 1
B06, Trade, 512652.500, 70, B06, S01, 1
B06, Trade, 515441.517, 70, B06, S02, 1
B06, Trade, 517352.383, 70, B06, S05, 1
B06, Trade, 545406.233, 70, B06, S00, 1
B06, Trade, 552827.833, 70, B06, S04, 1
B06, Trade, 573404.533, 70, B06, S01, 1
B06, Trade, 582376.200, 70, B06, S01, 1
B06, Trade, 632397.950, 70, B06, S04, 1
B06, Trade, 634761.250, 70, B06, S02, 1
B06, Trade, 635598.150, 70, B06, S03, 1
B06, Trade, 662627.984, 70, B06, S02, 1
B06, Trade, 667427.850, 70, B06, S02, 1
B06, Trade, 667729.584, 70, B06, S05, 1
B06, Trade, 1354798.567, 67, B06, S01, 1
B06, Trade, 2312669.314, 70, B06, S01, 1
B06, Trade, 2330920.647, 70, B06, S00, 1
B06, Trade, 2383628.497, 70, B06, S01, 1
B06, Trade, 2483071.030, 70, B06, S03, 1
B06, Trade, 2484310.596, 70, B06, S02, 1
B06, Trade, 2508264.263, 70, B06, S05, 1
B06, Trade, 2534298.796, 70, B06, S04, 1
B06, Trade, 2553117.479, 70, B06, S04, 1
B06, Trade, 2590040.946, 70, B06, S06, 1
B07, 17
B07, Trade, 109736.933, 69, B07, S03, 1
B07, Trade, 114123.633, 68, B07, S02, 1
B07, Trade, 120173.833, 70, B07, S02, 1
B07, Trade, 152228.750, 67, B07, S01, 1
B07, Trade, 155465.583, 68, B07, S01, 1
B07, Trade, 203401.900, 65, B07, S03, 1
B07, Trade, 203621.217, 70, B07, S03, 1
B07, Trade, 208098.433, 73, B07, S00, 1
B07, Trade, 466847.367, 65, B07, S00, 1
B07, Trade, 467523.550, 65, B07, S03, 1
B07, Trade, 516801.417, 72, B07, S01, 1
B07, Trade, 917846.035, 64, B07, S00, 1
B07, Trade, 926481.001, 66, S03, B07, 1
B07, Trade, 1375526.967, 66, B07, S00, 1
B07, Trade, 1384214.350, 68, B07, S00, 1
B07, Trade, 2001129.531, 70, B07, S01, 1
B07, Trade, 2569810.113, 73, B07, S03, 1
B08, 100
B08, Trade, 2420959.663, 77, B08, S02, 1
B08, Trade, 2426268.480, 77, B08, S04, 1
B08, Trade, 2432355.713, 76, B08, S05, 1
B08, Trade, 2440517.530, 77, B08, S00, 1
B08, Trade, 2441186.813, 77, B08, S00, 1
B08, Trade, 2444681.030, 77, B08, S03, 1
B08, Trade, 2445190.863, 77, B08, S04, 1
B08, Trade, 2445740.646, 77, B08, S06, 1
B08, Trade, 2447962.413, 77, B08, S01, 1
B08, Trade, 2449512.846, 77, B08, S00, 1
B08, Trade, 2450049.963, 76, B08, S04, 1
B08, Trade, 2451352.463, 77, B08, S02, 1
B08, Trade, 2451966.363, 76, B08, S04, 1
B08, Trade, 2452371.496, 76, B08, S02, 1
