B00, 0
B01, 0
B02, 0
B03, 8
B03, Trade, 353331.483, 58, S02, B03, 1
B03, Trade, 1149554.251, 60, B03, S01, 1
B03, Trade, 1150126.985, 60, B03, S03, 1
B03, Trade, 1783023.432, 60, B03, S00, 1
B03, Trade, 1888735.015, 60, B03, S01, 1
B03, Trade, 2069906.164, 59, B03, S00, 1
B03, Trade, 2299378.797, 60, B03, S02, 1
B03, Trade, 2522613.029, 60, B03, S02, 1
B04, 27
B04, Trade, 452119.517, 63, B04, S00, 1
B04, Trade, 563774.183, 63, B04, S03, 1
B04, Trade, 847669.151, 63, B04, S00, 1
B04, Trade, 1112865.668, 63, B04, S02, 1
B04, Trade, 1208485.268, 61, B04, S03, 1
B04, Trade, 1261699.551, 63, B04, S01, 1
B04, Trade, 1261856.484, 63, B04, S00, 1
B04, Trade, 1261859.734, 63, B04, S02, 1
B04, Trade, 1261964.034, 63, B04, S01, 1
B04, Trade, 1303176.317, 63, B04, S00, 1
B04, Trade, 1330751.517, 63, B04, S00, 1
B04, Trade, 1361146.050, 62, B04, S00, 1
B04, Trade, 1476821.583, 62, B04, S00, 1
B04, Trade, 1738957.766, 63, B04, S04, 1
B04, Trade, 1868807.499, 62, B04, S02, 1
B04, Trade, 1896021.882, 63, B04, S01, 1
B04, Trade, 1922581.448, 62, B04, S03, 1
B04, Trade, 1923672.698, 63, B04, S03, 1
B04, Trade, 1976547.998, 63, B04, S03, 1
B04, Trade, 1976731.765, 63, B04, S02, 1
B04, Trade, 1977697.648, 63, B04, S03, 1
B04, Trade, 1990418.681, 63, B04, S03, 1
B04, Trade, 2005769.981, 63, B04, S03, 1
B04, Trade, 2089140.664, 59, B04, S01, 1
B04, Trade, 2109626.881, 62, B04, S03, 1
B04, Trade, 2114373.148, 63, B04, S02, 1
B04, Trade, 2174352.447, 63, B04, S02, 1
B05, 100
B05, Trade, 1286829.717, 67, B05, S03, 1
B05, Trade, 1287203.584, 67, B05, S01, 1
B05, Trade, 1287393.717, 67, B05, S00, 1
B05, Trade, 1287594.284, 67, B05, S00, 1
B05, Trade, 1287628.267, 67, B05, S00, 1
B05, Trade, 1288558.001, 67, B05, S01, 1
B05, Trade, 1335009.301, 66, B05, S02, 1
B05, Trade, 1354914.450, 67, B05, S02, 1
B05, Trade, 1359295.384, 67, B05, S01, 1
B05, Trade, 1361769.917, 67, B05, S00, 1
B05, Trade, 1405395.767, 67, B05, S05, 1
B05, Trade, 1412430.584, 67, B05, S00, 1
B05, Trade, 1415927.317, 67, B05, S03, 1
B05, Trade, 1426883.534, 67, B05, S00, 1
B05, Trade, 1428663.800, 67, B05, S00, 1
B05, Trade, 1431211.350, 67, B05, S04, 1
B05, Trade, 1432189.667, 67, B05, S00, 1
B05, Trade, 1483654.917, 67, B05, S00, 1
B05, Trade, 1609028.333, 67, B05, S00, 1
B05, Trade, 1612331.966, 67, B05, S00, 1
B05, Trade, 1634567.483, 67, B05, S00, 1
B05, Trade, 1638297.633, 67, B05, S04, 1
B05, Trade, 1669358.883, 67, B05, S00, 1
B05, Trade, 1692638.449, 67, B05, S01, 1
B05, Trade, 1693628.516, 67, B05, S01, 1
B05, Trade, 1696649.366, 67, B05, S03, 1
B05, Trade, 1697867.733, 67, B05, S04, 1
B05, Trade, 1698146.133, 67, B05, S01, 1
B05, Trade, 1698920.749, 67, B05, S00, 1
B05, Trade, 1701791.133, 67, B05, S01, 1
B05, Trade, 1715125.532, 67, B05, S00, 1
B05, Trade, 1718117.782, 67, B05, S00, 1
B05, Trade, 1748414.016, 64, B05, S02, 1
B05, Trade, 1765252.716, 67, B05, S03, 1
B05, Trade, 1765910.666, 67, B05, S02, 1
B05, Trade, 1768659.799, 67, B05, S01, 1
B05, Trade, 1770445.599, 67, B05, S02, 1
B05, Trade, 1770860.182, 67, B05, S05, 1
B05, Trade, 1778607.699, 67, B05, S01, 1
B05, Trade, 1778812.949, 67, B05, S01, 1
B05, Trade, 1779170.732, 67, B05, S03, 1
B05, Trade, 1779177.166, 67, B05, S01, 1
B05, Trade, 1779436.949, 67, B05, S04, 1
B05, Trade, 1779625.149, 67, B05, S02, 1
B05, Trade, 1780003.099, 67, B05, S03, 1
B05, Trade, 1780365.899, 67, B05, S01, 1
B05, Trade, 1780711.382, 67, B05, S01, 1
B05, Trade, 1781771.449, 67, B05, S05, 1
B05, Trade, 1781877.982, 67, B05, S01, 1
B05, Trade, 1781892.999, 67, B05, S01, 1
B05, Trade, 1782550.582, 67, B05, S03, 1
B05, Trade, 1782731.899, 67, B05, S01, 1
B05, Trade, 1783023.232, 67, B05, S01, 1
B05, Trade, 1783040.149, 67, B05, S01, 1
B05, Trade, 1783402.416, 67, B05, S00, 1
B05, Trade, 1783581.466, 67, B05, S02, 1
B05, Trade, 1783663.132, 67, B05, S04, 1
B05, Trade, 1783747.932, 67, B05, S00, 1
B05, Trade, 1783824.716, 67, B05, S00, 1
