B00, 0
B01, 0
B02, 0
B03, 49
B03, Trade, 489214.367, 60, B03, S01, 1
B03, Trade, 491867.217, 60, B03, S02, 1
B03, Trade, 497360.333, 60, B03, S01, 1
B03, Trade, 501130.817, 60, B03, S02, 1
B03, Trade, 526185.450, 60, B03, S02, 1
B03, Trade, 528545.833, 60, B03, S00, 1
B03, Trade, 528999.283, 60, B03, S02, 1
B03, Trade, 530771.733, 60, B03, S00, 1
B03, Trade, 532306.083, 60, B03, S00, 1
B03, Trade, 546528.567, 60, B03, S00, 1
B03, Trade, 547403.367, 60, B03, S01, 1
B03, Trade, 549073.350, 60, B03, S01, 1
B03, Trade, 561649.883, 60, B03, S00, 1
B03, Trade, 562140.917, 60, B03, S02, 1
B03, Trade, 562860.167, 60, B03, S00, 1
B03, Trade, 563530.483, 60, B03, S01, 1
B03, Trade, 566725.383, 60, B03, S01, 1
B03, Trade, 568178.350, 60, B03, S00, 1
B03, Trade, 569391.017, 60, B03, S00, 1
B03, Trade, 572741.500, 60, B03, S00, 1
B03, Trade, 575158.050, 60, B03, S00, 1
B03, Trade, 575976.600, 60, B03, S01, 1
B03, Trade, 590903.150, 60, B03, S01, 1
B03, Trade, 591908.917, 60, B03, S01, 1
B03, Trade, 615247.934, 60, B03, S00, 1
B03, Trade, 637793.134, 60, B03, S03, 1
B03, Trade, 649770.367, 60, B03, S01, 1
B03, Trade, 651006.800, 60, B03, S01, 1
B03, Trade, 653253.234, 60, B03, S01, 1
B03, Trade, 654623.234, 60, B03, S01, 1
B03, Trade, 655554.617, 60, B03, S00, 1
B03, Trade, 659617.100, 60, B03, S00, 1
B03, Trade, 659792.900, 60, B03, S00, 1
B03, Trade, 674472.200, 59, B03, S01, 1
B03, Trade, 692938.634, 60, B03, S00, 1
B03, Trade, 693951.084, 60, B03, S02, 1
B03, Trade, 696521.150, 60, B03, S01, 1
B03, Trade, 704538.267, 60, B03, S00, 1
B03, Trade, 705823.950, 60, B03, S00, 1
B03, Trade, 708133.167, 60, B03, S01, 1
B03, Trade, 711795.334, 60, B03, S00, 1
B03, Trade, 774181.901, 60, B03, S00, 1
B03, Trade, 782598.784, 60, B03, S00, 1
B03, Trade, 1077514.568, 60, B03, S02, 1
B03, Trade, 1105678.285, 60, B03, S02, 1
B03, Trade, 1114529.485, 60, B03, S00, 1
B03, Trade, 1114684.468, 60, B03, S00, 1
B03, Trade, 1257624.467, 60, B03, S00, 1
B03, Trade, 1880907.649, 60, B03, S02, 1
B04, 30
B04, Trade, 79705.267, 59, B04, S01, 1
B04, Trade, 82147.350, 62, B04, S00, 1
B04, Trade, 245874.367, 63, B04, S01, 1
B04, Trade, 411240.017, 63, B04, S00, 1
B04, Trade, 411414.083, 62, B04, S03, 1
B04, Trade, 413451.333, 62, B04, S00, 1
B04, Trade, 487364.483, 61, B04, S02, 1
B04, Trade, 487747.933, 62, B04, S01, 1
B04, Trade, 526569.017, 63, S04, B04, 1
B04, Trade, 527492.883, 63, B04, S00, 1
B04, Trade, 527570.467, 62, B04, S00, 1
B04, Trade, 527652.150, 62, B04, S00, 1
B04, Trade, 529573.400, 63, B04, S04, 1
B04, Trade, 529812.950, 63, B04, S04, 1
B04, Trade, 530316.767, 62, B04, S00, 1
B04, Trade, 531239.150, 63, B04, S00, 1
B04, Trade, 531740.850, 63, B04, S01, 1
B04, Trade, 545235.200, 62, B04, S03, 1
B04, Trade, 565599.533, 53, S00, B04, 1
B04, Trade, 566525.200, 63, B04, S02, 1
B04, Trade, 571719.250, 63, B04, S00, 1
B04, Trade, 707280.917, 63, B04, S04, 1
B04, Trade, 718422.351, 62, B04, S02, 1
B04, Trade, 804483.951, 61, B04, S01, 1
B04, Trade, 824828.684, 59, B04, S00, 1
B04, Trade, 825150.551, 59, B04, S00, 1
B04, Trade, 1660639.933, 63, B04, S02, 1
B04, Trade, 1710959.832, 57, B04, S02, 1
B04, Trade, 1886823.965, 63, B04, S04, 1
B04, Trade, 1887223.865, 63, B04, S00, 1
B05, 100
B05, Trade, 738305.451, 67, B05, S04, 1
B05, Trade, 743216.251, 67, B05, S04, 1
B05, Trade, 767751.284, 65, B05, S02, 1
B05, Trade, 775917.134, 67, B05, S01, 1
B05, Trade, 783794.151, 67, B05, S01, 1
B05, Trade, 795062.667, 65, B05, S00, 1
B05, Trade, 817877.101, 67, B05, S01, 1
B05, Trade, 821735.751, 65, B05, S00, 1
B05, Trade, 822848.868, 67, S04, B05, 1
B05, Trade, 823363.401, 56, B05, S00, 1
B05, Trade, 824874.184, 65, B05, S01, 1
B05, Trade, 828018.018, 67, B05, S00, 1
B05, Trade, 835414.134, 64, B05, S01, 1
B05, Trade, 837779.668, 65, B05, S01, 1
B05, Trade, 839443.934, 66, B05, S04, 1
B05, Trade, 868456.701, 67, B05, S04, 1
B05, Trade, 880561.434, 67, B05, S04, 1
B05, Trade, 883029.768, 65, B05, S04, 1
B05, Trade, 884499.168, 65, B05, S04, 1
B05, Trade, 884933.951, 65, B05, S04, 1
B05, Trade, 938935.851, 65, B05, S03, 1
B05, Trade, 942912.135, 67, B05, S01, 1
B05, Trade, 945739.485, 67, B05, S00, 1
B05, Trade, 953894.901, 67, B05, S01, 1
B05, Trade, 957658.501, 67, B05, S00, 1
B05, Trade, 961289.718, 66, B05, S02, 1
B05, Trade, 964359.618, 66, B05, S00, 1
B05, Trade, 984062.251, 67, B05, S00, 1
B05, Trade, 989896.351, 67, B05, S04, 1
B05, Trade, 1016636.918, 66, B05, S04, 1
B05, Trade, 1017301.452, 67, B05, S03, 1
B05, Trade, 1022125.352, 67, B05, S00, 1
B05, Trade, 1034492.968, 65, B05, S02, 1
B05, Trade, 1036845.735, 67, B05, S04, 1
B05, Trade, 1051379.135, 67, B05, S00, 1
B05, Trade, 1052153.652, 67, B05, S05, 1
B05, Trade, 1052570.668, 67, B05, S02, 1
B05, Trade, 1052774.002, 67, B05, S00, 1
B05, Trade, 1053254.618, 67, B05, S02, 1
B05, Trade, 1053940.302, 63, B05, S00, 1
B05, Trade, 1054370.902, 67, B05, S01, 1
B05, Trade, 1054424.368, 67, B05, S00, 1
B05, Trade, 1054841.435, 66, B05, S02, 1
B05, Trade, 1055054.768, 67, B05, S00, 1
B05, Trade, 1055175.752, 65, B05, S00, 1
B05, Trade, 1055306.985, 67, B05, S02, 1
B05, Trade, 1055364.885, 65, B05, S00, 1
B05, Trade, 1055421.118, 67, B05, S02, 1
B05, Trade, 1055577.552, 67, B05, S00, 1
B05, Trade, 1056343.918, 67, B05, S05, 1
B05, Trade, 1056928.985, 67, B05, S00, 1
B05, Trade, 1057002.285, 67, B05, S02, 1
B05, Trade, 1057749.818, 67, B05, S00, 1
B05, Trade, 1057930.702, 67, B05, S01, 1
B05, Trade, 1092217.435, 66, B05, S00, 1
B05, Trade, 1107034.435, 67, B05, S02, 1
B05, Trade, 1112724.401, 67, B05, S03, 1
B05, Trade, 1123413.218, 67, B05, S00, 1
B05, Trade, 1124962.885, 67, B05, S02, 1
B05, Trade, 1129983.118, 67, B05, S02, 1
B05, Trade, 1337096.184, 67, B05, S00, 1
B05, Trade, 1365114.017, 67, B05, S02, 1
B05, Trade, 1382037.617, 67, B05, S04, 1
B05, Trade, 1402150.217, 67, B05, S00, 1
B05, Trade, 1405509.217, 66, B05, S04, 1
B05, Trade, 1529444.566, 67, B05, S02, 1
B05, Trade, 1532080.316, 67, B05, S01, 1
