B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 438644.683, 58, B03, S00, 1
B04, 0
B05, 38
B05, Trade, 52192.450, 67, B05, S01, 1
B05, Trade, 52985.933, 67, B05, S00, 1
B05, Trade, 277023.217, 67, B05, S00, 1
B05, Trade, 304819.200, 66, B05, S00, 1
B05, Trade, 305328.633, 67, B05, S05, 1
B05, Trade, 305934.483, 67, B05, S02, 1
B05, Trade, 306029.850, 67, S05, B05, 1
B05, Trade, 306373.917, 67, B05, S05, 1
B05, Trade, 308945.183, 67, B05, S02, 1
B05, Trade, 331998.750, 67, B05, S04, 1
B05, Trade, 413087.017, 67, B05, S04, 1
B05, Trade, 578397.083, 67, B05, S05, 1
B05, Trade, 628008.750, 67, B05, S01, 1
B05, Trade, 712523.817, 66, B05, S00, 1
B05, Trade, 713641.817, 67, B05, S01, 1
B05, Trade, 717399.217, 67, B05, S00, 1
B05, Trade, 718152.984, 67, B05, S04, 1
B05, Trade, 720365.001, 67, B05, S02, 1
B05, Trade, 722189.717, 67, B05, S02, 1
B05, Trade, 724426.734, 67, B05, S02, 1
B05, Trade, 757772.401, 67, B05, S02, 1
B05, Trade, 838654.101, 65, B05, S00, 1
B05, Trade, 860455.934, 67, B05, S01, 1
B05, Trade, 890106.484, 65, B05, S01, 1
B05, Trade, 924097.351, 67, B05, S04, 1
B05, Trade, 1015639.852, 67, B05, S04, 1
B05, Trade, 1024276.268, 67, B05, S00, 1
B05, Trade, 1118625.851, 65, B05, S00, 1
B05, Trade, 1411823.734, 67, B05, S01, 1
B05, Trade, 1539987.166, 67, B05, S04, 1
B05, Trade, 1566390.150, 67, B05, S03, 1
B05, Trade, 1599172.466, 67, B05, S04, 1
B05, Trade, 1789148.382, 67, B05, S01, 1
B05, Trade, 1807743.265, 67, B05, S00, 1
B05, Trade, 1967263.798, 67, B05, S02, 1
B05, Trade, 2499002.246, 66, B05, S00, 1
B05, Trade, 2504539.330, 66, B05, S00, 1
B05, Trade, 2516999.663, 67, B05, S02, 1
B06, 100
B06, Trade, 263620.583, 69, B06, S00, 1
B06, Trade, 263868.600, 69, B06, S04, 1
B06, Trade, 264090.267, 70, B06, S01, 1
B06, Trade, 264746.617, 68, B06, S01, 1
B06, Trade, 264767.883, 68, B06, S02, 1
B06, Trade, 264913.467, 70, B06, S01, 1
B06, Trade, 264940.783, 70, B06, S05, 1
B06, Trade, 264968.800, 70, B06, S01, 1
B06, Trade, 265528.367, 70, B06, S00, 1
B06, Trade, 265656.717, 70, B06, S04, 1
B06, Trade, 265680.217, 69, B06, S00, 1
B06, Trade, 265791.083, 70, B06, S04, 1
B06, Trade, 265930.667, 70, B06, S00, 1
B06, Trade, 265943.233, 70, B06, S00, 1
B06, Trade, 265982.317, 70, B06, S02, 1
B06, Trade, 266039.867, 70, B06, S00, 1
B06, Trade, 266063.483, 69, B06, S01, 1
B06, Trade, 266913.600, 70, B06, S01, 1
B06, Trade, 267647.250, 70, B06, S04, 1
