B00, 0
B01, 0
B02, 2
B02, Trade, 268989.267, 56, B02, S00, 1
B02, Trade, 2102353.714, 56, B02, S00, 1
B03, 6
B03, Trade, 271254.767, 60, B03, S00, 1
B03, Trade, 289703.033, 60, B03, S03, 1
B03, Trade, 603713.783, 60, B03, S03, 1
B03, Trade, 1365241.000, 59, B03, S02, 1
B03, Trade, 2051824.798, 60, B03, S02, 1
B03, Trade, 2261723.130, 60, B03, S01, 1
B04, 21
B04, Trade, 157220.017, 62, B04, S02, 1
B04, Trade, 272988.250, 63, B04, S02, 1
B04, Trade, 291210.417, 62, B04, S03, 1
B04, Trade, 291262.950, 62, B04, S03, 1
B04, Trade, 421273.450, 63, B04, S03, 1
B04, Trade, 446747.767, 63, B04, S03, 1
B04, Trade, 450609.417, 63, B04, S03, 1
B04, Trade, 451736.833, 63, B04, S01, 1
B04, Trade, 491299.917, 62, B04, S03, 1
B04, Trade, 495063.783, 63, B04, S02, 1
B04, Trade, 524505.467, 63, B04, S01, 1
B04, Trade, 567672.317, 63, B04, S00, 1
B04, Trade, 1128014.951, 63, B04, S00, 1
B04, Trade, 1129003.585, 63, B04, S02, 1
B04, Trade, 2169787.114, 63, B04, S01, 1
B04, Trade, 2189313.097, 57, B04, S01, 1
B04, Trade, 2205189.847, 62, B04, S00, 1
B04, Trade, 2257906.597, 63, B04, S03, 1
B04, Trade, 2334936.330, 63, B04, S03, 1
B04, Trade, 2375571.313, 60, B04, S02, 1
B04, Trade, 2537632.729, 62, B04, S01, 1
B05, 100
B05, Trade, 483019.200, 66, B05, S04, 1
B05, Trade, 484066.750, 67, B05, S01, 1
B05, Trade, 488925.500, 67, B05, S05, 1
B05, Trade, 492041.733, 66, B05, S04, 1
B05, Trade, 498341.450, 67, B05, S03, 1
B05, Trade, 501829.533, 67, B05, S04, 1
B05, Trade, 504273.183, 67, B05, S01, 1
B05, Trade, 505110.783, 67, B05, S04, 1
B05, Trade, 508901.617, 67, B05, S01, 1
B05, Trade, 509682.333, 67, B05, S01, 1
B05, Trade, 551805.900, 67, B05, S01, 1
B05, Trade, 553665.100, 67, B05, S02, 1
B05, Trade, 553711.733, 67, B05, S04, 1
B05, Trade, 585039.117, 67, B05, S04, 1
B05, Trade, 585407.950, 67, B05, S04, 1
B05, Trade, 586178.717, 67, B05, S04, 1
B05, Trade, 586682.450, 67, B05, S03, 1
B05, Trade, 587402.417, 67, B05, S03, 1
B05, Trade, 587663.433, 67, B05, S04, 1
B05, Trade, 588179.383, 67, B05, S04, 1
B05, Trade, 589081.267, 67, B05, S03, 1
B05, Trade, 611763.117, 67, B05, S03, 1
B05, Trade, 654606.484, 67, B05, S04, 1
B05, Trade, 664762.000, 67, B05, S01, 1
B05, Trade, 714738.817, 67, B05, S04, 1
B05, Trade, 718842.317, 67, B05, S04, 1
B05, Trade, 719344.034, 67, B05, S01, 1
B05, Trade, 819246.801, 67, B05, S05, 1
B05, Trade, 850635.168, 67, B05, S03, 1
B05, Trade, 850909.384, 67, B05, S03, 1
B05, Trade, 851098.534, 66, B05, S01, 1
B05, Trade, 852417.768, 67, B05, S04, 1
B05, Trade, 855260.918, 67, B05, S03, 1
B05, Trade, 856071.418, 67, B05, S01, 1
B05, Trade, 865498.068, 67, B05, S01, 1
B05, Trade, 869209.534, 67, B05, S01, 1
B05, Trade, 870391.401, 67, B05, S01, 1
B05, Trade, 875857.368, 67, B05, S03, 1
B05, Trade, 908098.418, 67, B05, S04, 1
B05, Trade, 1015814.985, 67, B05, S04, 1
B05, Trade, 1021177.368, 67, B05, S04, 1
B05, Trade, 1021241.502, 67, B05, S04, 1
B05, Trade, 1021242.918, 66, B05, S02, 1
B05, Trade, 1051854.352, 67, B05, S03, 1
B05, Trade, 1129551.801, 67, B05, S02, 1
B05, Trade, 1182674.268, 67, B05, S03, 1
B05, Trade, 1190146.034, 67, B05, S03, 1
B05, Trade, 1217144.751, 62, B05, S02, 1
B05, Trade, 1305988.584, 63, B05, S02, 1
B05, Trade, 1306765.034, 67, B05, S00, 1
B05, Trade, 1307838.601, 66, B05, S04, 1
B05, Trade, 1337693.101, 67, B05, S01, 1
B05, Trade, 1338723.584, 67, B05, S02, 1
B05, Trade, 1361980.767, 67, B05, S04, 1
B05, Trade, 1365238.584, 67, B05, S04, 1
B05, Trade, 1366174.184, 67, B05, S01, 1
B05, Trade, 1383413.634, 66, B05, S01, 1
B05, Trade, 1383662.300, 66, B05, S00, 1
B05, Trade, 1385919.567, 66, B05, S04, 1
B05, Trade, 1405681.950, 62, B05, S03, 1
B05, Trade, 1421000.517, 67, B05, S04, 1
