B00, 0
B01, 0
B02, 0
B03, 0
B04, 39
B04, Trade, 247523.783, 63, B04, S00, 1
B04, Trade, 248043.933, 62, B04, S03, 1
B04, Trade, 313738.000, 62, B04, S03, 1
B04, Trade, 439247.467, 63, B04, S02, 1
B04, Trade, 439386.733, 63, B04, S00, 1
B04, Trade, 440298.083, 62, B04, S03, 1
B04, Trade, 441159.567, 63, B04, S00, 1
B04, Trade, 443111.400, 63, B04, S03, 1
B04, Trade, 444202.350, 63, B04, S03, 1
B04, Trade, 520759.033, 61, B04, S02, 1
B04, Trade, 521293.617, 62, B04, S00, 1
B04, Trade, 521768.700, 63, B04, S02, 1
B04, Trade, 523584.367, 62, B04, S02, 1
B04, Trade, 523623.233, 63, B04, S02, 1
B04, Trade, 528184.283, 61, B04, S02, 1
B04, Trade, 529554.250, 63, B04, S01, 1
B04, Trade, 530537.350, 60, B04, S03, 1
B04, Trade, 531020.133, 60, B04, S00, 1
B04, Trade, 569332.567, 63, B04, S00, 1
B04, Trade, 789918.717, 63, B04, S03, 1
B04, Trade, 793608.751, 63, B04, S03, 1
B04, Trade, 887603.168, 63, B04, S02, 1
B04, Trade, 917324.085, 62, B04, S03, 1
B04, Trade, 924614.851, 62, B04, S01, 1
B04, Trade, 964895.651, 63, B04, S03, 1
B04, Trade, 993519.368, 62, B04, S00, 1
B04, Trade, 1018546.202, 63, B04, S03, 1
B04, Trade, 1059477.252, 63, B04, S00, 1
B04, Trade, 1137845.785, 63, B04, S00, 1
B04, Trade, 1157430.735, 63, B04, S02, 1
B04, Trade, 1178592.701, 63, B04, S03, 1
B04, Trade, 1214412.084, 63, B04, S00, 1
B04, Trade, 1296128.934, 63, B04, S03, 1
B04, Trade, 1322991.201, 63, B04, S02, 1
B04, Trade, 1338129.751, 63, B04, S02, 1
B04, Trade, 1421315.617, 63, B04, S00, 1
B04, Trade, 1639187.383, 63, B04, S00, 1
B04, Trade, 1712536.399, 63, B04, S02, 1
B04, Trade, 1734147.216, 63, B04, S01, 1
B05, 100
B05, Trade, 81811.250, 67, B05, S02, 1
B05, Trade, 94322.833, 66, B05, S02, 1
B05, Trade, 162759.117, 67, B05, S01, 1
B05, Trade, 317966.733, 67, B05, S03, 1
B05, Trade, 318163.000, 67, B05, S02, 1
B05, Trade, 318517.783, 67, B05, S03, 1
B05, Trade, 320649.383, 67, B05, S03, 1
B05, Trade, 321904.850, 67, B05, S02, 1
B05, Trade, 322277.700, 67, B05, S03, 1
B05, Trade, 323339.933, 67, B05, S03, 1
B05, Trade, 339913.433, 67, B05, S02, 1
B05, Trade, 341487.050, 67, B05, S00, 1
B05, Trade, 376836.417, 67, B05, S03, 1
B05, Trade, 378181.583, 67, B05, S03, 1
B05, Trade, 425738.950, 67, B05, S00, 1
B05, Trade, 426222.133, 67, B05, S04, 1
B05, Trade, 426880.783, 66, B05, S04, 1
B05, Trade, 429995.983, 67, B05, S03, 1
B05, Trade, 431833.367, 67, B05, S02, 1
B05, Trade, 445435.500, 63, B05, S03, 1
B05, Trade, 451171.433, 67, B05, S04, 1
B05, Trade, 452120.650, 67, B05, S05, 1
B05, Trade, 453843.467, 67, B05, S00, 1
B05, Trade, 455070.550, 67, B05, S01, 1
B05, Trade, 476662.917, 67, B05, S00, 1
B05, Trade, 476971.867, 67, B05, S00, 1
B05, Trade, 477205.050, 67, B05, S00, 1
B05, Trade, 482791.300, 67, B05, S03, 1
B05, Trade, 483154.650, 67, B05, S01, 1
B05, Trade, 485070.083, 67, B05, S03, 1
B05, Trade, 487927.917, 67, B05, S04, 1
B05, Trade, 488937.867, 67, B05, S03, 1
B05, Trade, 526876.250, 65, B05, S00, 1
B05, Trade, 529901.600, 66, B05, S01, 1
B05, Trade, 595890.117, 67, B05, S03, 1
B05, Trade, 764501.267, 67, B05, S00, 1
B05, Trade, 975960.985, 66, B05, S03, 1
B05, Trade, 976842.135, 67, B05, S01, 1
B05, Trade, 1004989.801, 67, B05, S03, 1
B05, Trade, 1007161.701, 64, B05, S02, 1
B05, Trade, 1038495.535, 67, B05, S02, 1
B05, Trade, 1041051.818, 67, B05, S02, 1
B05, Trade, 1041857.368, 67, B05, S00, 1
B05, Trade, 1041928.068, 67, B05, S04, 1
B05, Trade, 1088973.651, 67, B05, S02, 1
B05, Trade, 1089297.085, 67, B05, S03, 1
B05, Trade, 1089916.451, 67, B05, S00, 1
B05, Trade, 1090831.651, 67, B05, S03, 1
B05, Trade, 1091812.418, 67, B05, S03, 1
B05, Trade, 1092769.335, 65, B05, S03, 1
B05, Trade, 1093723.668, 67, B05, S00, 1
B05, Trade, 1116094.551, 67, B05, S04, 1
B05, Trade, 1117476.835, 67, B05, S02, 1
B05, Trade, 1117573.901, 67, B05, S03, 1
B05, Trade, 1118120.351, 67, B05, S00, 1
B05, Trade, 1118694.301, 67, B05, S01, 1
B05, Trade, 1119263.868, 67, B05, S03, 1
B05, Trade, 1126132.835, 67, B05, S03, 1
B05, Trade, 1126418.768, 66, B05, S04, 1
B05, Trade, 1126932.451, 66, B05, S03, 1
B05, Trade, 1130534.918, 67, B05, S01, 1
B05, Trade, 1130756.168, 67, B05, S02, 1
B05, Trade, 1131770.135, 67, B05, S04, 1
B05, Trade, 1136270.868, 67, B05, S03, 1
B05, Trade, 1137096.768, 67, B05, S03, 1
B05, Trade, 1137437.085, 66, B05, S02, 1
B05, Trade, 1188308.834, 67, B05, S02, 1
B05, Trade, 1189019.984, 67, B05, S03, 1
B05, Trade, 1189791.118, 67, B05, S02, 1
B05, Trade, 1190842.351, 67, B05, S00, 1
B05, Trade, 1192757.368, 67, B05, S03, 1
B05, Trade, 1192820.518, 67, B05, S03, 1
B05, Trade, 1194885.218, 67, B05, S00, 1
B05, Trade, 1195187.434, 67, B05, S00, 1
B05, Trade, 1218999.201, 67, B05, S03, 1
B05, Trade, 1232771.751, 67, B05, S00, 1
B05, Trade, 1250373.334, 67, B05, S00, 1
B05, Trade, 1258329.967, 67, B05, S03, 1
B05, Trade, 1268771.167, 67, B05, S04, 1
B05, Trade, 1269299.417, 67, B05, S00, 1
B05, Trade, 1270149.684, 67, B05, S02, 1
B05, Trade, 1271465.551, 67, B05, S00, 1
B05, Trade, 1271933.367, 67, B05, S02, 1
B05, Trade, 1273709.334, 67, B05, S03, 1
B05, Trade, 1303282.734, 66, S03, B05, 1
B05, Trade, 1303943.367, 67, B05, S00, 1
B05, Trade, 1305133.051, 67, B05, S02, 1
B05, Trade, 1308165.234, 67, B05, S00, 1
B05, Trade, 1310360.384, 67, B05, S00, 1
B05, Trade, 1341894.551, 67, B05, S03, 1
B05, Trade, 1345611.984, 67, B05, S03, 1
B05, Trade, 1345808.567, 67, B05, S02, 1
B05, Trade, 1383896.234, 67, B05, S03, 1
B05, Trade, 1387599.567, 67, B05, S02, 1
B05, Trade, 1472882.633, 67, B05, S04, 1
B05, Trade, 1474320.250, 67, B05, S00, 1
B05, Trade, 1521914.700, 67, B05, S01, 1
B05, Trade, 2130886.881, 63, B05, S02, 1
B05, Trade, 2287778.214, 67, B05, S02, 1
B05, Trade, 2459163.513, 66, B05, S00, 1
B06, 100
B06, Trade, 1093493.685, 70, B06, S01, 1
B06, Trade, 1093701.685, 70, B06, S03, 1
B06, Trade, 1093753.835, 70, B06, S04, 1
B06, Trade, 1122144.185, 69, B06, S00, 1
B06, Trade, 1123765.085, 69, B06, S00, 1
B06, Trade, 1123808.168, 70, B06, S03, 1
B06, Trade, 1123871.901, 68, B06, S03, 1
B06, Trade, 1124767.851, 69, B06, S00, 1
B06, Trade, 1125222.818, 70, B06, S00, 1
B06, Trade, 1132197.601, 68, B06, S02, 1
B06, Trade, 1138228.285, 70, B06, S01, 1
B06, Trade, 1138812.168, 70, B06, S03, 1
B06, Trade, 1138832.085, 70, B06, S06, 1
B06, Trade, 1139239.701, 70, B06, S00, 1
B06, Trade, 1139432.818, 70, B06, S04, 1
B06, Trade, 1139576.268, 70, B06, S01, 1
B06, Trade, 1139810.168, 70, B06, S00, 1
B06, Trade, 1139914.968, 70, B06, S04, 1
B06, Trade, 1140432.618, 70, B06, S03, 1
B06, Trade, 1141693.335, 70, B06, S00, 1
B06, Trade, 1142203.818, 70, B06, S02, 1
B06, Trade, 1142323.268, 70, B06, S02, 1
B06, Trade, 1144662.585, 70, B06, S00, 1
B06, Trade, 1152319.268, 70, B06, S03, 1
B06, Trade, 1152393.885, 70, B06, S05, 1
B06, Trade, 1152405.485, 70, B06, S03, 1
B06, Trade, 1152877.001, 70, B06, S05, 1
B06, Trade, 1153006.351, 70, B06, S02, 1
B06, Trade, 1154332.568, 69, B06, S00, 1
B06, Trade, 1154365.851, 70, B06, S04, 1
B06, Trade, 1154591.201, 70, B06, S01, 1
B06, Trade, 1155512.885, 70, B06, S02, 1
B06, Trade, 1157120.468, 69, B06, S03, 1
B06, Trade, 1157453.768, 70, B06, S00, 1
B06, Trade, 1157641.951, 70, B06, S02, 1
B06, Trade, 1158555.085, 69, B06, S02, 1
B06, Trade, 1158739.551, 70, B06, S00, 1
B06, Trade, 1158766.335, 70, B06, S03, 1
B06, Trade, 1214057.701, 67, B06, S03, 1
B06, Trade, 1215852.851, 69, B06, S00, 1
B06, Trade, 1248642.334, 69, B06, S00, 1
B06, Trade, 1271908.184, 67, B06, S03, 1
B06, Trade, 1291053.217, 70, B06, S03, 1
B06, Trade, 1292462.817, 65, B06, S02, 1
B06, Trade, 1296576.301, 70, B06, S00, 1
B06, Trade, 1297828.817, 70, B06, S03, 1
B06, Trade, 1298012.017, 70, B06, S03, 1
B06, Trade, 1298388.551, 70, B06, S03, 1
B06, Trade, 1298774.217, 70, B06, S02, 1
B06, Trade, 1299291.284, 69, B06, S03, 1
B06, Trade, 1299453.667, 70, B06, S03, 1
B06, Trade, 1300178.417, 70, B06, S03, 1
B06, Trade, 1303186.534, 70, B06, S02, 1
B06, Trade, 1307137.017, 69, B06, S03, 1
B06, Trade, 1311786.517, 69, B06, S02, 1
B06, Trade, 1312874.701, 68, B06, S01, 1
B06, Trade, 1316906.601, 65, B06, S04, 1
B06, Trade, 1318043.851, 70, B06, S00, 1
B06, Trade, 1318227.767, 70, B06, S00, 1
B06, Trade, 1319449.284, 70, B06, S02, 1
B06, Trade, 1319703.601, 70, B06, S02, 1
B06, Trade, 1320331.151, 70, B06, S00, 1
B06, Trade, 1320530.801, 70, B06, S03, 1
B06, Trade, 1320669.384, 70, B06, S04, 1
B06, Trade, 1321348.351, 70, B06, S03, 1
B06, Trade, 1322389.084, 70, B06, S02, 1
B06, Trade, 1322391.551, 70, B06, S04, 1
B06, Trade, 1322822.801, 69, B06, S04, 1
B06, Trade, 1322957.084, 70, B06, S06, 1
B06, Trade, 1322990.901, 70, B06, S04, 1
B06, Trade, 1323492.567, 70, B06, S00, 1
B06, Trade, 1323521.684, 69, B06, S02, 1
B06, Trade, 1323820.801, 70, B06, S00, 1
B06, Trade, 1324205.884, 70, B06, S02, 1
B06, Trade, 1324217.334, 70, B06, S02, 1
B06, Trade, 1324359.151, 70, B06, S02, 1
B06, Trade, 1324774.234, 70, B06, S00, 1
B06, Trade, 1354856.167, 65, B06, S04, 1
B06, Trade, 1444678.450, 67, B06, S02, 1
B06, Trade, 1472044.467, 69, B06, S04, 1
B06, Trade, 1480622.917, 68, B06, S04, 1
B06, Trade, 1636967.433, 70, B06, S00, 1
B06, Trade, 1671050.949, 70, B06, S02, 1
B06, Trade, 1712535.316, 70, B06, S03, 1
B06, Trade, 1722167.616, 70, B06, S04, 1
B06, Trade, 1756552.666, 70, B06, S02, 1
B06, Trade, 1799159.065, 70, B06, S02, 1
B06, Trade, 1810521.399, 70, B06, S00, 1
B06, Trade, 1824619.049, 70, B06, S01, 1
B06, Trade, 1826884.449, 70, B06, S01, 1
B06, Trade, 1827876.099, 70, B06, S03, 1
B06, Trade, 1887863.532, 70, B06, S02, 1
B06, Trade, 1891149.348, 70, B06, S00, 1
B06, Trade, 2213644.881, 70, B06, S04, 1
B06, Trade, 2359406.830, 70, B06, S01, 1
B06, Trade, 2445368.930, 70, B06, S05, 1
B06, Trade, 2463657.030, 70, B06, S05, 1
B06, Trade, 2464595.146, 70, B06, S01, 1
B06, Trade, 2536451.463, 69, B06, S05, 1
B06, Trade, 2539533.913, 70, B06, S03, 1
B07, 100
B07, Trade, 2055374.565, 69, B07, S00, 1
B07, Trade, 2059753.498, 72, B07, S03, 1
B07, Trade, 2060400.348, 74, B07, S04, 1
B07, Trade, 2063027.014, 71, B07, S03, 1
B07, Trade, 2089280.781, 74, B07, S03, 1
B07, Trade, 2129432.681, 73, B07, S06, 1
B07, Trade, 2147505.581, 71, S06, B07, 1
B07, Trade, 2169321.014, 68, B07, S01, 1
B07, Trade, 2185688.564, 73, B07, S02, 1
B07, Trade, 2204770.314, 69, B07, S02, 1
B07, Trade, 2206932.231, 73, B07, S02, 1
B07, Trade, 2213644.531, 72, B07, S05, 1
B07, Trade, 2235583.547, 74, B07, S00, 1
B07, Trade, 2255356.847, 72, B07, S02, 1
B07, Trade, 2256764.364, 74, B07, S01, 1
B07, Trade, 2256829.430, 73, B07, S03, 1
B07, Trade, 2257027.780, 72, B07, S01, 1
B07, Trade, 2257975.930, 72, B07, S04, 1
B07, Trade, 2260598.130, 74, B07, S00, 1
B07, Trade, 2282512.797, 73, B07, S01, 1
B07, Trade, 2285679.714, 73, B07, S01, 1
B07, Trade, 2287777.630, 74, B07, S00, 1
B07, Trade, 2288298.897, 73, B07, S02, 1
B07, Trade, 2296058.380, 72, B07, S00, 1
B07, Trade, 2306651.214, 73, B07, S00, 1
B07, Trade, 2306868.180, 74, B07, S00, 1
B07, Trade, 2314723.864, 74, B07, S06, 1
B07, Trade, 2316505.097, 74, B07, S01, 1
B07, Trade, 2353594.297, 71, B07, S05, 1
B07, Trade, 2367152.997, 71, B07, S00, 1
B07, Trade, 2378800.913, 73, B07, S00, 1
B07, Trade, 2427346.263, 74, B07, S06, 1
B07, Trade, 2427799.146, 74, B07, S06, 1
B07, Trade, 2430714.363, 74, B07, S06, 1
B07, Trade, 2432013.480, 74, B07, S03, 1
B07, Trade, 2432139.830, 74, B07, S03, 1
B07, Trade, 2432668.646, 73, B07, S06, 1
B07, Trade, 2433055.180, 74, B07, S00, 1
B07, Trade, 2455486.646, 72, B07, S06, 1
B07, Trade, 2456119.446, 71, B07, S04, 1
B07, Trade, 2457152.396, 74, B07, S01, 1
B07, Trade, 2457644.546, 74, B07, S00, 1
B07, Trade, 2461074.863, 74, B07, S03, 1
B07, Trade, 2461075.063, 74, B07, S00, 1
B07, Trade, 2462511.096, 74, B07, S06, 1
B07, Trade, 2462789.130, 74, B07, S00, 1
B07, Trade, 2462830.146, 74, B07, S05, 1
B07, Trade, 2463335.413, 74, B07, S00, 1
B07, Trade, 2464587.180, 74, B07, S02, 1
B07, Trade, 2464913.930, 74, B07, S00, 1
B07, Trade, 2465206.796, 74, B07, S05, 1
B07, Trade, 2465410.046, 73, B07, S06, 1
B07, Trade, 2465632.113, 74, B07, S01, 1
B07, Trade, 2465964.646, 73, B07, S06, 1
B07, Trade, 2466631.746, 74, B07, S06, 1
B07, Trade, 2466691.863, 74, B07, S06, 1
B07, Trade, 2466956.030, 74, B07, S00, 1
B07, Trade, 2467434.346, 74, B07, S00, 1
B07, Trade, 2467441.380, 74, B07, S06, 1
B07, Trade, 2467544.530, 74, B07, S00, 1
B07, Trade, 2467792.530, 74, B07, S06, 1
B07, Trade, 2467905.130, 74, B07, S02, 1
B07, Trade, 2468028.780, 74, B07, S00, 1
B07, Trade, 2468099.830, 71, B07, S01, 1
B07, Trade, 2468154.480, 74, B07, S05, 1
B07, Trade, 2468525.246, 74, B07, S06, 1
B07, Trade, 2468631.713, 74, S06, B07, 1
B07, Trade, 2468686.130, 74, B07, S04, 1
B07, Trade, 2469051.496, 72, B07, S02, 1
B07, Trade, 2469268.063, 73, B07, S01, 1
B07, Trade, 2479496.030, 74, B07, S01, 1
B07, Trade, 2498751.430, 74, B07, S05, 1
B07, Trade, 2498834.180, 74, B07, S03, 1
B07, Trade, 2498877.263, 74, B07, S07, 1
B07, Trade, 2499083.963, 74, B07, S03, 1
B07, Trade, 2499220.096, 74, B07, S05, 1
B07, Trade, 2499812.880, 74, B07, S00, 1
B07, Trade, 2500825.146, 74, B07, S02, 1
B07, Trade, 2500986.763, 74, B07, S00, 1
B07, Trade, 2502166.496, 74, B07, S05, 1
B07, Trade, 2502639.446, 74, B07, S03, 1
B07, Trade, 2503198.646, 74, B07, S03, 1
B07, Trade, 2503274.180, 74, B07, S00, 1
B07, Trade, 2503702.896, 74, B07, S01, 1
B07, Trade, 2503854.980, 74, B07, S01, 1
B07, Trade, 2503921.213, 74, B07, S03, 1
B07, Trade, 2504199.613, 74, B07, S03, 1
B07, Trade, 2504446.313, 73, B07, S03, 1
B07, Trade, 2504846.980, 74, B07, S00, 1
B07, Trade, 2505150.363, 74, B07, S07, 1
B07, Trade, 2505563.480, 74, B07, S06, 1
B07, Trade, 2555672.296, 74, B07, S02, 1
B07, Trade, 2561981.913, 74, B07, S01, 1
B07, Trade, 2566063.613, 73, B07, S02, 1
B07, Trade, 2568923.896, 74, B07, S04, 1
B07, Trade, 2574117.846, 74, B07, S01, 1
B07, Trade, 2583403.896, 74, B07, S03, 1
B07, Trade, 2585149.679, 73, B07, S05, 1
B07, Trade, 2585675.663, 73, B07, S05, 1
B07, Trade, 2590632.613, 74, B07, S05, 1
B08, 100
B08, Trade, 2534357.813, 77, B08, S01, 1
B08, Trade, 2534568.613, 77, B08, S07, 1
B08, Trade, 2534618.313, 77, B08, S07, 1
B08, Trade, 2534728.213, 77, B08, S04, 1
B08, Trade, 2534807.779, 76, B08, S01, 1
B08, Trade, 2534855.596, 77, B08, S00, 1
B08, Trade, 2535107.479, 77, B08, S08, 1
B08, Trade, 2535280.629, 77, B08, S04, 1
B08, Trade, 2535429.946, 77, B08, S08, 1
B08, Trade, 2535458.113, 77, B08, S06, 1
B08, Trade, 2535499.929, 75, B08, S05, 1
B08, Trade, 2535584.613, 77, B08, S08, 1
B08, Trade, 2535827.113, 77, B08, S07, 1
B08, Trade, 2535871.079, 77, B08, S07, 1
B08, Trade, 2535892.346, 77, B08, S01, 1
B08, Trade, 2535968.396, 77, B08, S07, 1
B08, Trade, 2535972.079, 77, B08, S03, 1
B08, Trade, 2536359.596, 77, B08, S05, 1
B08, Trade, 2536411.613, 77, B08, S03, 1
B08, Trade, 2536432.613, 77, B08, S04, 1
B08, Trade, 2536559.879, 76, B08, S00, 1
B08, Trade, 2536768.246, 77, B08, S07, 1
B08, Trade, 2536953.779, 77, B08, S05, 1
B08, Trade, 2537002.363, 77, B08, S03, 1
B08, Trade, 2537050.929, 77, B08, S01, 1
B08, Trade, 2537163.329, 77, B08, S07, 1
B08, Trade, 2537397.263, 77, B08, S04, 1
B08, Trade, 2537753.329, 77, B08, S00, 1
B08, Trade, 2537798.513, 77, B08, S00, 1
B08, Trade, 2538042.113, 77, B08, S05, 1
B08, Trade, 2538098.229, 77, B08, S02, 1
B08, Trade, 2538179.546, 77, B08, S02, 1
B08, Trade, 2538304.646, 77, B08, S00, 1
B08, Trade, 2538369.096, 77, B08, S04, 1
B08, Trade, 2538417.246, 77, B08, S00, 1
B08, Trade, 2538482.063, 77, B08, S04, 1
B08, Trade, 2538564.713, 77, B08, S05, 1
B08, Trade, 2538847.563, 77, B08, S01, 1
B08, Trade, 2538860.213, 76, B08, S05, 1
B08, Trade, 2538935.329, 77, B08, S07, 1
B08, Trade, 2539180.379, 76, B08, S00, 1
B08, Trade, 2539382.346, 77, B08, S07, 1
B08, Trade, 2539463.013, 76, B08, S03, 1
B08, Trade, 2539504.379, 77, B08, S08, 1
B08, Trade, 2539505.029, 77, B08, S03, 1
B08, Trade, 2539530.996, 77, B08, S03, 1
B08, Trade, 2539668.879, 77, B08, S00, 1
B08, Trade, 2539714.996, 77, B08, S03, 1
B08, Trade, 2540104.229, 77, B08, S02, 1
B08, Trade, 2540305.846, 77, B08, S05, 1
B08, Trade, 2540309.629, 77, B08, S03, 1
B08, Trade, 2540328.529, 76, B08, S01, 1
B08, Trade, 2540695.113, 77, B08, S01, 1
B08, Trade, 2540716.296, 77, B08, S07, 1
B08, Trade, 2540868.796, 77, B08, S01, 1
B08, Trade, 2541071.246, 77, B08, S05, 1
B08, Trade, 2541162.429, 76, B08, S03, 1
B08, Trade, 2541247.696, 76, B08, S05, 1
B08, Trade, 2541297.263, 77, B08, S03, 1
B08, Trade, 2541338.913, 77, B08, S06, 1
B08, Trade, 2541363.796, 77, B08, S04, 1
B08, Trade, 2541551.496, 77, B08, S05, 1
B08, Trade, 2542584.213, 76, B08, S07, 1
B08, Trade, 2542887.846, 76, B08, S05, 1
B08, Trade, 2543294.563, 77, B08, S07, 1
B08, Trade, 2544210.563, 77, B08, S06, 1
B08, Trade, 2544745.263, 76, B08, S01, 1
B08, Trade, 2546168.146, 77, B08, S07, 1
B08, Trade, 2547855.396, 77, B08, S03, 1
B08, Trade, 2551227.546, 77, B08, S04, 1
B08, Trade, 2551491.529, 77, B08, S04, 1
B08, Trade, 2554758.063, 75, B08, S07, 1
B08, Trade, 2555962.179, 74, B08, S01, 1
B08, Trade, 2556008.763, 77, B08, S05, 1
B08, Trade, 2556376.379, 77, B08, S05, 1
B08, Trade, 2557215.229, 77, B08, S07, 1
B08, Trade, 2557611.996, 77, B08, S06, 1
B08, Trade, 2558023.963, 77, B08, S05, 1
B08, Trade, 2560662.629, 77, B08, S00, 1
B08, Trade, 2560969.146, 77, B08, S07, 1
B08, Trade, 2561103.346, 77, B08, S00, 1
B08, Trade, 2561820.029, 77, B08, S05, 1
B08, Trade, 2568923.663, 77, B08, S03, 1
B08, Trade, 2571072.863, 77, B08, S01, 1
B08, Trade, 2574621.063, 77, B08, S03, 1
B08, Trade, 2578852.813, 76, B08, S07, 1
B08, Trade, 2581020.546, 77, B08, S07, 1
B08, Trade, 2583321.596, 76, B08, S00, 1
B08, Trade, 2583403.579, 77, B08, S01, 1
B08, Trade, 2584805.079, 76, B08, S00, 1
B08, Trade, 2585999.846, 77, B08, S06, 1
B08, Trade, 2586142.363, 77, B08, S07, 1
B08, Trade, 2586329.096, 77, B08, S07, 1
B08, Trade, 2586705.963, 75, B08, S04, 1
B08, Trade, 2586708.113, 77, B08, S05, 1
B08, Trade, 2590181.746, 77, B08, S08, 1
B08, Trade, 2590539.796, 75, B08, S03, 1
B08, Trade, 2590629.463, 77, B08, S04, 1
B08, Trade, 2591413.813, 76, B08, S05, 1
B08, Trade, 2591514.696, 77, B08, S03, 1
B09, 100
B09, Trade, 2578957.179, 81, B09, S07, 1
B09, Trade, 2579634.246, 81, B09, S07, 1
B09, Trade, 2579691.846, 81, B09, S01, 1
B09, Trade, 2579770.013, 79, B09, S07, 1
B09, Trade, 2579810.146, 81, B09, S03, 1
B09, Trade, 2580244.779, 81, B09, S02, 1
B09, Trade, 2580531.813, 81, B09, S07, 1
B09, Trade, 2580542.946, 80, B09, S08, 1
B09, Trade, 2580602.563, 81, B09, S06, 1
B09, Trade, 2580629.363, 80, B09, S03, 1
B09, Trade, 2580883.829, 81, B09, S00, 1
B09, Trade, 2581153.146, 81, B09, S09, 1
B09, Trade, 2581180.879, 81, B09, S01, 1
B09, Trade, 2581533.979, 81, B09, S06, 1
B09, Trade, 2581645.213, 81, B09, S07, 1
B09, Trade, 2581974.129, 80, B09, S01, 1
B09, Trade, 2582168.829, 81, B09, S03, 1
B09, Trade, 2582769.646, 81, B09, S03, 1
B09, Trade, 2582839.363, 81, B09, S03, 1
B09, Trade, 2582862.629, 81, B09, S07, 1
B09, Trade, 2582916.246, 79, B09, S03, 1
B09, Trade, 2582973.046, 79, B09, S08, 1
B09, Trade, 2583142.846, 81, B09, S04, 1
B09, Trade, 2583316.729, 81, B09, S02, 1
B09, Trade, 2583401.796, 81, B09, S02, 1
B09, Trade, 2583648.696, 81, B09, S02, 1
B09, Trade, 2583830.779, 81, B09, S05, 1
B09, Trade, 2584051.213, 79, B09, S01, 1
B09, Trade, 2584395.079, 78, B09, S01, 1
B09, Trade, 2584486.846, 80, B09, S01, 1
B09, Trade, 2584804.529, 81, B09, S08, 1
B09, Trade, 2585025.779, 81, B09, S04, 1
B09, Trade, 2585267.429, 80, B09, S08, 1
B09, Trade, 2585318.663, 80, B09, S08, 1
B09, Trade, 2585408.596, 80, B09, S05, 1
