B00, 0
B01, 1
B01, Trade, 1151440.201, 53, B01, S00, 1
B02, 0
B03, 9
B03, Trade, 526228.433, 60, B03, S02, 1
B03, Trade, 529125.483, 60, B03, S01, 1
B03, Trade, 530739.683, 60, B03, S02, 1
B03, Trade, 532769.883, 60, B03, S02, 1
B03, Trade, 781051.501, 60, B03, S00, 1
B03, Trade, 782536.101, 60, B03, S01, 1
B03, Trade, 786044.234, 58, B03, S01, 1
B03, Trade, 845490.551, 60, B03, S01, 1
B03, Trade, 1082691.118, 60, B03, S02, 1
B04, 7
B04, Trade, 159918.167, 63, B04, S01, 1
B04, Trade, 1083034.785, 63, B04, S04, 1
B04, Trade, 1405565.184, 63, B04, S00, 1
B04, Trade, 1407336.600, 63, B04, S04, 1
B04, Trade, 1408988.950, 63, B04, S01, 1
B04, Trade, 1995559.981, 63, B04, S00, 1
B04, Trade, 2482884.180, 63, B04, S01, 1
B05, 100
B05, Trade, 53946.633, 64, B05, S00, 1
B05, Trade, 85774.783, 67, B05, S02, 1
B05, Trade, 99224.017, 67, B05, S01, 1
B05, Trade, 100998.617, 67, B05, S00, 1
B05, Trade, 103248.400, 65, B05, S02, 1
B05, Trade, 123382.233, 67, B05, S01, 1
B05, Trade, 124299.550, 67, B05, S04, 1
B05, Trade, 126195.350, 67, B05, S00, 1
B05, Trade, 126289.383, 67, B05, S01, 1
B05, Trade, 127064.600, 67, B05, S00, 1
B05, Trade, 144209.567, 66, B05, S01, 1
B05, Trade, 144837.217, 67, B05, S00, 1
B05, Trade, 146912.250, 67, B05, S00, 1
B05, Trade, 148530.200, 67, B05, S03, 1
B05, Trade, 148706.783, 67, B05, S03, 1
B05, Trade, 149168.300, 67, B05, S03, 1
B05, Trade, 202768.367, 67, B05, S00, 1
B05, Trade, 235119.733, 67, B05, S00, 1
B05, Trade, 236775.033, 67, B05, S00, 1
B05, Trade, 304733.467, 64, B05, S00, 1
B05, Trade, 328577.933, 67, B05, S00, 1
B05, Trade, 352165.567, 67, B05, S02, 1
B05, Trade, 359679.800, 67, B05, S01, 1
B05, Trade, 360347.683, 67, B05, S04, 1
B05, Trade, 361603.800, 67, B05, S05, 1
B05, Trade, 362325.000, 67, B05, S05, 1
B05, Trade, 363032.150, 66, B05, S04, 1
B05, Trade, 367105.500, 66, B05, S04, 1
B05, Trade, 367167.567, 65, B05, S03, 1
B05, Trade, 375191.383, 67, B05, S04, 1
B05, Trade, 410872.267, 67, B05, S00, 1
B05, Trade, 412657.017, 67, B05, S03, 1
B05, Trade, 415386.100, 67, B05, S02, 1
B05, Trade, 416343.483, 67, B05, S02, 1
B05, Trade, 431512.567, 67, B05, S03, 1
B05, Trade, 436775.517, 67, B05, S03, 1
B05, Trade, 478867.483, 67, B05, S04, 1
B05, Trade, 481629.417, 67, B05, S01, 1
B05, Trade, 481805.083, 66, B05, S01, 1
B05, Trade, 497998.950, 67, B05, S01, 1
B05, Trade, 499436.267, 67, B05, S02, 1
B05, Trade, 500035.917, 66, B05, S02, 1
B05, Trade, 500781.650, 67, B05, S02, 1
B05, Trade, 501007.933, 67, B05, S05, 1
B05, Trade, 502735.133, 66, B05, S02, 1
B05, Trade, 518232.200, 67, B05, S02, 1
B05, Trade, 540137.950, 67, B05, S01, 1
B05, Trade, 543118.400, 67, B05, S01, 1
B05, Trade, 545935.267, 67, B05, S01, 1
B05, Trade, 548809.917, 67, B05, S01, 1
